Name :- KAVYA BOSE
Joint Holder :- -
S/O: KOMAL KAPOOR 95 RAMPUR NAHAR KINARA PURA
NA QILA
LUCKNOW-226001
UTTAR PRADESH
Currency :- INR
Statement of Account No - 138488664629235 for the period (From : 23-11-2024 To : 11-12-2025)

TRAN_DATE,CHQNO,PARTICULARS,DR,CR,BAL,SOL
15-02-2025,-,CAACCFUND-NOcGXBrAbuCN54xs-15022025162401, ,             26180.00,            26180.00,100
13-03-2025,-,ATM-CASH-AXIS/APRH05305/3676/130325/LUCKNOW,             20000.00, ,             6180.00,2703
13-03-2025,-,ATM-CASH-AXIS/CPRH05306/4322/130325/LUCKNOW,              5000.00, ,             1180.00,2703
21-03-2025,-,Monthly Service Chrgs,               100.00, ,             1080.00,2703
21-03-2025,-,GST @18% on Monthly Service Ch,                18.00, ,             1062.00,2703
19-04-2025,-,GST @18% on Monthly Avg Bal Ch,               162.00, ,              900.00,2703
19-04-2025,-,Monthly Avg Bal Chrgs,               900.00, ,                 .00,2703
23-04-2025,-,BY CASH DEPOSIT-BNA/DPRH417301/59/230425/LUCKNOW, ,               500.00,              500.00,2703
23-04-2025,-,BY CASH DEPOSIT-BNA/DPRH417301/79/230425/LUCKNOW, ,               100.00,              600.00,2703
23-04-2025,-,ATM-CASH-AXIS/DPRH417301/75/230425/LUCKNOW,               100.00, ,              500.00,2703
29-04-2025,-,UPI/P2A/841789701195/Mr ABDUL TABREZ      /UPI/INDIAN BANK,                 1.00, ,              499.00,2703
29-04-2025,-,UPI/P2M/842156271195/Ashok Kumar Dixit So /UPI/YES BANK LIMITED YBS,                 8.00, ,              491.00,2703
29-04-2025,-,UPI/P2M/892458381195/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              486.00,2703
29-04-2025,-,UPI/P2M/911844131195/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 3.00, ,              483.00,2703
29-04-2025,-,RTGS/BDBLR62025042918304084/MsS SUGARIFY AGENCY PR/BANDHAN BANK LIMITED/, ,            200053.00,           200536.00,248
29-04-2025,-,ATM-CASH-AXIS/AECN35520/342/290425/LUCKNOW,             20000.00, ,           180536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/343/290425/LUCKNOW,             20000.00, ,           160536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/344/290425/LUCKNOW,             20000.00, ,           140536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/345/290425/LUCKNOW,             20000.00, ,           120536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/346/290425/LUCKNOW,             20000.00, ,           100536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/347/290425/LUCKNOW,             20000.00, ,            80536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/348/290425/LUCKNOW,             20000.00, ,            60536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/349/290425/LUCKNOW,             20000.00, ,            40536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/350/290425/LUCKNOW,             20000.00, ,            20536.00,2703
29-04-2025,-,ATM-CASH-AXIS/AECN35520/351/290425/LUCKNOW,             20000.00, ,              536.00,2703
29-04-2025,-,UPI/P2M/922686821195/Shivangi Sharma      /UPI/YES BANK LIMITED YBS,                52.00, ,              484.00,2703
29-04-2025,-,UPI/P2A/935114131195/ROSHAN KUMAR         /UPI/UCO BANK,                50.00, ,              434.00,2703
30-04-2025,-,UPI/P2M/944399851205/Ashok Kumar Dixit So /UPI/YES BANK LIMITED YBS,                 6.00, ,              428.00,2703
30-04-2025,-,UPI/P2M/991077541205/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 3.00, ,              425.00,2703
30-04-2025,-,UPI/P2M/995232121205/MAYANK SAHU          /UPI/YES BANK LIMITED YBS,                12.00, ,              413.00,2703
01-05-2025,-,UPI/P2M/202017561215/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              408.00,2703
02-05-2025,-,UPI/P2M/282793531225/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 1.00, ,              407.00,2703
02-05-2025,-,RTGS/BDBLR62025050218350060/MsS R K ENTERPRISES/BANDHAN BANK LIMITED/, ,            200053.00,           200460.00,248
02-05-2025,-,ATM-CASH-AXIS/AECN35520/732/020525/LUCKNOW,             20000.00, ,           180460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/733/020525/LUCKNOW,             20000.00, ,           160460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/734/020525/LUCKNOW,             20000.00, ,           140460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/735/020525/LUCKNOW,             20000.00, ,           120460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/736/020525/LUCKNOW,             20000.00, ,           100460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/737/020525/LUCKNOW,             20000.00, ,            80460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/738/020525/LUCKNOW,             20000.00, ,            60460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/739/020525/LUCKNOW,             20000.00, ,            40460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/740/020525/LUCKNOW,             20000.00, ,            20460.00,2703
02-05-2025,-,ATM-CASH-AXIS/AECN35520/741/020525/LUCKNOW,             20000.00, ,              460.00,2703
02-05-2025,-,UPI/P2M/317167971225/MAYANK SAHU          /UPI/YES BANK LIMITED YBS,                14.00, ,              446.00,2703
02-05-2025,-,UPI/P2M/317272761225/MAYANK SAHU          /UPI/YES BANK LIMITED YBS,                10.00, ,              436.00,2703
03-05-2025,-,UPI/P2M/422180361235/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              431.00,2703
03-05-2025,-,UPI/P2M/436043331235/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 1.00, ,              430.00,2703
04-05-2025,-,UPI/P2M/499751391245/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              425.00,2703
04-05-2025,-,UPI/P2M/533849051245/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              420.00,2703
05-05-2025,-,UPI/P2M/601275191255/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              415.00,2703
05-05-2025,-,UPI/P2M/611632431255/HYC YOUTH CORAGE     /UPI/AXIS BANK,                 5.00, ,              410.00,2703
05-05-2025,-,NEFT/IDFBH25125035243/STAR RETAIL LLP            /IDFC FIRST BANK LTD//ATTN/, ,            197053.00,           197463.00,248
05-05-2025,-,NEFT/N125250640814026/Sarita Kiran Banerj/BANDHAN BANK LIMITED/, ,              3000.00,           200463.00,248
05-05-2025,-,ATM-CASH-AXIS/JECN510001/8995/050525/LUCKNOW,             20000.00, ,           180463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/8996/050525/LUCKNOW,             20000.00, ,           160463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/8997/050525/LUCKNOW,             20000.00, ,           140463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/8998/050525/LUCKNOW,             20000.00, ,           120463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/8999/050525/LUCKNOW,             20000.00, ,           100463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/9000/050525/LUCKNOW,             20000.00, ,            80463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/9001/050525/LUCKNOW,             20000.00, ,            60463.00,2703
05-05-2025,-,ATM-CASH-AXIS/JECN510001/9002/050525/LUCKNOW,             20000.00, ,            40463.00,2703
