account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
18192604794,SANJAY SHETTY,IDFB0795855,22/01/2025,,NEFT/IDFBN2501225806599/S R K Enterprises/BARB0209439,,IDFBN2501225806599,IDFBN2501225806599,,0.0,49575.0,304688.0,credit,IDFC FIRST Bank,18192604794_000000,,False
28317586857,Farah Khan,MAHB0330197,23/01/2025,,UPI/296142978145/DR/IRCTC/SBIN/irctc.pay@axisbank@sbin0825429.ifsc.npci/UPI,,,296142978145,,3560.0,0.0,896440.0,debit,Bank of Maharashtra,28317586857_000000,,False
18192604794,SANJAY SHETTY,IDFB0795855,24/01/2025,,UPI/MOB/610556839611/Pay request to IRCTC/irctc.pay@axisbank@idfb0734323.ifsc.npci,,,610556839611,,2219.0,0.0,302469.0,debit,IDFC FIRST Bank,18192604794_000001,,False
261647363933,BHAVANA RAO,IDIB0292766,24/01/2025,,N/IDIBN2501243236437/SBIN0931356/SHREE KRISHNA MOBILE,,IDIBN2501243236437,IDIBN2501243236437,,0.0,50523.0,155309.0,credit,Indian Bank,261647363933_000000,,False
29663337463975,Kiran Nair,HDFC0811408,24/01/2025,,NEFT/HDFCN2501244908262/CRYSTAL SUPPLY ENTERPRISE/24-Jan-2025/SBIN0828982/60751330012,,HDFCN2501244908262,HDFCN2501244908262,,0.0,43308.0,246405.0,credit,HDFC Bank,29663337463975_000000,,False
92247771802759,Rekha Yadav,BARB0613559,24/01/2025,,DIGITA-MUMBAI/ NEFT-BARBN2501243832288-Shree Krishna Mobile,,BARBN2501243832288,BARBN2501243832288,,0.0,39562.0,360154.0,credit,Bank of Baroda,92247771802759_000000,,False
18192604794,SANJAY SHETTY,IDFB0795855,25/01/2025,,NACH DR-8537685023-ICICI BANK EMI-604794,,,,,11200.0,0.0,291269.0,debit,IDFC FIRST Bank,18192604794_000002,,False
261647363933,BHAVANA RAO,IDIB0292766,25/01/2025,,UPI/321068680486/DR/IRCTC/IDIB/irctc.pay@axisbank@idib0489743.ifsc.npci/UPI,,,321068680486,,356.0,0.0,154953.0,debit,Indian Bank,261647363933_000001,,False
28317586857,Farah Khan,MAHB0330197,25/01/2025,,Crystal Supply Enterprise MAHBN2501253853868 - 9008-NEFT/ RTGS CELL BARB0359500 99798275665856,,MAHBN2501253853868,MAHBN2501253853868,,0.0,63609.0,960049.0,credit,Bank of Maharashtra,28317586857_000001,,False
29663337463975,Kiran Nair,HDFC0811408,25/01/2025,,CWDR/069658494623/25-01-2025 21:53:31/CMN,,,,,15000.0,0.0,231405.0,debit,HDFC Bank,29663337463975_000001,,False
92247771802759,Rekha Yadav,BARB0613559,25/01/2025,14:01:57,UPI/270527650838/12:55:10/UPI/dmart.pay@okaxis@barb0629305.ifsc.npci/Payment/DMART,,,270527650838,,3969.0,0.0,356185.0,debit,Bank of Baroda,92247771802759_000001,,False
29663337463975,Kiran Nair,HDFC0811408,26/01/2025,,UPI/103944932575/SENT USING PAYTM UPI/dmart.pay@okaxis@fdrl0362232.ifsc.npci/DMART,,,103944932575,,2489.0,0.0,228916.0,debit,HDFC Bank,29663337463975_000002,,False
28317586857,Farah Khan,MAHB0330197,26/01/2025,17:47:44,UPI/979185595402/DR/JIO/IDIB/jio.mobile@ibl@idib0362757.ifsc.npci/UPI,,,979185595402,,4325.0,0.0,955724.0,debit,Bank of Maharashtra,28317586857_000002,,False
92247771802759,Rekha Yadav,BARB0613559,27/01/2025,,UPI/256583040358/14:22:35/UPI/airtel.recharge@airtel@sbin0395381.ifsc.npci/Payment/AIRTEL,,,256583040358,,1507.0,0.0,354678.0,debit,Bank of Baroda,92247771802759_000002,,False
29663337463975,Kiran Nair,HDFC0811408,27/01/2025,12:33:44,UPI/958984938449/SENT USING PAYTM UPI/dmart.pay@okaxis@icic0366916.ifsc.npci/DMART,,,958984938449,,2213.0,0.0,226703.0,debit,HDFC Bank,29663337463975_000003,,False
18192604794,SANJAY SHETTY,IDFB0795855,28/01/2025,,ATM-NFS/CASH WITHDRAWAL/MYSORE BRANCH ATM MYSORE IN/841591497979/SELF,,,,,15000.0,0.0,276269.0,debit,IDFC FIRST Bank,18192604794_000003,,False
261647363933,BHAVANA RAO,IDIB0292766,28/01/2025,,UPI/339058967002/DR/PHARMACY/FDRL/medplus@ybl@fdrl0379752.ifsc.npci/UPI,,,339058967002,,3718.0,0.0,151235.0,debit,Indian Bank,261647363933_000002,,False
29663337463975,Kiran Nair,HDFC0811408,28/01/2025,,NACH DR-5338227316-HDFC BANK EMI-463975,,,,,11200.0,0.0,215503.0,debit,HDFC Bank,29663337463975_000004,,False
28317586857,Farah Khan,MAHB0330197,28/01/2025,11:54:15,CWDR/035183290337/28-01-2025 17:56:53/CMN,,,,,10000.0,0.0,945724.0,debit,Bank of Maharashtra,28317586857_000003,,False
29663337463975,Kiran Nair,HDFC0811408,29/01/2025,,UPI/318068357478/SENT USING PAYTM UPI/bescom.bill@upi@punb0947263.ifsc.npci/BESCOM,,,318068357478,,1564.0,0.0,213939.0,debit,HDFC Bank,29663337463975_000005,,False
18192604794,SANJAY SHETTY,IDFB0795855,30/01/2025,,UPI/MOB/490003534771/Pay request to Pharmacy/medplus@ybl@mahb0225485.ifsc.npci/PHARMACY,,,490003534771,,157.0,0.0,276112.0,debit,IDFC FIRST Bank,18192604794_000004,,False
261647363933,BHAVANA RAO,IDIB0292766,30/01/2025,,UPI/722994009009/DR/INDIANOIL/SBIN/fuelpay@ybl@sbin0828412.ifsc.npci/UPI,,,722994009009,,3671.0,0.0,147564.0,debit,Indian Bank,261647363933_000003,,False
28317586857,Farah Khan,MAHB0330197,30/01/2025,,UPI/652893141644/DR/DMART/SBIN/dmart.pay@okaxis@sbin0388776.ifsc.npci/UPI,,,652893141644,,3473.0,0.0,942251.0,debit,Bank of Maharashtra,28317586857_000004,,False
92247771802759,Rekha Yadav,BARB0613559,30/01/2025,,UPI/411236632213/16:13:30/UPI/bbdaily@okhdfcbank@barb0765571.ifsc.npci/Payment/BIGBASKET,,,411236632213,,2471.0,0.0,352207.0,debit,Bank of Baroda,92247771802759_000003,,False
92247771802759,Rekha Yadav,BARB0613559,31/01/2025,,UPI/610039025404/13:03:53/UPI/irctc.pay@axisbank@sbin0848889.ifsc.npci/Payment/IRCTC,,,610039025404,,3703.0,0.0,348504.0,debit,Bank of Baroda,92247771802759_000004,,False
