account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
105195161443,VIKRAM SAXENA,IDIB0985938,28/01/2025,,N/IDIBN2501286576131/HDFC0397531/Bansilal Traders,,IDIBN2501286576131,IDIBN2501286576131,,0.0,50424.0,68424.0,credit,Indian Bank,105195161443_000000,,False
9389750671,FARAH KHAN,KKBK0971591,28/01/2025,,NEFT KKBKN2501289498354 NEFTINW- (Cr) Sugarify Agency ICIC0146102 045732933679,,KKBKN2501289498354,KKBKN2501289498354,,0.0,50371.0,221405.0,credit,Kotak Mahindra Bank,9389750671_000000,,False
60496617950999,KIRAN NAIR,UTIB0973201,29/01/2025,,ECSRTNCHGS290125_SR544287200GST,,,,,9.0,0.0,223752.0,debit,Axis Bank,60496617950999_000000,,False
6392324879252041,SHIV LAL BISHNOI,PUNB0391029,29/01/2025,,NEFT/PUNBN2501291432890/Maa Enterprise CDCI CDCI,,PUNBN2501291432890,PUNBN2501291432890,,0.0,37780.0,1622221.0,credit,Punjab National Bank,6392324879252041_000000,,False
105195161443,VIKRAM SAXENA,IDIB0985938,30/01/2025,,UPI/400304622191/DR/PHARMACY/IDFB/medplus@ybl@idfb0582241.ifsc.npci/UPI,,,400304622191,,628.0,0.0,67796.0,debit,Indian Bank,105195161443_000001,,False
62156833748,Gaurav Kunal Ghosh,MAHB0926407,30/01/2025,12:13:30,UPI/859369383526/DR/BIGBASKET/MAHB/bbdaily@okhdfcbank@mahb0392687.ifsc.npci/UPI,,,859369383526,,555.0,0.0,241450.0,debit,Bank of Maharashtra,62156833748_000000,,False
60496617950999,KIRAN NAIR,UTIB0973201,31/01/2025,,MB NEFT/UTIBN2501315742602/S R K ENTE/S R K ENTERPRISES/,,UTIBN2501315742602,UTIBN2501315742602,,0.0,48088.0,271840.0,credit,Axis Bank,60496617950999_000001,,False
62156833748,Gaurav Kunal Ghosh,MAHB0926407,31/01/2025,,Northern Traders Company MAHBN2501316790969 - 9008-NEFT/ RTGS CELL MAHB0364434 14500253921,,MAHBN2501316790969,MAHBN2501316790969,,0.0,67141.0,308591.0,credit,Bank of Maharashtra,62156833748_000001,,False
62156833748,Gaurav Kunal Ghosh,MAHB0926407,31/01/2025,,NACH DR-1354431798-BAJAJ FINANCE EMI-833748,,,,,11200.0,0.0,297391.0,debit,Bank of Maharashtra,62156833748_000002,,False
9389750671,FARAH KHAN,KKBK0971591,31/01/2025,,UPI/827425686506/DR/INDI/CNRB/fuelpay@ybl@cnrb0684589.ifsc.npci/UPI | D/INDIANOIL,,,827425686506,,1400.0,0.0,220005.0,debit,Kotak Mahindra Bank,9389750671_000001,,False
6392324879252041,SHIV LAL BISHNOI,PUNB0391029,31/01/2025,14:27:15,UPI/269604352987/P2A/fuelpay@ybl@idfb0703803.ifsc.npci/INDIANOIL CDCI CDCI,,,269604352987,,3827.0,0.0,1618394.0,debit,Punjab National Bank,6392324879252041_000001,,False
60496617950999,KIRAN NAIR,UTIB0973201,31/01/2025,18:06:24,UPI:PAY:500826038204/Indianoil         /Federal Ba/INDIANOIL,,,500826038204,,1815.0,0.0,270025.0,debit,Axis Bank,60496617950999_000002,,False
6392324879252041,SHIV LAL BISHNOI,PUNB0391029,01/02/2025,,UPI/415479359033/P2A/fuelpay@ybl@cnrb0633921.ifsc.npci/INDIANOIL CDCI CDCI,,,415479359033,,747.0,0.0,1617647.0,debit,Punjab National Bank,6392324879252041_000002,,False
9389750671,FARAH KHAN,KKBK0971591,01/02/2025,,UPI/279952085011/DR/PHAR/HDFC/medplus@ybl@hdfc0694935.ifsc.npci/UPI | D/PHARMACY,,,279952085011,,4140.0,0.0,215865.0,debit,Kotak Mahindra Bank,9389750671_000002,,False
105195161443,VIKRAM SAXENA,IDIB0985938,02/02/2025,,UPI/898006172929/DR/BESCOM/PUNB/bescom.bill@upi@punb0922750.ifsc.npci/UPI,,,898006172929,,4451.0,0.0,63345.0,debit,Indian Bank,105195161443_000002,,False
60496617950999,KIRAN NAIR,UTIB0973201,02/02/2025,,UPI:PAY:827253729625/DMART             /Punjab Nat,,,827253729625,,3409.0,0.0,266616.0,debit,Axis Bank,60496617950999_000003,,False
