account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
789800043322,RADHA REKHA SAXENA,IDIB0166780,03/02/2025,,N/IDIBN2502034384444/IDIB0634913/APEX COMMERCE ENTERPRISE,,IDIBN2502034384444,IDIBN2502034384444,,0.0,38068.0,402368.0,credit,Indian Bank,789800043322_000000,,False
82103150246875,Shiv Lal Bishnoi,HDFC0498655,03/02/2025,,NEFT/HDFCN2502030792667/S R K Enterprises/03-Feb-2025/HDFC0734793/58303547150544,,HDFCN2502030792667,HDFCN2502030792667,,0.0,77750.0,642408.0,credit,HDFC Bank,82103150246875_000000,,False
430208521043,Ravi Kumar Sharma,ICIC0607275,04/02/2025,,NEFT:ICICN2502048562405:HANUMAN DICO,,ICICN2502048562405,ICICN2502048562405,,0.0,55603.0,275561.0,credit,ICICI Bank,430208521043_000000,,False
7841527058376400,REKHA YADAV,PUNB0746415,04/02/2025,,NEFT/PUNBN2502043840570/Rg Enterprise CDCI CDCI,,PUNBN2502043840570,PUNBN2502043840570,,0.0,46866.0,349038.0,credit,Punjab National Bank,7841527058376400_000000,,False
789800043322,RADHA REKHA SAXENA,IDIB0166780,04/02/2025,,UPI/189604676147/DR/INDIANOIL/UTIB/fuelpay@ybl@utib0254136.ifsc.npci/UPI,,,189604676147,,710.0,0.0,401658.0,debit,Indian Bank,789800043322_000001,,False
3431701808,NITIN ADITYA,KKBK0425675,05/02/2025,,NEFT KKBKN2502053240038 NEFTINW- (Cr) Hanuman Dico BARB0599135 63074985242868,,KKBKN2502053240038,KKBKN2502053240038,,0.0,41817.0,295836.0,credit,Kotak Mahindra Bank,3431701808_000000,,False
3431701808,NITIN ADITYA,KKBK0425675,05/02/2025,,UPI/585159946648/DR/AIRT/HDFC/airtel.recharge@airtel@hdfc0696133.ifsc.npci/UPI | D/AIRTEL,,,585159946648,,1171.0,0.0,294665.0,debit,Kotak Mahindra Bank,3431701808_000001,,False
430208521043,Ravi Kumar Sharma,ICIC0607275,05/02/2025,,UPI/DR/558900592799/BESC/HDFC/**bescom.bill@upi@hdfc0106855.ifsc.npci/UPI//ICI3694691265/BESCOM,,,558900592799,,3800.0,0.0,271761.0,debit,ICICI Bank,430208521043_000001,,False
51445752807598,Kavya Bose,FDRL0797430,05/02/2025,,UPI/069906856294/DR/BIGBASKET/CNRB/bbdaily@okhdfcbank@cnrb0421492.ifsc.npci/UPI,,,069906856294,,796.0,0.0,159113.0,debit,Federal Bank,51445752807598_000000,,False
430208521043,Ravi Kumar Sharma,ICIC0607275,06/02/2025,,UPI/DR/771659979483/AIRT/FDRL/**airtel.recharge@airtel@fdrl0296287.ifsc.npci/UPI//ICI5151941621/AIRTEL,,,771659979483,,1846.0,0.0,269915.0,debit,ICICI Bank,430208521043_000002,,False
51445752807598,Kavya Bose,FDRL0797430,06/02/2025,,FT NEFT/FDRLN2502066049310/Bansilal Traders/Bansilal Traders TRF 06-Feb-25,,FDRLN2502066049310,FDRLN2502066049310,,0.0,52242.0,211355.0,credit,Federal Bank,51445752807598_000001,,False
7841527058376400,REKHA YADAV,PUNB0746415,06/02/2025,,UPI/708667562104/P2A/bbdaily@okhdfcbank@sbin0883657.ifsc.npci/BIGBASKET CDCI CDCI,,,708667562104,,2143.0,0.0,346895.0,debit,Punjab National Bank,7841527058376400_000001,,False
789800043322,RADHA REKHA SAXENA,IDIB0166780,06/02/2025,,CWDR/557270993567/06-02-2025 22:04:22/CMN,,,,,10000.0,0.0,391658.0,debit,Indian Bank,789800043322_000002,,False
82103150246875,Shiv Lal Bishnoi,HDFC0498655,06/02/2025,,UPI/219847233944/SENT USING PAYTM UPI/irctc.pay@axisbank@sbin0387425.ifsc.npci/IRCTC,,,219847233944,,1250.0,0.0,641158.0,debit,HDFC Bank,82103150246875_000001,,False
430208521043,Ravi Kumar Sharma,ICIC0607275,07/02/2025,,UPI/DR/735087734203/PHAR/MAHB/**medplus@ybl@mahb0774235.ifsc.npci/UPI//ICI6770537845/PHARMACY,,,735087734203,,2960.0,0.0,266955.0,debit,ICICI Bank,430208521043_000003,,False
51445752807598,Kavya Bose,FDRL0797430,08/02/2025,,MAB CHARGES,,,,,29.0,0.0,211326.0,debit,Federal Bank,51445752807598_000002,,False
789800043322,RADHA REKHA SAXENA,IDIB0166780,08/02/2025,,UPI/048128805757/DR/BIGBASKET/IDFB/bbdaily@okhdfcbank@idfb0493477.ifsc.npci/UPI,,,048128805757,,2576.0,0.0,389082.0,debit,Indian Bank,789800043322_000003,,False
