account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
14443191042601,Aarav Ghosh,FDRL0654446,21/01/2025,,FT NEFT/FDRLN2501219751287/Rg Enterprise/Rg Enterprise TRF 21-Jan-25,,FDRLN2501219751287,FDRLN2501219751287,,0.0,70391.0,307016.0,credit,Federal Bank,14443191042601_000000,,False
44449493940,NITIN ADITYA,IDFB0300773,21/01/2025,,NEFT/IDFBN2501214874547/Techrevive Solutions/MAHB0943275,,IDFBN2501214874547,IDFBN2501214874547,,0.0,37339.0,111626.0,credit,IDFC FIRST Bank,44449493940_000000,,False
12571278497672,Aishwarya Mehta,BARB0616574,22/01/2025,,DIGITA-MUMBAI/ NEFT-BARBN2501222736156-Hanuman Dico,,BARBN2501222736156,BARBN2501222736156,,0.0,71845.0,1795821.0,credit,Bank of Baroda,12571278497672_000000,,False
5170994003365616,SANJAY SHETTY,PUNB0258020,22/01/2025,09:09:19,UPI/997909992417/P2A/medplus@ybl@fdrl0954654.ifsc.npci/Pharmacy CDCI CDCI/PHARMACY,,,997909992417,,383.0,0.0,332662.0,debit,Punjab National Bank,5170994003365616_000000,,False
14443191042601,Aarav Ghosh,FDRL0654446,23/01/2025,,MAB CHARGES,,,,,59.0,0.0,306957.0,debit,Federal Bank,14443191042601_000001,,False
44449493940,NITIN ADITYA,IDFB0300773,23/01/2025,,NACH DR-7409639720-BAJAJ FINANCE EMI-493940,,,,,11200.0,0.0,100426.0,debit,IDFC FIRST Bank,44449493940_000001,,False
5170994003365616,SANJAY SHETTY,PUNB0258020,23/01/2025,,UPI/861901033028/P2A/jio.mobile@ibl@barb0530881.ifsc.npci/Jio CDCI CDCI/JIO,,,861901033028,,1921.0,0.0,330741.0,debit,Punjab National Bank,5170994003365616_000001,,False
12571278497672,Aishwarya Mehta,BARB0616574,24/01/2025,,CWDR/983004839603/24-01-2025 18:29:07/CMN,,,,,5000.0,0.0,1790821.0,debit,Bank of Baroda,12571278497672_000001,,False
14443191042601,Aarav Ghosh,FDRL0654446,24/01/2025,,UPI/358987429684/DR/JIO/UTIB/jio.mobile@ibl@utib0735282.ifsc.npci/UPI,,,358987429684,,540.0,0.0,306417.0,debit,Federal Bank,14443191042601_000002,,False
5170994003365616,SANJAY SHETTY,PUNB0258020,24/01/2025,,NEFT/PUNBN2501245112952/BANSILAL TRADERS CDCI CDCI,,PUNBN2501245112952,PUNBN2501245112952,,0.0,64315.0,395056.0,credit,Punjab National Bank,5170994003365616_000002,,False
5170994003365616,SANJAY SHETTY,PUNB0258020,24/01/2025,,UPI/742166934503/P2A/dmart.pay@okaxis@idfb0465952.ifsc.npci/DMART CDCI CDCI,,,742166934503,,1407.0,0.0,393649.0,debit,Punjab National Bank,5170994003365616_000003,,False
9171119933,DEEPA BORALE,KKBK0277972,24/01/2025,,NEFT KKBKN2501244857639 NEFTINW- (Cr) Shree Krishna Mobile MAHB0863067 72438034126,,KKBKN2501244857639,KKBKN2501244857639,,0.0,80794.0,300061.0,credit,Kotak Mahindra Bank,9171119933_000000,,False
