account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
39339860232963,Devanshu Malhotra,BARB0902152,09/02/2025,,DIGITA-MUMBAI/ NEFT-BARBN2502095890103-Bansilal Traders,,BARBN2502095890103,BARBN2502095890103,,0.0,35872.0,942454.0,credit,Bank of Baroda,39339860232963_000000,,False
531475372764,Harish Ram,ICIC0417626,09/02/2025,,NEFT:ICICN2502090976022:HANUMAN DICO,,ICICN2502090976022,ICICN2502090976022,,0.0,67531.0,1055109.0,credit,ICICI Bank,531475372764_000000,,False
1998728735417,FARAH KHAN,CNRB0532167,10/02/2025,,NACH DR-5383786506-BAJAJ FINANCE EMI-735417,,,,,7500.0,0.0,278529.0,debit,Canara Bank,1998728735417_000000,,False
2617869067302634,KIRAN NAIR,PUNB0153874,10/02/2025,,NEFT/PUNBN2502101892844/GLOBAL ENTERPRISE CDCI CDCI,,PUNBN2502101892844,PUNBN2502101892844,,0.0,56125.0,279432.0,credit,Punjab National Bank,2617869067302634_000000,,False
2617869067302634,KIRAN NAIR,PUNB0153874,10/02/2025,,UPI/297103353526/P2A/medplus@ybl@utib0104552.ifsc.npci/PHARMACY CDCI CDCI,,,297103353526,,1811.0,0.0,277621.0,debit,Punjab National Bank,2617869067302634_000001,,False
531475372764,Harish Ram,ICIC0417626,10/02/2025,,UPI/DR/610373631116/BIGB/ICIC/**bbdaily@okhdfcbank@icic0977501.ifsc.npci/UPI//ICI3356953879/BIGBASKET,,,610373631116,,3765.0,0.0,1051344.0,debit,ICICI Bank,531475372764_000001,,False
2617869067302634,KIRAN NAIR,PUNB0153874,11/02/2025,,UPI/302240483825/P2A/dmart.pay@okaxis@fdrl0910739.ifsc.npci/Dmart CDCI CDCI/DMART,,,302240483825,,1887.0,0.0,275734.0,debit,Punjab National Bank,2617869067302634_000002,,False
1998728735417,FARAH KHAN,CNRB0532167,12/02/2025,,NEFT CR-ICIC0478433-Global Enterprise-CNRBN2502124420996,,CNRBN2502124420996,CNRBN2502124420996,,0.0,56427.0,334956.0,credit,Canara Bank,1998728735417_000001,,False
2617869067302634,KIRAN NAIR,PUNB0153874,12/02/2025,,UPI/431307958656/P2A/irctc.pay@axisbank@idib0907250.ifsc.npci/IRCTC CDCI CDCI,,,431307958656,,1400.0,0.0,274334.0,debit,Punjab National Bank,2617869067302634_000003,,False
39339860232963,Devanshu Malhotra,BARB0902152,12/02/2025,,CWDR/522608781550/12-02-2025 08:11:36/CMN,,,,,15000.0,0.0,927454.0,debit,Bank of Baroda,39339860232963_000001,,False
