account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
21873482108351,Isha Reddy,BARB0674267,31/01/2025,,DIGITA-MUMBAI/ NEFT-BARBN2501317830107-CARMEN TRINITY VENTURE,,BARBN2501317830107,BARBN2501317830107,,0.0,52115.0,271598.0,credit,Bank of Baroda,21873482108351_000000,,False
84030412795,FARAH KHAN,IDFB0266918,31/01/2025,,NEFT/IDFBN2501310029552/HANUMAN DICO/IDFB0559310,,IDFBN2501310029552,IDFBN2501310029552,,0.0,64133.0,184136.0,credit,IDFC FIRST Bank,84030412795_000000,,False
21873482108351,Isha Reddy,BARB0674267,01/02/2025,,NACH DR-6881378737-HDFC BANK EMI-108351,,,,,15850.0,0.0,255748.0,debit,Bank of Baroda,21873482108351_000001,,False
219320109917,SHIV LAL BISHNOI,IDIB0367430,01/02/2025,,N/IDIBN2502019150927/IDFB0519334/CRYSTAL SUPPLY ENTERPRISE,,IDIBN2502019150927,IDIBN2502019150927,,0.0,73523.0,283925.0,credit,Indian Bank,219320109917_000000,,False
60274405686,KAVYA BOSE,SBIN0408236,01/02/2025,,NEFT CR-SBINN2502014836670- CNRB0253993-8081916489916-CRYSTAL SUPPLY ENTERPRISE- NEFT - 014836670 - 8081916489916 - CNRB0253993,,SBINN2502014836670,SBINN2502014836670,,0.0,84835.0,279633.0,credit,State Bank of India,60274405686_000000,,False
219320109917,SHIV LAL BISHNOI,IDIB0367430,01/02/2025,09:26:37,UPI/524153152961/DR/BIGBASKET/PUNB/bbdaily@okhdfcbank@punb0971376.ifsc.npci/UPI,,,524153152961,,4299.0,0.0,279626.0,debit,Indian Bank,219320109917_000001,,False
342949044011,Yash Dubey,ICIC0127609,02/02/2025,,UPI/DR/299891962542/JIO/BARB/**jio.mobile@ibl@barb0507992.ifsc.npci/UPI//ICI1431724043,,,299891962542,,2054.0,0.0,242266.0,debit,ICICI Bank,342949044011_000000,,False
219320109917,SHIV LAL BISHNOI,IDIB0367430,03/02/2025,,UPI/018608226145/DR/DMART/PUNB/dmart.pay@okaxis@punb0819545.ifsc.npci/UPI,,,018608226145,,3100.0,0.0,276526.0,debit,Indian Bank,219320109917_000002,,False
342949044011,Yash Dubey,ICIC0127609,03/02/2025,,NEFT:ICICN2502032012427:Global Enterprise,,ICICN2502032012427,ICICN2502032012427,,0.0,38093.0,280359.0,credit,ICICI Bank,342949044011_000001,,False
84030412795,FARAH KHAN,IDFB0266918,03/02/2025,,UPI/MOB/573828315305/Pay request to Pharmacy/medplus@ybl@icic0325010.ifsc.npci/PHARMACY,,,573828315305,,3534.0,0.0,180602.0,debit,IDFC FIRST Bank,84030412795_000001,,False
60274405686,KAVYA BOSE,SBIN0408236,03/02/2025,08:34:32,UPI/074563282994/FROM: 60274405686@sbin0408236.ifsc.npci/TO: bescom.bill@upi@kkbk0847797.ifsc.npci. NPCI/UPI/BESCOM,,,074563282994,,2952.0,0.0,276681.0,debit,State Bank of India,60274405686_000001,,False
21873482108351,Isha Reddy,BARB0674267,04/02/2025,,NACH DR-0483795112-ICICI BANK EMI-108351,,,,,7500.0,0.0,248248.0,debit,Bank of Baroda,21873482108351_000002,,False
342949044011,Yash Dubey,ICIC0127609,04/02/2025,,UPI/DR/698983443577/JIO/BARB/**jio.mobile@ibl@barb0983763.ifsc.npci/UPI//ICI2026053642,,,698983443577,,4405.0,0.0,275954.0,debit,ICICI Bank,342949044011_000002,,False
219320109917,SHIV LAL BISHNOI,IDIB0367430,05/02/2025,,UPI/555208853285/DR/DMART/SBIN/dmart.pay@okaxis@sbin0680142.ifsc.npci/UPI,,,555208853285,,1728.0,0.0,274798.0,debit,Indian Bank,219320109917_000003,,False
342949044011,Yash Dubey,ICIC0127609,05/02/2025,,UPI/DR/138401741216/IRCT/UTIB/**irctc.pay@axisbank@utib0429196.ifsc.npci/UPI//ICI0432659998/IRCTC,,,138401741216,,128.0,0.0,275826.0,debit,ICICI Bank,342949044011_000003,,False
84030412795,FARAH KHAN,IDFB0266918,05/02/2025,15:29:05,UPI/MOB/009588243233/Pay request to Pharmacy/medplus@ybl@barb0929860.ifsc.npci/PHARMACY,,,009588243233,,1511.0,0.0,179091.0,debit,IDFC FIRST Bank,84030412795_000002,,False
342949044011,Yash Dubey,ICIC0127609,06/02/2025,,UPI/DR/058205248790/DMAR/BARB/**dmart.pay@okaxis@barb0174760.ifsc.npci/UPI//ICI8784716029/DMART,,,058205248790,,837.0,0.0,274989.0,debit,ICICI Bank,342949044011_000004,,False
60274405686,KAVYA BOSE,SBIN0408236,06/02/2025,,UPI/614634895593/FROM: 60274405686@sbin0408236.ifsc.npci/TO: fuelpay@ybl@kkbk0838628.ifsc.npci. NPCI/UPI/INDIANOIL,,,614634895593,,3904.0,0.0,272777.0,debit,State Bank of India,60274405686_000002,,False
21873482108351,Isha Reddy,BARB0674267,07/02/2025,,UPI/218303620473/19:53:20/UPI/bbdaily@okhdfcbank@fdrl0493871.ifsc.npci/Payment/BIGBASKET,,,218303620473,,3513.0,0.0,244735.0,debit,Bank of Baroda,21873482108351_000003,,False
342949044011,Yash Dubey,ICIC0127609,07/02/2025,,UPI/DR/992336555687/DMAR/IDIB/**dmart.pay@okaxis@idib0942651.ifsc.npci/UPI//ICI6879389372/DMART,,,992336555687,,2842.0,0.0,272147.0,debit,ICICI Bank,342949044011_000005,,False
60274405686,KAVYA BOSE,SBIN0408236,07/02/2025,,AMB CHRGS FOR FEB 2025,,,,,18.0,0.0,272759.0,debit,State Bank of India,60274405686_000003,,False
219320109917,SHIV LAL BISHNOI,IDIB0367430,08/02/2025,,UPI/705056401229/DR/AIRTEL/UTIB/airtel.recharge@airtel@utib0571565.ifsc.npci/UPI,,,705056401229,,3090.0,0.0,271708.0,debit,Indian Bank,219320109917_000004,,False
60274405686,KAVYA BOSE,SBIN0408236,08/02/2025,,UPI/037704002979/FROM: 60274405686@sbin0408236.ifsc.npci/TO: medplus@ybl@fdrl0117022.ifsc.npci. NPCI/UPI/PHARMACY,,,037704002979,,2228.0,0.0,270531.0,debit,State Bank of India,60274405686_000004,,False
84030412795,FARAH KHAN,IDFB0266918,08/02/2025,16:19:40,NACH DR-6119612582-BAJAJ FINANCE EMI-412795,,,,,15850.0,0.0,163241.0,debit,IDFC FIRST Bank,84030412795_000003,,False
21873482108351,Isha Reddy,BARB0674267,09/02/2025,,UPI/101477363413/18:19:15/UPI/dmart.pay@okaxis@utib0953290.ifsc.npci/Payment/DMART,,,101477363413,,2892.0,0.0,241843.0,debit,Bank of Baroda,21873482108351_000004,,False
342949044011,Yash Dubey,ICIC0127609,09/02/2025,,UPI/DR/095185150355/BESC/FDRL/**bescom.bill@upi@fdrl0274804.ifsc.npci/UPI//ICI1216461703/BESCOM,,,095185150355,,2107.0,0.0,270040.0,debit,ICICI Bank,342949044011_000006,,False
219320109917,SHIV LAL BISHNOI,IDIB0367430,10/02/2025,,CWDR/486391548613/10-02-2025 09:36:35/CMN,,,,,10000.0,0.0,261708.0,debit,Indian Bank,219320109917_000005,,False
