account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
8029255935622706,LAKSHMI DEVI K,PUNB0170350,25/01/2025,,NEFT/PUNBN2501251661429/Rudraya Hotel CDCI CDCI,,PUNBN2501251661429,PUNBN2501251661429,,0.0,56664.0,192869.0,credit,Punjab National Bank,8029255935622706_000000,,False
45824806118187,FARAH KHAN,UTIB0975760,26/01/2025,,UPI:PAY:977904977220/Bescom            /ICICI Bank/BESCOM,,,977904977220,,1769.0,0.0,206463.0,debit,Axis Bank,45824806118187_000000,,False
47569602855,Rekha Yadav,MAHB0315819,26/01/2025,,UPI/783943015029/DR/AIRTEL/SBIN/airtel.recharge@airtel@sbin0464602.ifsc.npci/UPI,,,783943015029,,711.0,0.0,148042.0,debit,Bank of Maharashtra,47569602855_000000,,False
68578940765363,Radha Rekha Saxena,BARB0885639,26/01/2025,,DIGITA-MUMBAI/ NEFT-BARBN2501269692218-TECHREVIVE SOLUTIONS,,BARBN2501269692218,BARBN2501269692218,,0.0,48543.0,210548.0,credit,Bank of Baroda,68578940765363_000000,,False
443615501854,Harish Ram,ICIC0673635,27/01/2025,,NEFT:ICICN2501276915445:Legend Prime,,ICICN2501276915445,ICICN2501276915445,,0.0,43584.0,219663.0,credit,ICICI Bank,443615501854_000000,,False
443615501854,Harish Ram,ICIC0673635,27/01/2025,,UPI/DR/863367413554/BIGB/IDFB/**bbdaily@okhdfcbank@idfb0947471.ifsc.npci/UPI//ICI0264971257/BIGBASKET,,,863367413554,,1120.0,0.0,218543.0,debit,ICICI Bank,443615501854_000001,,False
45824806118187,FARAH KHAN,UTIB0975760,27/01/2025,,MB NEFT/UTIBN2501270202983/Global Ent/Global Enterprise/,,UTIBN2501270202983,UTIBN2501270202983,,0.0,48385.0,254848.0,credit,Axis Bank,45824806118187_000001,,False
45824806118187,FARAH KHAN,UTIB0975760,27/01/2025,,ECSRTNCHGS270125_SR174181028GST,,,,,59.0,0.0,254789.0,debit,Axis Bank,45824806118187_000002,,False
68578940765363,Radha Rekha Saxena,BARB0885639,27/01/2025,,UPI/547150543982/08:28:27/UPI/dmart.pay@okaxis@icic0706762.ifsc.npci/Payment/DMART,,,547150543982,,3244.0,0.0,207304.0,debit,Bank of Baroda,68578940765363_000001,,False
8029255935622706,LAKSHMI DEVI K,PUNB0170350,27/01/2025,,UPI/153881243791/P2A/dmart.pay@okaxis@kkbk0950599.ifsc.npci/DMART CDCI CDCI,,,153881243791,,837.0,0.0,192032.0,debit,Punjab National Bank,8029255935622706_000001,,False
39062252019,VIKRAM SAXENA,SBIN0960001,27/01/2025,13:09:15,UPI/932755526472/FROM: 39062252019@sbin0960001.ifsc.npci/TO: bescom.bill@upi@fdrl0202691.ifsc.npci. NPCI/UPI/BESCOM,,,932755526472,,1851.0,0.0,236826.0,debit,State Bank of India,39062252019_000000,,False
39062252019,VIKRAM SAXENA,SBIN0960001,28/01/2025,,NEFT CR-SBINN2501281475716- UTIB0549648-39948229557227-SUGARIFY AGENCY- NEFT - 281475716 - 39948229557227 - UTIB0549648,,SBINN2501281475716,SBINN2501281475716,,0.0,52737.0,289563.0,credit,State Bank of India,39062252019_000001,,False
39062252019,VIKRAM SAXENA,SBIN0960001,28/01/2025,,UPI/973732784414/FROM: 39062252019@sbin0960001.ifsc.npci/TO: airtel.recharge@airtel@mahb0836546.ifsc.npci. NPCI/UPI/AIRTEL,,,973732784414,,3010.0,0.0,286553.0,debit,State Bank of India,39062252019_000002,,False
47569602855,Rekha Yadav,MAHB0315819,28/01/2025,,BANSILAL TRADERS MAHBN2501284123737 - 9008-NEFT/ RTGS CELL KKBK0626561 2842326778,,MAHBN2501284123737,MAHBN2501284123737,,0.0,49882.0,197924.0,credit,Bank of Maharashtra,47569602855_000001,,False
47569602855,Rekha Yadav,MAHB0315819,28/01/2025,19:28:20,UPI/123371521838/DR/INDIANOIL/CNRB/fuelpay@ybl@cnrb0553286.ifsc.npci/UPI,,,123371521838,,634.0,0.0,197290.0,debit,Bank of Maharashtra,47569602855_000002,,False
443615501854,Harish Ram,ICIC0673635,29/01/2025,,UPI/DR/920336023242/AIRT/HDFC/**airtel.recharge@airtel@hdfc0977261.ifsc.npci/UPI//ICI2623867012/AIRTEL,,,920336023242,,3061.0,0.0,215482.0,debit,ICICI Bank,443615501854_000002,,False
47569602855,Rekha Yadav,MAHB0315819,29/01/2025,,UPI/327415747261/DR/AIRTEL/IDIB/airtel.recharge@airtel@idib0404679.ifsc.npci/UPI,,,327415747261,,3954.0,0.0,193336.0,debit,Bank of Maharashtra,47569602855_000003,,False
68578940765363,Radha Rekha Saxena,BARB0885639,29/01/2025,,GST,,,,,18.0,0.0,207286.0,debit,Bank of Baroda,68578940765363_000002,,False
39062252019,VIKRAM SAXENA,SBIN0960001,30/01/2025,,ATM Wdl P1ENPUN10 +PUNE 30/01/25 22:34,,,,,15000.0,0.0,271553.0,debit,State Bank of India,39062252019_000003,,False
45824806118187,FARAH KHAN,UTIB0975760,30/01/2025,,NACH DR-3860454492-BAJAJ FINANCE EMI-118187,,,,,7500.0,0.0,247289.0,debit,Axis Bank,45824806118187_000003,,False
8029255935622706,LAKSHMI DEVI K,PUNB0170350,30/01/2025,,SMS ALERT CHARGES NEW,,,,,9.0,0.0,192023.0,debit,Punjab National Bank,8029255935622706_000002,,False
68578940765363,Radha Rekha Saxena,BARB0885639,31/01/2025,,UPI/109709948896/16:32:37/UPI/medplus@ybl@cnrb0973683.ifsc.npci/Payment/PHARMACY,,,109709948896,,2717.0,0.0,204569.0,debit,Bank of Baroda,68578940765363_000003,,False
443615501854,Harish Ram,ICIC0673635,31/01/2025,13:45:18,CWDR/759258198692/31-01-2025 18:02:43/CMN,,,,,10000.0,0.0,205482.0,debit,ICICI Bank,443615501854_000003,,False
