account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
9976956729194,HARISH RAM,CNRB0565648,07/01/2025,,NEFT CR-HDFC0134228-Hanuman Dico-CNRBN2501071563893,,CNRBN2501071563893,CNRBN2501071563893,,0.0,71657.0,270346.0,credit,Canara Bank,9976956729194_000000,,False
31297511088,Ravi Kumar Sharma,MAHB0699146,08/01/2025,,RG ENTERPRISE MAHBN2501080327594 - 9008-NEFT/ RTGS CELL UTIB0387018 40836367117097,,MAHBN2501080327594,MAHBN2501080327594,,0.0,59728.0,249679.0,credit,Bank of Maharashtra,31297511088_000000,,False
331255803196,Deepa Borale,ICIC0141591,08/01/2025,,UPI/DR/547644393085/INDI/MAHB/**fuelpay@ybl@mahb0222539.ifsc.npci/UPI//ICI8771856090/INDIANOIL,,,547644393085,,4097.0,0.0,95437.0,debit,ICICI Bank,331255803196_000000,,False
35588709529484,SACHIN SETHI,UTIB0540712,08/01/2025,,MB NEFT/UTIBN2501084671488/SUGARIFY A/SUGARIFY AGENCY/,,UTIBN2501084671488,UTIBN2501084671488,,0.0,38179.0,105315.0,credit,Axis Bank,35588709529484_000000,,False
3163841068821604,PRIYA VENKATESH,PUNB0973811,08/01/2025,18:20:31,UPI/141014253753/P2A/jio.mobile@ibl@kkbk0218366.ifsc.npci/JIO CDCI CDCI,,,141014253753,,1983.0,0.0,196494.0,debit,Punjab National Bank,3163841068821604_000000,,False
18808003162473,Anjali Sunita,FDRL0399470,09/01/2025,,FT NEFT/FDRLN2501099598456/Shree Krishna Mobile/Shree Krishna Mobile TRF 09-Jan-25,,FDRLN2501099598456,FDRLN2501099598456,,0.0,44508.0,389215.0,credit,Federal Bank,18808003162473_000000,,False
18808003162473,Anjali Sunita,FDRL0399470,09/01/2025,,NACH DR-7397532359-ICICI BANK EMI-162473,,,,,7500.0,0.0,381715.0,debit,Federal Bank,18808003162473_000001,,False
31297511088,Ravi Kumar Sharma,MAHB0699146,09/01/2025,,UPI/653380485328/DR/INDIANOIL/MAHB/fuelpay@ybl@mahb0748080.ifsc.npci/UPI,,,653380485328,,1314.0,0.0,248365.0,debit,Bank of Maharashtra,31297511088_000001,,False
331255803196,Deepa Borale,ICIC0141591,09/01/2025,,NEFT:ICICN2501090543232:CRYSTAL SUPPLY ENTERPRISE,,ICICN2501090543232,ICICN2501090543232,,0.0,67045.0,162482.0,credit,ICICI Bank,331255803196_000001,,False
35588709529484,SACHIN SETHI,UTIB0540712,09/01/2025,,UPI:PAY:339302784158/Pharmacy          /Bank of Ma/PHARMACY,,,339302784158,,758.0,0.0,104557.0,debit,Axis Bank,35588709529484_000001,,False
9976956729194,HARISH RAM,CNRB0565648,09/01/2025,,CWDR/768041944668/09-01-2025 14:07:48/CMN,,,,,8000.0,0.0,262346.0,debit,Canara Bank,9976956729194_000001,,False
18808003162473,Anjali Sunita,FDRL0399470,10/01/2025,,UPI/113735400023/DR/DMART/CNRB/dmart.pay@okaxis@cnrb0397557.ifsc.npci/UPI,,,113735400023,,138.0,0.0,381577.0,debit,Federal Bank,18808003162473_000002,,False
3163841068821604,PRIYA VENKATESH,PUNB0973811,10/01/2025,,NEFT/PUNBN2501103424818/Maa Enterprise CDCI CDCI,,PUNBN2501103424818,PUNBN2501103424818,,0.0,38853.0,235347.0,credit,Punjab National Bank,3163841068821604_000001,,False
9976956729194,HARISH RAM,CNRB0565648,10/01/2025,,UPI/484424713643/DR/BESCOM/ICIC/bescom.bill@upi@icic0915304.ifsc.npci/UPI,,,484424713643,,4273.0,0.0,258073.0,debit,Canara Bank,9976956729194_000002,,False
3163841068821604,PRIYA VENKATESH,PUNB0973811,11/01/2025,,UPI/967467761785/P2A/dmart.pay@okaxis@mahb0695595.ifsc.npci/Dmart CDCI CDCI/DMART,,,967467761785,,3738.0,0.0,231609.0,debit,Punjab National Bank,3163841068821604_000002,,False
331255803196,Deepa Borale,ICIC0141591,11/01/2025,10:41:34,UPI/DR/336461197848/JIO/MAHB/**jio.mobile@ibl@mahb0964920.ifsc.npci/UPI//ICI3542165485,,,336461197848,,114.0,0.0,162368.0,debit,ICICI Bank,331255803196_000002,,False
18808003162473,Anjali Sunita,FDRL0399470,11/01/2025,18:09:53,UPI/424721455863/DR/IRCTC/CNRB/irctc.pay@axisbank@cnrb0174747.ifsc.npci/UPI,,,424721455863,,3738.0,0.0,377839.0,debit,Federal Bank,18808003162473_000003,,False
31297511088,Ravi Kumar Sharma,MAHB0699146,12/01/2025,,NACH DR-0226249189-ICICI BANK EMI-511088,,,,,21400.0,0.0,226965.0,debit,Bank of Maharashtra,31297511088_000002,,False
331255803196,Deepa Borale,ICIC0141591,12/01/2025,,UPI/DR/363660286637/BESC/PUNB/**bescom.bill@upi@punb0893394.ifsc.npci/UPI//ICI0105914841/BESCOM,,,363660286637,,345.0,0.0,162023.0,debit,ICICI Bank,331255803196_000003,,False
35588709529484,SACHIN SETHI,UTIB0540712,12/01/2025,12:32:22,UPI:PAY:658962482624/DMART             /Canara Ban,,,658962482624,,2990.0,0.0,101567.0,debit,Axis Bank,35588709529484_000002,,False
18808003162473,Anjali Sunita,FDRL0399470,12/01/2025,12:32:28,UPI/096181092589/DR/DMART/IDFB/dmart.pay@okaxis@idfb0661695.ifsc.npci/UPI,,,096181092589,,3859.0,0.0,373980.0,debit,Federal Bank,18808003162473_000004,,False
3163841068821604,PRIYA VENKATESH,PUNB0973811,12/01/2025,19:14:10,UPI/420910902182/P2A/jio.mobile@ibl@utib0440324.ifsc.npci/JIO CDCI CDCI,,,420910902182,,2069.0,0.0,229540.0,debit,Punjab National Bank,3163841068821604_000003,,False
331255803196,Deepa Borale,ICIC0141591,13/01/2025,,UPI/DR/567614125385/DMAR/MAHB/**dmart.pay@okaxis@mahb0448802.ifsc.npci/UPI//ICI6216082524/DMART,,,567614125385,,938.0,0.0,161085.0,debit,ICICI Bank,331255803196_000004,,False
35588709529484,SACHIN SETHI,UTIB0540712,13/01/2025,,UPI:PAY:749828609081/JIO               /Canara Ban,,,749828609081,,1509.0,0.0,100058.0,debit,Axis Bank,35588709529484_000003,,False
18808003162473,Anjali Sunita,FDRL0399470,13/01/2025,09:34:19,UPI/278638151684/DR/DMART/MAHB/dmart.pay@okaxis@mahb0959285.ifsc.npci/UPI,,,278638151684,,3779.0,0.0,370201.0,debit,Federal Bank,18808003162473_000005,,False
