account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
81137151773710,SANJAY SHETTY,UTIB0596587,17/01/2025,,MB NEFT/UTIBN2501176715056/RUDRAYA HO/RUDRAYA HOTEL/,,UTIBN2501176715056,UTIBN2501176715056,,0.0,81456.0,305552.0,credit,Axis Bank,81137151773710_000000,,False
2264541082227,ANJALI SUNITA,CNRB0331396,18/01/2025,,NEFT CR-MAHB0601461-Shree Krishna Mobile-CNRBN2501188646153,,CNRBN2501188646153,CNRBN2501188646153,,0.0,47554.0,519243.4,credit,Canara Bank,2264541082227_000000,,False
41535698295600,Rohan Kapoor,HDFC0734986,18/01/2025,,UPI/773812021205/SENT USING PAYTM UPI/irctc.pay@axisbank@mahb0869988.ifsc.npci/IRCTC,,,773812021205,,269.0,0.0,170244.0,debit,HDFC Bank,41535698295600_000000,,False
2264541082227,ANJALI SUNITA,CNRB0331396,19/01/2025,,CWDR/644121083814/19-01-2025 11:38:21/CMN,,,,,8000.0,0.0,511243.4,debit,Canara Bank,2264541082227_000001,,False
4412553087,ISHA REDDY,KKBK0382052,19/01/2025,,NEFT KKBKN2501194725759 NEFTINW- (Cr) HANUMAN DICO IDFB0126082 78087780854,,KKBKN2501194725759,KKBKN2501194725759,,0.0,46576.0,255963.0,credit,Kotak Mahindra Bank,4412553087_000000,,False
4412553087,ISHA REDDY,KKBK0382052,19/01/2025,,MONTHLY SMS CHARGES,,,,,29.0,0.0,255934.0,debit,Kotak Mahindra Bank,4412553087_000001,,False
14170744216,YASH DUBEY,SBIN0130848,19/01/2025,10:57:30,UPI/282113862548/FROM: 14170744216@sbin0130848.ifsc.npci/TO: jio.mobile@ibl@idib0752936.ifsc.npci. NPCI/UPI/JIO,,,282113862548,,3626.0,0.0,79184.0,debit,State Bank of India,14170744216_000000,,False
81137151773710,SANJAY SHETTY,UTIB0596587,19/01/2025,11:10:24,UPI:PAY:824844875603/IRCTC             /Kotak Mahi,,,824844875603,,2146.0,0.0,303406.0,debit,Axis Bank,81137151773710_000001,,False
14170744216,YASH DUBEY,SBIN0130848,20/01/2025,,NEFT CR-SBINN2501205868510- SBIN0367006-05348345683-RUDRAYA HOTEL- NEFT - 205868510 - 05348345683 - SBIN0367006,,SBINN2501205868510,SBINN2501205868510,,0.0,50106.0,129290.0,credit,State Bank of India,14170744216_000001,,False
14170744216,YASH DUBEY,SBIN0130848,20/01/2025,,NACH DR-7169984182-HDFC BANK EMI-744216,,,,,21400.0,0.0,107890.0,debit,State Bank of India,14170744216_000002,,False
