account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
6418850686,AARAV GHOSH,KKBK0378194,22/03/2025,,NEFT KKBKN2503222164949 NEFTINW- (Cr) Shree Krishna Mobile BARB0120980 97287775563812,,KKBKN2503222164949,KKBKN2503222164949,,0.0,55994.0,177302.0,credit,Kotak Mahindra Bank,6418850686_000000,,False
7393443422619240,YASH DUBEY,PUNB0236194,22/03/2025,,NEFT/PUNBN2503222487190/HANUMAN DICO CDCI CDCI,,PUNBN2503222487190,PUNBN2503222487190,,0.0,71595.0,191196.0,credit,Punjab National Bank,7393443422619240_000000,,False
12412274587,MEERA PATEL,IDFB0280555,23/03/2025,,NEFT/IDFBN2503233658557/Bansilal Traders/HDFC0321514,,IDFBN2503233658557,IDFBN2503233658557,,0.0,78977.0,424871.0,credit,IDFC FIRST Bank,12412274587_000000,,False
3678781768792,SANJAY SHETTY,CNRB0972574,23/03/2025,,NEFT CR-KKBK0993256-SHREE KRISHNA MOBILE-CNRBN2503230427268,,CNRBN2503230427268,CNRBN2503230427268,,0.0,49768.0,292002.0,credit,Canara Bank,3678781768792_000000,,False
7393443422619240,YASH DUBEY,PUNB0236194,23/03/2025,,MAB CHARGES,,,,,18.0,0.0,191178.0,debit,Punjab National Bank,7393443422619240_000001,,False
56072458205120,AARAV GHOSH,UTIB0162631,24/03/2025,,UPI:PAY:369821302570/Indianoil         /HDFC Bank/INDIANOIL,,,369821302570,,1475.0,0.0,418336.0,debit,Axis Bank,56072458205120_000000,,False
6418850686,AARAV GHOSH,KKBK0378194,24/03/2025,,UPI/064085472714/DR/DMAR/KKBK/dmart.pay@okaxis@kkbk0551117.ifsc.npci/UPI | D/DMART,,,064085472714,,790.0,0.0,176512.0,debit,Kotak Mahindra Bank,6418850686_000001,,False
12412274587,MEERA PATEL,IDFB0280555,25/03/2025,,UPI/MOB/292335283338/Pay request to Irctc/irctc.pay@axisbank@hdfc0691026.ifsc.npci/IRCTC,,,292335283338,,2707.0,0.0,422164.0,debit,IDFC FIRST Bank,12412274587_000001,,False
56072458205120,AARAV GHOSH,UTIB0162631,25/03/2025,,MB NEFT/UTIBN2503259825687/CARMEN TRI/CARMEN TRINITY VENTURE/,,UTIBN2503259825687,UTIBN2503259825687,,0.0,39920.0,458256.0,credit,Axis Bank,56072458205120_000001,,False
65881379031,ARJUN SURESH NAIR,SBIN0555812,25/03/2025,,NEFT CR-SBINN2503252159702- MAHB0336401-03157223317-Sugarify Agency- NEFT - 252159702 - 03157223317 - MAHB0336401,,SBINN2503252159702,SBINN2503252159702,,0.0,82348.0,406238.0,credit,State Bank of India,65881379031_000000,,False
65881379031,ARJUN SURESH NAIR,SBIN0555812,25/03/2025,,UPI/986884910476/FROM: 65881379031@sbin0555812.ifsc.npci/TO: irctc.pay@axisbank@barb0637036.ifsc.npci. NPCI/UPI/IRCTC,,,986884910476,,4031.0,0.0,402207.0,debit,State Bank of India,65881379031_000001,,False
3678781768792,SANJAY SHETTY,CNRB0972574,25/03/2025,08:52:05,UPI/440435504618/DR/AIRTEL/HDFC/airtel.recharge@airtel@hdfc0883908.ifsc.npci/UPI,,,440435504618,,4273.0,0.0,287729.0,debit,Canara Bank,3678781768792_000001,,False
6418850686,AARAV GHOSH,KKBK0378194,25/03/2025,10:19:17,NACH DR-1180025426-HDFC BANK EMI-850686,,,,,7500.0,0.0,169012.0,debit,Kotak Mahindra Bank,6418850686_000002,,False
56072458205120,AARAV GHOSH,UTIB0162631,26/03/2025,,NFSCWD ATM 6NMYSORE/828115224691/09:13:52/MYSORE,,,,,5000.0,0.0,453256.0,debit,Axis Bank,56072458205120_000002,,False
7393443422619240,YASH DUBEY,PUNB0236194,26/03/2025,,UPI/004575204864/P2A/bbdaily@okhdfcbank@fdrl0689993.ifsc.npci/Bigbasket CDCI CDCI/BIGBASKET,,,004575204864,,3507.0,0.0,187671.0,debit,Punjab National Bank,7393443422619240_000002,,False
12412274587,MEERA PATEL,IDFB0280555,27/03/2025,,UPI/MOB/413879201222/Pay request to AIRTEL/airtel.recharge@airtel@idib0289063.ifsc.npci,,,413879201222,,2790.0,0.0,419374.0,debit,IDFC FIRST Bank,12412274587_000002,,False
6418850686,AARAV GHOSH,KKBK0378194,27/03/2025,,UPI/785219796868/DR/PHAR/FDRL/medplus@ybl@fdrl0618250.ifsc.npci/UPI | D/PHARMACY,,,785219796868,,840.0,0.0,168172.0,debit,Kotak Mahindra Bank,6418850686_000003,,False
65881379031,ARJUN SURESH NAIR,SBIN0555812,27/03/2025,,UPI/663822585642/FROM: 65881379031@sbin0555812.ifsc.npci/TO: bescom.bill@upi@sbin0320120.ifsc.npci. NPCI/UPI/BESCOM,,,663822585642,,1158.0,0.0,401049.0,debit,State Bank of India,65881379031_000002,,False
12412274587,MEERA PATEL,IDFB0280555,28/03/2025,,UPI/MOB/890620281763/Pay request to INDIANOIL/fuelpay@ybl@cnrb0564725.ifsc.npci,,,890620281763,,2181.0,0.0,417193.0,debit,IDFC FIRST Bank,12412274587_000003,,False
3678781768792,SANJAY SHETTY,CNRB0972574,28/03/2025,,UPI/481521425962/DR/JIO/BARB/jio.mobile@ibl@barb0857164.ifsc.npci/UPI,,,481521425962,,4090.0,0.0,283639.0,debit,Canara Bank,3678781768792_000002,,False
6418850686,AARAV GHOSH,KKBK0378194,28/03/2025,,UPI/220793139197/DR/DMAR/BARB/dmart.pay@okaxis@barb0775489.ifsc.npci/UPI | D/DMART,,,220793139197,,210.0,0.0,167962.0,debit,Kotak Mahindra Bank,6418850686_000004,,False
65881379031,ARJUN SURESH NAIR,SBIN0555812,28/03/2025,,UPI/766108369288/FROM: 65881379031@sbin0555812.ifsc.npci/TO: bbdaily@okhdfcbank@sbin0428294.ifsc.npci. NPCI/UPI/BIGBASKET,,,766108369288,,819.0,0.0,400230.0,debit,State Bank of India,65881379031_000003,,False
7393443422619240,YASH DUBEY,PUNB0236194,28/03/2025,,NACH DR-3564438190-ICICI BANK EMI-619240,,,,,7500.0,0.0,180171.0,debit,Punjab National Bank,7393443422619240_000003,,False
12412274587,MEERA PATEL,IDFB0280555,29/03/2025,,NACH DR-5159520422-HDFC BANK EMI-274587,,,,,21400.0,0.0,395793.0,debit,IDFC FIRST Bank,12412274587_000004,,False
56072458205120,AARAV GHOSH,UTIB0162631,29/03/2025,15:23:07,NFSCWD ATM 6NPUNE/486388523116/09:43:15/PUNE,,,,,5000.0,0.0,448256.0,debit,Axis Bank,56072458205120_000003,,False
56072458205120,AARAV GHOSH,UTIB0162631,30/03/2025,,UPI:PAY:616010053132/BIGBASKET         /Indian Ban,,,616010053132,,3995.0,0.0,444261.0,debit,Axis Bank,56072458205120_000004,,False
6418850686,AARAV GHOSH,KKBK0378194,30/03/2025,,UPI/655514900744/DR/IRCT/HDFC/irctc.pay@axisbank@hdfc0235223.ifsc.npci/UPI | D/IRCTC,,,655514900744,,1326.0,0.0,166636.0,debit,Kotak Mahindra Bank,6418850686_000005,,False
7393443422619240,YASH DUBEY,PUNB0236194,30/03/2025,,UPI/761869660789/P2A/jio.mobile@ibl@kkbk0205339.ifsc.npci/JIO CDCI CDCI,,,761869660789,,3858.0,0.0,176313.0,debit,Punjab National Bank,7393443422619240_000004,,False
3678781768792,SANJAY SHETTY,CNRB0972574,31/03/2025,,SMS ALERT CHARGES NEW,,,,,29.0,0.0,283610.0,debit,Canara Bank,3678781768792_000003,,False
65881379031,ARJUN SURESH NAIR,SBIN0555812,31/03/2025,,UPI/221363297523/FROM: 65881379031@sbin0555812.ifsc.npci/TO: fuelpay@ybl@kkbk0569458.ifsc.npci. NPCI/UPI/INDIANOIL,,,221363297523,,4210.0,0.0,396020.0,debit,State Bank of India,65881379031_000004,,False
12412274587,MEERA PATEL,IDFB0280555,01/04/2025,,UPI/MOB/038753098463/Pay request to Airtel/airtel.recharge@airtel@mahb0547724.ifsc.npci/AIRTEL,,,038753098463,,2819.0,0.0,392974.0,debit,IDFC FIRST Bank,12412274587_000005,,False
56072458205120,AARAV GHOSH,UTIB0162631,01/04/2025,,UPI:PAY:890356499124/INDIANOIL         /Punjab Nat,,,890356499124,,2143.0,0.0,442118.0,debit,Axis Bank,56072458205120_000005,,False
6418850686,AARAV GHOSH,KKBK0378194,02/04/2025,,CWDR/205188190741/02-04-2025 15:01:54/CMN,,,,,5000.0,0.0,161636.0,debit,Kotak Mahindra Bank,6418850686_000006,,False
7393443422619240,YASH DUBEY,PUNB0236194,02/04/2025,,UPI/419156316558/P2A/irctc.pay@axisbank@kkbk0158717.ifsc.npci/IRCTC CDCI CDCI,,,419156316558,,2959.0,0.0,173354.0,debit,Punjab National Bank,7393443422619240_000005,,False
