Date,Narration,Debit,Credit,Balance,Account_ID,Bank_Name,is_reversed
2022-08-02,UPI/DR/59511114/DEEPAK JOSHI/KKBK0045457/deepak991@oksbi,0.0,166079.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-02,NEFT/6444697102/ARUN SHARMA/KKBK0045457/31840666654845,0.0,170759.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/79255796/SHAHID KHAN/KKBK0045457/shahid543@okhdfc,0.0,170231.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/11811773/POOJA SHARMA/KKBK0045457/pooja105@okaxis,0.0,168732.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-03,UPI/DR/0330045284/PADMA RAO/KKBK0045457/padma633@okaxis,0.0,166783.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-03,UPI/DR/046168202147/DEEPA NAIR/KKBK0045457/deepa271@paytm,0.0,198124.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-04,UPI/DR/00264018/GEETA DEVI/KKBK0045457/geeta124@okhdfc,0.0,197376.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-05,UPI/DR/8384154752/SUNIL YADAV/KKBK0045457/sunil126@okaxis,0.0,197376.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-06,CHQ NO 052916 CLEARING,0.0,212868.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-06,UPI/DR/0476831871/BABU LAL/KKBK0045457/babu983@oksbi,0.0,211749.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-06,CHQ NO 159416 CLEARING,0.0,219300.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-07,NEFT/56819084/SUNITA DEVI/KKBK0045457/56759895078718,0.0,226821.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-07,CHQ NO 373894 CLEARING,0.0,218523.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-09,UPI/DR/460873739862/USHA RANI/KKBK0045457/usha628@paytm,0.0,218527.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-09,ATM/WDL/615465823164/HDFC ATM KORAMANGALA,0.0,217628.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-09,CHQ NO 027558 CLEARING,0.0,244428.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-09,UPI/DR/78993626/ARUN SHARMA/KKBK0045457/arun62@oksbi,0.0,241749.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-10,NEFT/89618601/SUNITA DEVI/KKBK0045457/90500461537023,0.0,241580.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-11,UPI/DR/5708434529/LATHA MURTHY/KKBK0045457/latha887@okaxis,0.0,313281.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-11,UPI/DR/6254594479/RAMESH GOWDA/KKBK0045457/ramesh123@okaxis,0.0,312282.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-11,UPI/DR/4497127518/HARISH MENON/KKBK0045457/harish362@okhdfc,0.0,306833.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-12,UPI/DR/8342764979/MALLIKA DAS/KKBK0045457/mallika562@oksbi,0.0,314123.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-13,UPI/DR/983662137876/KIRAN REDDY/KKBK0045457/kiran176@okaxis,0.0,310063.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-14,UPI/DR/042273235141/KARTHIK MENON/KKBK0045457/karthik938@paytm,0.0,308215.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-14,CHQ NO 472616 CLEARING,0.0,301765.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-15,UPI/DR/833056924320/NILESH KULKARNI/KKBK0045457/nilesh929@oksbi,0.0,392985.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-16,ATM/WDL/0421397072/CANARA ATM MYSURU,0.0,403186.51,0.0,ACC063,Kotak Mahindra Bank,False
2022-08-17,UPI/DR/25727325/SURESH BABU/KKBK0045457/suresh639@ybl,0.0,399556.51,0.0,ACC063,Kotak Mahindra Bank,False
