Date,Narration,Debit,Credit,Balance,Account_ID,Bank_Name,flag_reason
2022-08-01,IMPS/P2P/8666959686/VINAY PATIL/9633662527,24000.0,155379.51,0.0,ACC063,Kotak Mahindra Bank,both_debit_credit_filled
2022-08-01,UPI/CR/68219408/SURESH NAIR/KKBK0045457/suresh576@paytm,18500.0,173879.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-02,NEFT/43996933/IMRAN KHAN/KKBK0045457/82736596420478,4800.0,170879.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-02,ATM/WDL/42963468/SBI ATM JAYANAGAR BLR,0.0,170680.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-02,UPI/DR/633562049445/PRAKASH RAO/KKBK0045457/prakash24@ybl,0.0,169982.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-02,UPI/DR/72259755/DEEPA NAIR/KKBK0045457/deepa817@okaxis,0.0,167482.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-03,IMPS/P2P/770624403232/GEETA DEVI/8018108939,11200.0,177983.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-03,UPI/CR/379611749325/HARISH MENON/KKBK0045457/harish766@okaxis,1200.0,179183.51,0.0,ACC063,Kotak Mahindra Bank,both_debit_credit_filled
2022-08-03,IMPS/P2P/9468326891/ROHIT SHARMA/9640369211,1200.0,180383.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-03,NEFT/487953873288/PADMA RAO/KKBK0045457/46219362278045,18500.0,198883.51,0.0,ACC063,Kotak Mahindra Bank,both_debit_credit_filled
2022-08-03,UPI/DR/629891218669/AYESHA KHAN/KKBK0045457/ayesha279@okaxis,0.0,198573.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-04,UPI/DR/24756424/PRIYA NAIR/KKBK0045457/priya804@paytm,0.0,198075.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-04,UPI/CR/9607153238/RAVI KUMAR SHARMA/KKBK0045457/ravi457@okaxis,850.0,198226.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-05,UPI/DR/3680457732/SNEHA PATIL/KKBK0045457/sneha792@paytm,0.0,197066.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-06,UPI/CR/36615872/DEEPAK JOSHI/KKBK0045457/deepak171@ybl,11200.0,208266.51,0.0,ACC063,Kotak Mahindra Bank,both_debit_credit_filled
2022-08-06,IMPS/P2P/5418931682/MEENA IYER/7627195652,850.0,209116.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-06,NEFT/94834991/GEETA DEVI/KKBK0045457/13430479138614,4800.0,213916.51,0.0,ACC063,Kotak Mahindra Bank,both_debit_credit_filled
2022-08-06,UPI/DR/026024189388/SNEHA PATIL/KKBK0045457/sneha822@paytm,0.0,213867.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-06,UPI/DR/6273802991/DEEPAK JOSHI/KKBK0045457/deepak945@okaxis,0.0,211869.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-06,UPI/CR/23376210/PRIYA NAIR/KKBK0045457/priya403@paytm,7600.0,219349.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-06,UPI/CR/39125329/SAVITHA DEVI/KKBK0045457/savitha557@okaxis,7600.0,226900.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-08-07,UPI/DR/12116291/ADITYA KUMAR/KKBK0045457/aditya186@paytm,0.0,226372.51,0.0,ACC063,Kotak Mahindra Bank,balance_mismatch
