Date,Narration,Debit,Credit,Balance,Account_ID,Bank_Name,is_reversed
2022-08-01,IMPS/P2P/8666959686/VINAY PATIL/9633662527,0.0,24000.0,155379.51,ACC063,Kotak Mahindra Bank,False
2022-08-01,UPI/CR/68219408/SURESH NAIR/KKBK0045457/suresh576@paytm,0.0,18500.0,173879.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/59511114/DEEPAK JOSHI/KKBK0045457/deepak991@oksbi,7800.0,0.0,166079.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,NEFT/43996933/IMRAN KHAN/KKBK0045457/82736596420478,0.0,4800.0,170879.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,NEFT/6444697102/ARUN SHARMA/KKBK0045457/31840666654845,120.0,0.0,170759.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,ATM/WDL/42963468/SBI ATM JAYANAGAR BLR,79.0,0.0,170680.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/79255796/SHAHID KHAN/KKBK0045457/shahid543@okhdfc,449.0,0.0,170231.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/633562049445/PRAKASH RAO/KKBK0045457/prakash24@ybl,249.0,0.0,169982.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/11811773/POOJA SHARMA/KKBK0045457/pooja105@okaxis,1250.0,0.0,168732.51,ACC063,Kotak Mahindra Bank,False
2022-08-02,UPI/DR/72259755/DEEPA NAIR/KKBK0045457/deepa817@okaxis,1250.0,0.0,167482.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,UPI/DR/0330045284/PADMA RAO/KKBK0045457/padma633@okaxis,699.0,0.0,166783.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,IMPS/P2P/770624403232/GEETA DEVI/8018108939,0.0,11200.0,177983.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,UPI/CR/379611749325/HARISH MENON/KKBK0045457/harish766@okaxis,0.0,1200.0,179183.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,IMPS/P2P/9468326891/ROHIT SHARMA/9640369211,0.0,1200.0,180383.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,NEFT/487953873288/PADMA RAO/KKBK0045457/46219362278045,0.0,18500.0,198883.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,UPI/DR/629891218669/AYESHA KHAN/KKBK0045457/ayesha279@okaxis,310.0,0.0,198573.51,ACC063,Kotak Mahindra Bank,False
2022-08-03,UPI/DR/046168202147/DEEPA NAIR/KKBK0045457/deepa271@paytm,449.0,0.0,198124.51,ACC063,Kotak Mahindra Bank,False
2022-08-04,UPI/DR/24756424/PRIYA NAIR/KKBK0045457/priya804@paytm,49.0,0.0,198075.51,ACC063,Kotak Mahindra Bank,False
2022-08-04,UPI/DR/00264018/GEETA DEVI/KKBK0045457/geeta124@okhdfc,699.0,0.0,197376.51,ACC063,Kotak Mahindra Bank,False
2022-08-04,UPI/CR/9607153238/RAVI KUMAR SHARMA/KKBK0045457/ravi457@okaxis,0.0,850.0,198226.51,ACC063,Kotak Mahindra Bank,False
2022-08-05,UPI/DR/8384154752/SUNIL YADAV/KKBK0045457/sunil126@okaxis,850.0,0.0,197376.51,ACC063,Kotak Mahindra Bank,False
