account_number,account_holder,ifsc_code,Date,Narration,Debit,Credit,Balance,Bank_Name,txn_id,duplicate_of,is_reversed
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-01,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,0.0,850.0,116112.65,State Bank of India,00000051399615291_000000,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-01,UPI/DR/4191948221/MEERA PILLAI/SBIN0393634/meera628@okhdfc,310.0,0.0,115802.65,State Bank of India,00000051399615291_000001,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,UPI/CR/98130815/LALITHA DEVI/SBIN0393634/lalitha278@paytm,0.0,850.0,116652.65,State Bank of India,00000051399615291_000002,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,UPI/CR/482584337530/IMRAN KHAN/SBIN0393634/imran857@ybl,0.0,500.0,117152.65,State Bank of India,00000051399615291_000003,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,IMPS/P2P/18351699/ARUN SHARMA/8782867089,0.0,7600.0,124752.65,State Bank of India,00000051399615291_000004,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,0.0,11200.0,135952.65,State Bank of India,00000051399615291_000005,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-03,CHQ NO 111916 CLEARING,699.0,0.0,135253.65,State Bank of India,00000051399615291_000006,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-03,CHQ NO 549488 CLEARING,999.0,0.0,134254.65,State Bank of India,00000051399615291_000007,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-03,NEFT/58723130/SUNITA DEVI/SBIN0393634/53940752653280,0.0,18500.0,152754.65,State Bank of India,00000051399615291_000008,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-04,CHQ NO 188870 CLEARING,7800.0,0.0,144954.65,State Bank of India,00000051399615291_000009,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-04,UPI/DR/56547354/LALITHA DEVI/SBIN0393634/lalitha147@ybl,79.0,0.0,144875.65,State Bank of India,00000051399615291_000010,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-04,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,0.0,7600.0,152475.65,State Bank of India,00000051399615291_000011,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-05,UPI/DR/19957363/IMRAN KHAN/SBIN0393634/imran543@paytm,120.0,0.0,152355.65,State Bank of India,00000051399615291_000012,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-05,UPI/DR/60783425/RAMESH GOWDA/SBIN0393634/ramesh157@okaxis,1680.0,0.0,150675.65,State Bank of India,00000051399615291_000013,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-05,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,0.0,4800.0,155475.65,State Bank of India,00000051399615291_000014,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-05,UPI/DR/7922027581/NADIA HUSSAIN/SBIN0393634/nadia473@ybl,1250.0,0.0,154225.65,State Bank of India,00000051399615291_000015,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-06,CHQ NO 558027 CLEARING,249.0,0.0,153976.65,State Bank of India,00000051399615291_000016,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-06,NEFT/739900650052/NAVEEN KUMAR/SBIN0393634/96783394289203,0.0,32000.0,185976.65,State Bank of India,00000051399615291_000017,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-06,NEFT/335874956610/PRAKASH RAO/SBIN0393634/56286470948938,449.0,0.0,185527.65,State Bank of India,00000051399615291_000018,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-06,ATM/WDL/6176592071/CANARA ATM MYSURU,7800.0,0.0,177727.65,State Bank of India,00000051399615291_000019,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-07,NEFT/304961199488/VENKAT RAO/SBIN0393634/41221393509832,999.0,0.0,176728.65,State Bank of India,00000051399615291_000020,,False
