Date,Narration,Debit,Credit,Balance,Account_ID,Bank_Name,flag_reason
2024-03-07,UPI/DR/252998140861/FAILED/TimeOut/Lakshmi Venkat,5000.0,0.0,9015273.51,ACC063,Kotak Mahindra Bank,balance_mismatch
2024-05-31,UPI/DR/995762321797/FAILED/TimeOut/Chandan Sharma,5000.0,0.0,10244674.51,ACC063,Kotak Mahindra Bank,balance_mismatch
2022-09-04,UPI/DR/361018706622/FAILED/TimeOut/Tara Singh,9500.0,0.0,390500.65,ACC001,State Bank of India,balance_mismatch
2023-01-25,UPI/DR/668864013315/FAILED/TimeOut/Vikram Nair,9500.0,0.0,1674421.65,ACC001,State Bank of India,balance_mismatch
2023-08-22,UPI/DR/563878115525/FAILED/TimeOut/Bindhu Nair,9500.0,0.0,4447298.98,ACC001,State Bank of India,balance_mismatch
2022-06-14,UPI/DR/5817008283812/HARIS,2360.0,0.0,199672.27,ACC051,HDFC Bank,balance_mismatch
2022-06-15,NEFT/738713290002/RAJESH,0.0,500.0,204192.27,ACC051,HDFC Bank,balance_mismatch
2022-06-15,CHQ NO 881560 CLEARING,5200.0,0.0,198872.27,ACC051,HDFC Bank,balance_mismatch
2022-06-16,UPI/DR/9444053246/NADIA H,3459.0,0.0,194044.27,ACC051,HDFC Bank,balance_mismatch
2022-06-19,UPI/DR/96226127/CANDAN S,7860.0,0.0,213759.27,ACC051,HDFC Bank,balance_mismatch
2022-06-19,NEFT/47949132931/SHAHID,3459.0,0.0,217860.27,ACC051,HDFC Bank,balance_mismatch
2022-06-19,NEFT/82252751431/PADMA R,5200.0,0.0,210931.27,ACC051,HDFC Bank,balance_mismatch
