account_number,account_holder,ifsc_code,Date,Time,Narration,Debit,Credit,Balance,Bank_Name,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,txn_id,duplicate_of,is_reversed
UNKNOWN-00002,D D,UNKNOWN,01/01/2024,,NEFT Cr-600918416203-ICIC0SF0002-THERMAL SYSTEMS LTD--,0.0,356170.85,0.0,Unknown Bank,,,,,UNKNOWN-00002_000000,,False
UNKNOWN-00002,D D,UNKNOWN,01/01/2024,,RTGS Cr-ICICR607326793438-ICIC0000011-REALTY VENTURES LTD--/URGENT/,0.0,1028496.88,0.0,Unknown Bank,,,,,UNKNOWN-00002_000001,,False
UNKNOWN-00002,D D,UNKNOWN,02/01/2024,,NEFT Cr-362447660110-ICIC0SF0002-PACKAGED GOODS LTD--,0.0,775244.98,0.0,Unknown Bank,,,,,UNKNOWN-00002_000002,,False
UNKNOWN-00002,D D,UNKNOWN,03/01/2024,,Chq Paid-MICR Inward Clearing-KRISHNA SUBRAMANIAN-HDFC BANK LTD.,1077520.9,0.0,0.0,Unknown Bank,,,,449895,UNKNOWN-00002_000003,,False
UNKNOWN-00002,D D,UNKNOWN,03/01/2024,,IMPS BRN SALARY TRF BY-TEXTILE SOLUTIONS INDIA,0.0,317463.52,0.0,Unknown Bank,,,,,UNKNOWN-00002_000004,,False
UNKNOWN-00002,D D,UNKNOWN,03/01/2024,,G RTGS Cr-ICICR523358176816-ICIC0000011-CURE PHARMACEUTICALS--/URGENT/,0.0,3922223.29,0.0,Unknown Bank,,,,,UNKNOWN-00002_000005,,False
UNKNOWN-00002,D D,UNKNOWN,03/01/2024,,E N Chq Paid-MICR Inward Clearing-RAMESH NAIR-HDFC I BANK LTD.,2890764.32,0.0,0.0,Unknown Bank,,,,989865,UNKNOWN-00002_000006,,False
UNKNOWN-00002,D D,UNKNOWN,04/01/2024,,H C CASH-BNA-SELF-LAKSHMI HEGDE,0.0,278567.37,0.0,Unknown Bank,,,,,UNKNOWN-00002_000007,,False
UNKNOWN-00002,D D,UNKNOWN,05/01/2024,,A M NEFT Dr- 373607057653-RENT PAYMENT-MONTHLY RENT,97645.06,0.0,0.0,Unknown Bank,,,,,UNKNOWN-00002_000008,,False
UNKNOWN-00002,D D,UNKNOWN,05/01/2024,,-A NEFT Cr-789982465720-ICIC0SF0002-MECHANICAL SOLUTIONS LTD--,0.0,1087430.54,0.0,Unknown Bank,,,,T,UNKNOWN-00002_000009,,False
UNKNOWN-00002,D D,UNKNOWN,06/01/2024,,ATM WDL-ATM CASH 87348,14692.53,0.0,0.0,Unknown Bank,,,,A D,UNKNOWN-00002_000010,,False
UNKNOWN-00002,D D,UNKNOWN,06/01/2024,,IMPS BRN SALARY TRF BY-LIFELINE PHARMACEUTICAL,0.0,56091.17,0.0,Unknown Bank,,,,,UNKNOWN-00002_000011,,False
UNKNOWN-00002,D D,UNKNOWN,08/01/2024,,I H Chq Paid-MICR Inward CClearing-LAKSHMI BALAJI-HDFC BANK LTD.,2167899.38,0.0,0.0,Unknown Bank,,,,944958,UNKNOWN-00002_000012,,False
UNKNOWN-00002,D D,UNKNOWN,08/01/2024,,A M Chq Paid-MICR Inward Clearing-GANESH VENKAT-HDFC BANK LTD.,1157071.84,0.0,0.0,Unknown Bank,,,,910062,UNKNOWN-00002_000013,,False
UNKNOWN-00002,D D,UNKNOWN,09/01/2024,,-A IMPS BRN SALARY TRF BY-PRECISION ENGINEERING WORKS,0.0,236282.76,0.0,Unknown Bank,,,,,UNKNOWN-00002_000014,,False
UNKNOWN-00002,D D,UNKNOWN,09/01/2024,,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), VITALITY MEDICINES LTD",0.0,5735.3,0.0,Unknown Bank,,,,T A D311395,UNKNOWN-00002_000015,,False
UNKNOWN-00002,D D,UNKNOWN,10/01/2024,,IMPS Dr-699873567763-SUMA ACHARYA,414316.1,0.0,0.0,Unknown Bank,,,,,UNKNOWN-00002_000016,,False
UNKNOWN-00002,D D,UNKNOWN,11/01/2024,,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), BUILDING SOLUTIONS LTD",0.0,415174.27,0.0,Unknown Bank,,,,416046,UNKNOWN-00002_000017,,False
UNKNOWN-00002,D D,UNKNOWN,11/01/2024,,UPI/CR/991816114088/VISHNU SWAMY/SENT-TRANSFER FROM 9170966829,0.0,74216.72,0.0,Unknown Bank,,,,,UNKNOWN-00002_000018,,False
UNKNOWN-00002,D D,UNKNOWN,12/01/2024,,CASH-BNA-SELF-PRIYA VARMA,0.0,68770.06,0.0,Unknown Bank,,,,,UNKNOWN-00002_000019,,False
UNKNOWN-00002,D D,UNKNOWN,13/01/2024,,UPI/DR/338438581076/SAVITHA RAO/UPI-TRANSFER TO 6390571956,63237.56,0.0,0.0,Unknown Bank,,,,,UNKNOWN-00002_000020,,False
UNKNOWN-00002,D D,UNKNOWN,13/01/2024,,RTGS Dr-CNRBR989153588349-HDFC0004171-GANES H NAIDU-/NONE,876217.45,0.0,0.0,Unknown Bank,,,,,UNKNOWN-00002_000021,,False
UNKNOWN-00002,D D,UNKNOWN,15/01/2024,,G ATM WDL-ATM CASH 76972,12342.42,0.0,0.0,Unknown Bank,,,,,UNKNOWN-00002_000022,,False
UNKNOWN-00002,D D,UNKNOWN,16/01/2024,,"E N By Clg:DEL ACCTS-CITI BANK N.AI.(CIT), NETFORGE TECHNOLOGIES",0.0,222862.04,0.0,Unknown Bank,,,,303948,UNKNOWN-00002_000023,,False
UNKNOWN-00002,D D,UNKNOWN,17/01/2024,,H C NEFT Dr-3733744A23196-CLOUD SERVICES,3265.97,0.0,0.0,Unknown Bank,,,,,UNKNOWN-00002_000024,,False
UNKNOWN-00002,D D,UNKNOWN,17/01/2024,,M CASH--BN A-SELF-RADHA ACHARYA,0.0,62079.62,0.0,Unknown Bank,,,,,UNKNOWN-00002_000025,,False
UNKNOWN-00002,D D,UNKNOWN,18/01/2024,,A IMPS BRN SALARY TRF BY-FINANCE SOLUTIONS INDIA,0.0,151076.53,0.0,Unknown Bank,,,,T,UNKNOWN-00002_000026,,False
