account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
33631771149450,Kavya Bose,BARB0715434,18/02/2025,,DIGITA-MUMBAI/ NEFT-BARBN2502183256012-LEGEND PRIME,,BARBN2502183256012,BARBN2502183256012,,0.0,40804.0,193104.0,credit,Bank of Baroda,33631771149450_000000,,False
3828079938,KIRAN NAIR,KKBK0564794,18/02/2025,,NEFT KKBKN2502182383337 NEFTINW- (Cr) Maa Enterprise BARB0523929 09137258193115,,KKBKN2502182383337,KKBKN2502182383337,,0.0,44891.0,352524.0,credit,Kotak Mahindra Bank,3828079938_000000,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,19/02/2025,,NEFT/HDFCN2502191499757/CRYSTAL SUPPLY ENTERPRISE/19-Feb-2025/IDFB0265937/35100199597,,HDFCN2502191499757,HDFCN2502191499757,,0.0,55558.0,365745.0,credit,HDFC Bank,53180632924514_000000,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,19/02/2025,,NACH DR-9568874840-BAJAJ FINANCE EMI-924514,,,,,21400.0,0.0,344345.0,debit,HDFC Bank,53180632924514_000001,,False
97432838969,ROHAN KAPOOR,IDFB0639373,19/02/2025,,NEFT/IDFBN2502199050890/SHREE KRISHNA MOBILE/PUNB0677584,,IDFBN2502199050890,IDFBN2502199050890,,0.0,76312.0,389880.0,credit,IDFC FIRST Bank,97432838969_000000,,False
33631771149450,Kavya Bose,BARB0715434,20/02/2025,,UPI/524724307594/19:19:56/UPI/bescom.bill@upi@idib0541705.ifsc.npci/Payment/BESCOM,,,524724307594,,613.0,0.0,192491.0,debit,Bank of Baroda,33631771149450_000001,,False
3828079938,KIRAN NAIR,KKBK0564794,20/02/2025,,UPI/407861738480/DR/BIGB/IDIB/bbdaily@okhdfcbank@idib0898918.ifsc.npci/UPI | D/BIGBASKET,,,407861738480,,4397.0,0.0,348127.0,debit,Kotak Mahindra Bank,3828079938_000001,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,20/02/2025,,NEFT CR-MAHB0873949-Shree Krishna Mobile-CNRBN2502206298544,,CNRBN2502206298544,CNRBN2502206298544,,0.0,51305.0,356255.0,credit,Canara Bank,8669887383030_000000,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,20/02/2025,,UPI/226057287535/DR/AIRTEL/CNRB/airtel.recharge@airtel@cnrb0625829.ifsc.npci/UPI,,,226057287535,,865.0,0.0,355390.0,debit,Canara Bank,8669887383030_000001,,False
23596392877621,Kiran Nair,FDRL0344876,21/02/2025,,FT NEFT/FDRLN2502213629657/GLOBAL ENTERPRISE/GLOBAL ENTERPRISE TRF 21-Feb-25,,FDRLN2502213629657,FDRLN2502213629657,,0.0,75637.0,154784.0,credit,Federal Bank,23596392877621_000000,,False
23596392877621,Kiran Nair,FDRL0344876,21/02/2025,,UPI/693874004917/DR/JIO/MAHB/jio.mobile@ibl@mahb0316387.ifsc.npci/UPI,,,693874004917,,3400.0,0.0,151384.0,debit,Federal Bank,23596392877621_000001,,False
3828079938,KIRAN NAIR,KKBK0564794,21/02/2025,,UPI/978514989331/DR/AIRT/MAHB/airtel.recharge@airtel@mahb0923740.ifsc.npci/UPI | D/AIRTEL,,,978514989331,,2564.0,0.0,345563.0,debit,Kotak Mahindra Bank,3828079938_000002,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,21/02/2025,,UPI/244858101140/SENT USING PAYTM UPI/medplus@ybl@utib0886171.ifsc.npci/PHARMACY,,,244858101140,,500.0,0.0,343845.0,debit,HDFC Bank,53180632924514_000002,,False
97432838969,ROHAN KAPOOR,IDFB0639373,21/02/2025,,UPI/MOB/032885718311/Pay request to JIO/jio.mobile@ibl@punb0997202.ifsc.npci,,,032885718311,,616.0,0.0,389264.0,debit,IDFC FIRST Bank,97432838969_000001,,False
33631771149450,Kavya Bose,BARB0715434,23/02/2025,,CWDR/997496768962/23-02-2025 22:58:41/CMN,,,,,15000.0,0.0,177491.0,debit,Bank of Baroda,33631771149450_000002,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,23/02/2025,,CWDR/882591630961/23-02-2025 22:30:49/CMN,,,,,10000.0,0.0,345390.0,debit,Canara Bank,8669887383030_000002,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,23/02/2025,21:55:00,UPI/429264334751/SENT USING PAYTM UPI/airtel.recharge@airtel@kkbk0479712.ifsc.npci/AIRTEL,,,429264334751,,589.0,0.0,343256.0,debit,HDFC Bank,53180632924514_000003,,False
23596392877621,Kiran Nair,FDRL0344876,24/02/2025,,NACH DR-8915050930-BAJAJ FINANCE EMI-877621,,,,,15850.0,0.0,135534.0,debit,Federal Bank,23596392877621_000002,,False
3828079938,KIRAN NAIR,KKBK0564794,24/02/2025,,UPI/073854473453/DR/AIRT/IDFB/airtel.recharge@airtel@idfb0537121.ifsc.npci/UPI | D/AIRTEL,,,073854473453,,1250.0,0.0,344313.0,debit,Kotak Mahindra Bank,3828079938_000003,,False
97432838969,ROHAN KAPOOR,IDFB0639373,24/02/2025,,UPI/MOB/653784888486/Pay request to JIO/jio.mobile@ibl@cnrb0642508.ifsc.npci,,,653784888486,,1332.0,0.0,387932.0,debit,IDFC FIRST Bank,97432838969_000002,,False
33631771149450,Kavya Bose,BARB0715434,25/02/2025,,UPI/578931934634/19:47:18/UPI/medplus@ybl@kkbk0313746.ifsc.npci/Payment/PHARMACY,,,578931934634,,3327.0,0.0,174164.0,debit,Bank of Baroda,33631771149450_000003,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,25/02/2025,,UPI/947368909490/SENT USING PAYTM UPI/bbdaily@okhdfcbank@kkbk0206963.ifsc.npci/BIGBASKET,,,947368909490,,4415.0,0.0,338841.0,debit,HDFC Bank,53180632924514_000004,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,25/02/2025,,UPI/493101628025/DR/AIRTEL/CNRB/airtel.recharge@airtel@cnrb0831779.ifsc.npci/UPI,,,493101628025,,519.0,0.0,344871.0,debit,Canara Bank,8669887383030_000003,,False
97432838969,ROHAN KAPOOR,IDFB0639373,25/02/2025,,UPI/MOB/385916992440/Pay request to Irctc/irctc.pay@axisbank@fdrl0936748.ifsc.npci/IRCTC,,,385916992440,,3774.0,0.0,384158.0,debit,IDFC FIRST Bank,97432838969_000003,,False
3828079938,KIRAN NAIR,KKBK0564794,25/02/2025,21:13:05,UPI/008953141064/DR/DMAR/SBIN/dmart.pay@okaxis@sbin0606885.ifsc.npci/UPI | D/DMART,,,008953141064,,1546.0,0.0,342767.0,debit,Kotak Mahindra Bank,3828079938_000004,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,26/02/2025,,UPI/822229383379/SENT USING PAYTM UPI/fuelpay@ybl@cnrb0512288.ifsc.npci/INDIANOIL,,,822229383379,,2070.0,0.0,336771.0,debit,HDFC Bank,53180632924514_000005,,False
23596392877621,Kiran Nair,FDRL0344876,27/02/2025,,UPI/398938078376/DR/BIGBASKET/FDRL/bbdaily@okhdfcbank@fdrl0698745.ifsc.npci/UPI,,,398938078376,,1257.0,0.0,134277.0,debit,Federal Bank,23596392877621_000003,,False
33631771149450,Kavya Bose,BARB0715434,27/02/2025,,NACH DR-4096509772-HDFC BANK EMI-149450,,,,,7500.0,0.0,166664.0,debit,Bank of Baroda,33631771149450_000004,,False
3828079938,KIRAN NAIR,KKBK0564794,28/02/2025,,UPI/678705953008/DR/BESC/CNRB/bescom.bill@upi@cnrb0139903.ifsc.npci/UPI | D/BESCOM,,,678705953008,,325.0,0.0,342442.0,debit,Kotak Mahindra Bank,3828079938_000005,,False
97432838969,ROHAN KAPOOR,IDFB0639373,28/02/2025,,GST,,,,,18.0,0.0,384140.0,debit,IDFC FIRST Bank,97432838969_000004,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,28/02/2025,13:54:10,UPI/569294300387/DR/BESCOM/FDRL/bescom.bill@upi@fdrl0425650.ifsc.npci/UPI,,,569294300387,,265.0,0.0,344606.0,debit,Canara Bank,8669887383030_000004,,False
33631771149450,Kavya Bose,BARB0715434,01/03/2025,,UPI/240897179438/08:34:32/UPI/jio.mobile@ibl@utib0889161.ifsc.npci/Payment/JIO,,,240897179438,,379.0,0.0,166285.0,debit,Bank of Baroda,33631771149450_000005,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,01/03/2025,,UPI/039454162669/SENT USING PAYTM UPI/jio.mobile@ibl@icic0990983.ifsc.npci/JIO,,,039454162669,,2483.0,0.0,334288.0,debit,HDFC Bank,53180632924514_000006,,False
97432838969,ROHAN KAPOOR,IDFB0639373,01/03/2025,20:14:37,UPI/MOB/600418720911/Pay request to BESCOM/bescom.bill@upi@cnrb0152474.ifsc.npci,,,600418720911,,4302.0,0.0,379838.0,debit,IDFC FIRST Bank,97432838969_000005,,False
23596392877621,Kiran Nair,FDRL0344876,02/03/2025,,UPI/015165618213/DR/BESCOM/IDIB/bescom.bill@upi@idib0443251.ifsc.npci/UPI,,,015165618213,,943.0,0.0,133334.0,debit,Federal Bank,23596392877621_000004,,False
3828079938,KIRAN NAIR,KKBK0564794,02/03/2025,,UPI/685864290694/DR/INDI/FDRL/fuelpay@ybl@fdrl0539238.ifsc.npci/UPI | D/INDIANOIL,,,685864290694,,4432.0,0.0,338010.0,debit,Kotak Mahindra Bank,3828079938_000006,,False
53180632924514,Radha Rekha Saxena,HDFC0384189,02/03/2025,,UPI/964994229718/SENT USING PAYTM UPI/medplus@ybl@icic0710490.ifsc.npci/PHARMACY,,,964994229718,,3227.0,0.0,331061.0,debit,HDFC Bank,53180632924514_000007,,False
23596392877621,Kiran Nair,FDRL0344876,03/03/2025,,UPI/285967903929/DR/INDIANOIL/KKBK/fuelpay@ybl@kkbk0476220.ifsc.npci/UPI,,,285967903929,,2648.0,0.0,130686.0,debit,Federal Bank,23596392877621_000005,,False
33631771149450,Kavya Bose,BARB0715434,03/03/2025,,UPI/159233872240/16:34:05/UPI/medplus@ybl@hdfc0893624.ifsc.npci/Payment/PHARMACY,,,159233872240,,951.0,0.0,165334.0,debit,Bank of Baroda,33631771149450_000006,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,03/03/2025,,UPI/060376307307/DR/BESCOM/SBIN/bescom.bill@upi@sbin0575637.ifsc.npci/UPI,,,060376307307,,4469.0,0.0,340137.0,debit,Canara Bank,8669887383030_000005,,False
97432838969,ROHAN KAPOOR,IDFB0639373,03/03/2025,08:31:37,UPI/MOB/640521011591/Pay request to BESCOM/bescom.bill@upi@sbin0233936.ifsc.npci,,,640521011591,,3761.0,0.0,376077.0,debit,IDFC FIRST Bank,97432838969_000006,,False
3828079938,KIRAN NAIR,KKBK0564794,04/03/2025,,UPI/667868722443/DR/BIGB/BARB/bbdaily@okhdfcbank@barb0719260.ifsc.npci/UPI | D/BIGBASKET,,,667868722443,,370.0,0.0,337640.0,debit,Kotak Mahindra Bank,3828079938_000007,,False
8669887383030,MOHAMMED SALIM,CNRB0893218,04/03/2025,,UPI/840319812141/DR/DMART/PUNB/dmart.pay@okaxis@punb0522438.ifsc.npci/UPI,,,840319812141,,3354.0,0.0,336783.0,debit,Canara Bank,8669887383030_000006,,False
97432838969,ROHAN KAPOOR,IDFB0639373,04/03/2025,,UPI/MOB/699797743352/Pay request to BESCOM/bescom.bill@upi@cnrb0225889.ifsc.npci,,,699797743352,,1150.0,0.0,374927.0,debit,IDFC FIRST Bank,97432838969_000007,,False
