account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
192811835953,DEVANSHU MALHOTRA,IDIB0409513,09/01/2025,,N/IDIBN2501098999867/IDIB0159715/SHREE KRISHNA MOBILE,,IDIBN2501098999867,IDIBN2501098999867,,0.0,40426.0,295751.0,credit,Indian Bank,192811835953_000000,,False
27084980361,FARAH KHAN,IDFB0828661,09/01/2025,,NEFT/IDFBN2501093843499/Northern Traders Company/FDRL0615553,,IDFBN2501093843499,IDFBN2501093843499,,0.0,76227.0,391046.0,credit,IDFC FIRST Bank,27084980361_000000,,False
7750283586793228,AISHWARYA MEHTA,PUNB0298929,10/01/2025,,NEFT/PUNBN2501104274882/MAA ENTERPRISE CDCI CDCI,,PUNBN2501104274882,PUNBN2501104274882,,0.0,81549.0,363420.0,credit,Punjab National Bank,7750283586793228_000000,,False
12853535777,Priya Venkatesh,MAHB0803333,11/01/2025,,NACH DR-9522551811-HDFC BANK EMI-535777,,,,,7500.0,0.0,300376.0,debit,Bank of Maharashtra,12853535777_000000,,False
2707954975,DEVANSHU MALHOTRA,KKBK0543581,11/01/2025,,NEFT KKBKN2501113661200 NEFTINW- (Cr) Hanuman Dico ICIC0279803 180933530994,,KKBKN2501113661200,KKBKN2501113661200,,0.0,45012.0,392380.0,credit,Kotak Mahindra Bank,2707954975_000000,,False
27084980361,FARAH KHAN,IDFB0828661,11/01/2025,,NACH DR-5083861320-BAJAJ FINANCE EMI-980361,,,,,21400.0,0.0,369646.0,debit,IDFC FIRST Bank,27084980361_000001,,False
40154448554135,VIKRAM SAXENA,UTIB0725376,11/01/2025,,MB NEFT/UTIBN2501113987892/Techrevive/Techrevive Solutions/,,UTIBN2501113987892,UTIBN2501113987892,,0.0,50112.0,654815.1,credit,Axis Bank,40154448554135_000000,,False
7750283586793228,AISHWARYA MEHTA,PUNB0298929,11/01/2025,,UPI/015255648942/P2A/dmart.pay@okaxis@utib0237870.ifsc.npci/DMART CDCI CDCI,,,015255648942,,1277.0,0.0,362143.0,debit,Punjab National Bank,7750283586793228_000001,,False
12853535777,Priya Venkatesh,MAHB0803333,12/01/2025,,Apex Commerce Enterprise MAHBN2501129490164 - 9008-NEFT/ RTGS CELL ICIC0183326 310372311434,,MAHBN2501129490164,MAHBN2501129490164,,0.0,50342.0,350718.0,credit,Bank of Maharashtra,12853535777_000001,,False
192811835953,DEVANSHU MALHOTRA,IDIB0409513,12/01/2025,,UPI/007935051132/DR/PHARMACY/IDFB/medplus@ybl@idfb0781329.ifsc.npci/UPI,,,007935051132,,829.0,0.0,294922.0,debit,Indian Bank,192811835953_000001,,False
40154448554135,VIKRAM SAXENA,UTIB0725376,12/01/2025,,UPI:PAY:678981488298/JIO               /Kotak Mahi,,,678981488298,,3700.0,0.0,651115.1,debit,Axis Bank,40154448554135_000001,,False
7750283586793228,AISHWARYA MEHTA,PUNB0298929,12/01/2025,,UPI/165909450139/P2A/bescom.bill@upi@cnrb0510338.ifsc.npci/BESCOM CDCI CDCI,,,165909450139,,2947.0,0.0,359196.0,debit,Punjab National Bank,7750283586793228_000002,,False
