Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01/12/2024,UPI/DR/602490092602/Sanjay/FDRL/2004099045@okaxis/UPI,293902656887,"4,550.95",,348355.95
02/12/2024,UPI/DR/852122933922/Ola/PAYTM/olamoney@ola/UPI,615926813713,600.45,,347755.50
02/12/2024,UPI/DR/903328260014/Lata/PUNB/latashuk11@aubank/UPI,932937995658,"7,650.54",,340104.96
02/12/2024,UPI/DR/405638327676/Dunzo/ICICI/dunzo@razorpay/UPI,839175785622,"1,900.44",,338204.52
02/12/2024,UPI/DR/691632280801/Mina/BDBL/5777320202@ptaxis/UPI,656839496031,"2,750.24",,335454.28
02/12/2024,UPI/DR/255639208503/Swiggy/ICICI/swiggy@icici/UPI,821505435166,610.64,,334843.64
03/12/2024,UPI/CR/113624423443/Rakesh/BDBL/rakeshpate59@aubank/UPI,393117925462,,"17,050.62",351894.26
03/12/2024,SALARY CREDIT/S7768145160468/ICICI Lombard GIC,736378235037,,"124,661.92",476556.18
04/12/2024,UPI/DR/769827887157/Amazon/ICICI/amazon@apl/UPI,545295667237,"2,470.75",,474085.43
04/12/2024,NACH/MANDATE/RNT4671937/RENT MANDATE,755298280599,"8,000.00",,466085.43
05/12/2024,POS RELIANCE PETROLEUM LUCKNOW,495866889998,"3,500.77",,462584.66
05/12/2024,NACH/MANDATE/LN880746470964/ICICI Bank Home Loan,645912087491,"20,000.00",,442584.66
05/12/2024,UPI/DR/806892306904/Bajaj/LICI/licindia@licindia/UPI,285129198035,"4,300.00",,438284.66
06/12/2024,UPI/DR/947318063648/PhonePe/ICICI/phonepe@ybl/UPI,651132873099,"1,780.08",,436504.58
06/12/2024,UPI/DR/135024616692/Ola/ICICI/olamoney@ola/UPI,501481858631,350.43,,436154.15
07/12/2024,UPI/DR/895207722919/Rapido/PAYTM/rapido@icici/UPI,329277408164,810.34,,435343.81
07/12/2024,UPI/CR/002862317529/Sunita/PUNB/sunita.pillai@ybl/UPI,207552070556,,"6,800.26",442144.07
07/12/2024,ATM CASH WITHDRAWAL/66466/LUCKNOW,941467479251,"6,500.00",,435644.07
08/12/2024,UPI/DR/964519658652/Anita/UTIB/3448184508@axl/UPI,667486216121,"7,450.11",,428193.96
11/12/2024,UPI/DR/530098287338/PhonePe/ICICI/phonepe@ybl/UPI,461498324736,"2,480.25",,425713.71
11/12/2024,UPI/DR/654427198960/CESC/UPIN/cescpayment@upi/UPI,429126243829,"3,200.62",,422513.09
12/12/2024,UPI/DR/042860918440/Rapido/PAYTM/rapido@icici/UPI,117542904506,360.11,,422152.98
13/12/2024,POS SHELL FUEL STATION LUCKNOW,493530196918,"2,550.65",,419602.33
13/12/2024,UPI/DR/852588167856/Uber/PAYTM/uber@paytm/UPI,960557286842,180.70,,419421.63
14/12/2024,UPI/DR/641604437596/Sneha/FDRL/snehanaik55@ptaxis/UPI,767368305326,"17,150.97",,402270.66
14/12/2024,ATM CASH WITHDRAWAL/74699/LUCKNOW,936325058635,"6,000.00",,396270.66
15/12/2024,UPI/DR/742015477146/Gaurav/FDRL/gauravmukh93@okicici/UPI,080738844187,"1,850.62",,394420.04
15/12/2024,UPI/DR/689923589524/Rekha/UCBA/rekha852@ybl/UPI,625015126861,"21,350.90",,373069.14
16/12/2024,UPI/DR/904750912331/Zepto/ICICI/zepto@apl/UPI,106476774405,"1,030.55",,372038.59
17/12/2024,UPI/DR/191676493829/Jio/PAYTM/jio@paytm/UPI,152689759124,419.00,,371619.59
18/12/2024,UPI/DR/100625884414/Jio/PAYTM/jio@paytm/UPI,602534643515,599.00,,371020.59
19/12/2024,UPI/DR/144168141526/Rekha/BARB/rekhayada68@pthdfc/UPI,345184720311,"2,350.86",,368669.73
20/12/2024,UPI/CR/264667537914/Nikhil/BDBL/nikhilpati87@axl/UPI,084668699532,,"8,350.54",377020.27
20/12/2024,UPI/DR/169457553528/Amazon/ICICI/amazon@apl/UPI,563788232926,"1,720.66",,375299.61
20/12/2024,UPI/DR/874887281714/Uber/PAYTM/uber@paytm/UPI,483487022375,770.24,,374529.37
20/12/2024,POS METRO CASH CARRY LUCKNOW,907240146732,"6,050.66",,368478.71
20/12/2024,UPI/DR/889573549987/Ola/ICICI/olamoney@ola/UPI,611514122929,"2,000.13",,366478.58
21/12/2024,UPI/DR/025081188565/Kavita/BDBL/kavita968@axl/UPI,416529547108,"17,050.15",,349428.43
22/12/2024,UPI/DR/962910757871/Flipkart/PAYTM/flipkart@ybl/UPI,556105306300,850.24,,348578.19
23/12/2024,UPI/DR/948153154422/Jio/PAYTM/jio@paytm/UPI,012523321988,199.00,,348379.19
23/12/2024,UPI/CR/516844181325/Poonam/KKBK/poonam.menon@paytm/UPI,387255585577,,"9,100.18",357479.37
24/12/2024,UPI/DR/018096067960/Indane/ICICI/indanegas@upi/UPI,497601172041,"2,650.48",,354828.89
24/12/2024,UPI/DR/713746002966/Uber/ICICI/uber@paytm/UPI,095913437891,610.87,,354218.02
24/12/2024,UPI/DR/127637864907/Sanjay/HDFC/sanjay.roy@pthdfc/UPI,418964252875,"21,500.10",,332717.92
25/12/2024,ATM CASH WITHDRAWAL/47191/LUCKNOW,051622764310,"1,000.00",,331717.92
25/12/2024,UPI/DR/541471699572/Zepto/ICICI/zepto@apl/UPI,867780821708,510.64,,331207.28
25/12/2024,UPI/DR/461372499879/Zepto/ICICI/zepto@apl/UPI,619665865487,670.81,,330536.47
25/12/2024,ATM CASH WITHDRAWAL/81243/LUCKNOW,955469162695,"10,000.00",,320536.47
25/12/2024,UPI/DR/735247107885/Hathway/RAZORPAY/broadband@paytm/UPI,518330326749,699.00,,319837.47
26/12/2024,UPI/DR/132666047366/Amazon/ICICI/amazon@apl/UPI,875215516215,"1,980.13",,317857.34
26/12/2024,UPI/DR/294453465671/Meesho/PAYTM/meesho@ybl/UPI,128651837294,"3,150.32",,314707.02
26/12/2024,UPI/DR/811472627096/Varun/UCBA/7842739219@okaxis/UPI,276976295773,"2,200.38",,312506.64
26/12/2024,ATM CASH WITHDRAWAL/86661/LUCKNOW,439537688993,"4,000.00",,308506.64
26/12/2024,UPI/DR/321195114870/BigBasket/ICICI/bigbasket@ybl/UPI,062425434160,"1,730.27",,306776.37
27/12/2024,UPI/DR/876086512763/Jio/PAYTM/jio@paytm/UPI,179155818231,849.00,,305927.37
27/12/2024,INTEREST CREDIT,132127376314,,185.00,306112.37
29/12/2024,ATM CASH WITHDRAWAL/90386/LUCKNOW,427528535102,"4,000.00",,302112.37
29/12/2024,UPI/DR/977365492657/Jio/PAYTM/jio@paytm/UPI,927622613360,579.00,,301533.37
29/12/2024,POS D MART LUCKNOW,937525470364,"1,550.35",,299983.02
31/12/2024,UPI/DR/604555082694/Meena/UTIB/meenapill80@upi/UPI,690884615596,"13,000.71",,286982.31
31/12/2024,POS CENTRAL MALL LUCKNOW,554291061213,"5,950.08",,281032.23
31/12/2024,UPI/DR/985768310098/PhonePe/ICICI/phonepe@ybl/UPI,425122059250,"1,770.05",,279262.18
02/01/2025,UPI/DR/847299881675/Rohit/HDFC/rohit174@ptyes/UPI,659087520403,"14,850.46",,264411.72
03/01/2025,UPI/DR/188487825712/Zepto/ICICI/zepto@apl/UPI,816631841812,"2,640.71",,261771.01
03/01/2025,UPI/DR/493601274666/Archana/FDRL/archanasen78@paytm/UPI,868593145335,"1,250.48",,260520.53
03/01/2025,SALARY CREDIT/S5085085667912/ICICI Lombard GIC,714640917778,,"126,605.92",387126.45
04/01/2025,ATM CASH WITHDRAWAL/78120/LUCKNOW,302662553466,"6,000.00",,381126.45
05/01/2025,UPI/DR/987410171503/Amazon/PAYTM/amazon@apl/UPI,352185731800,"2,200.96",,378925.49
05/01/2025,NACH/MANDATE/LN880746470964/ICICI Bank Home Loan,113133423547,"20,000.00",,358925.49
06/01/2025,ATM CASH WITHDRAWAL/20586/LUCKNOW,536990351057,"6,500.00",,352425.49
