account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed
384961901558,MEERA PATEL,IDIB0844012,15/01/2025,,N/IDIBN2501158919159/CNRB0947522/APEX COMMERCE ENTERPRISE,,IDIBN2501158919159,IDIBN2501158919159,,0.0,61422.0,131132.0,credit,Indian Bank,384961901558_000000,,False
82389122072698,ISHA REDDY,UTIB0525319,15/01/2025,,MB NEFT/UTIBN2501151878307/Techrevive/Techrevive Solutions/,,UTIBN2501151878307,UTIBN2501151878307,,0.0,48492.0,361050.0,credit,Axis Bank,82389122072698_000000,,False
384961901558,MEERA PATEL,IDIB0844012,16/01/2025,,UPI/818188940667/DR/BIGBASKET/IDFB/bbdaily@okhdfcbank@idfb0576059.ifsc.npci/UPI,,,818188940667,,580.0,0.0,130552.0,debit,Indian Bank,384961901558_000001,,False
74809185749,ROHAN KAPOOR,SBIN0346097,16/01/2025,,NEFT CR-SBINN2501168264322- CNRB0872918-2822705986361-GLOBAL ENTERPRISE- NEFT - 168264322 - 2822705986361 - CNRB0872918,,SBINN2501168264322,SBINN2501168264322,,0.0,40003.0,294432.0,credit,State Bank of India,74809185749_000000,,False
74809185749,ROHAN KAPOOR,SBIN0346097,16/01/2025,,UPI/808030346012/FROM: 74809185749@sbin0346097.ifsc.npci/TO: medplus@ybl@idib0891223.ifsc.npci. NPCI/UPI/PHARMACY,,,808030346012,,759.0,0.0,293673.0,debit,State Bank of India,74809185749_000001,,False
16400202955,Anjali Sunita,MAHB0614602,17/01/2025,,APEX COMMERCE ENTERPRISE MAHBN2501176761122 - 9008-NEFT/ RTGS CELL SBIN0469973 74930792438,,MAHBN2501176761122,MAHBN2501176761122,,0.0,41164.0,941164.0,credit,Bank of Maharashtra,16400202955_000000,,False
16400202955,Anjali Sunita,MAHB0614602,17/01/2025,,CWDR/840319458426/17-01-2025 10:52:12/CMN,,,,,15000.0,0.0,926164.0,debit,Bank of Maharashtra,16400202955_000001,,False
384961901558,MEERA PATEL,IDIB0844012,17/01/2025,,UPI/711267735247/DR/BESCOM/IDFB/bescom.bill@upi@idfb0431688.ifsc.npci/UPI,,,711267735247,,2195.0,0.0,128357.0,debit,Indian Bank,384961901558_000002,,False
67947948262536,Priya Venkatesh,BARB0125016,17/01/2025,,UPI/674852040380/22:06:26/UPI/fuelpay@ybl@icic0443324.ifsc.npci/Payment/INDIANOIL,,,674852040380,,788.0,0.0,249005.0,debit,Bank of Baroda,67947948262536_000000,,False
82389122072698,ISHA REDDY,UTIB0525319,17/01/2025,,UPI:PAY:495360750078/BESCOM            /Indian Ban,,,495360750078,,166.0,0.0,360884.0,debit,Axis Bank,82389122072698_000001,,False
