Bank Name,HDFC BANK LTD
Account Number,00057753678707
Account Holder Name,NARESH MALHOTRA
Branch,NEHRU PLACE
IFSC Code,HDFC0972626
Statement Period,01-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01/12/24,ATW-XXXXXX9525-TPS79217-CHENNAI 069612882269,140706002314,"10,000.00",,478402.23
01/12/24,UPI-Uber India-uber@paytm-747311177695-DR VIA UPI,197659129699,90.95,,478311.28
02/12/24,UPI-Jio Recharge-jio@paytm-920961126642-DR VIA UPI,357843060986,"1,610.36",,476700.92
02/12/24,ATW-XXXXXX2820-XKP71906-CHENNAI 630976387935,973746977753,"7,000.00",,469700.92
02/12/24,UPI-Nisha Sethi-nisha388@axl-848481456155-CR VIA UPI,333235782421,,"15,050.67",484751.59
03/12/24,ATW-XXXXXX8632-WJJ29585-CHENNAI 277514381020,869049872089,"2,000.00",,482751.59
03/12/24,UPI-Nykaa-nykaa@razorpay-420247161633-DR VIA UPI,660982267300,"5,950.48",,476801.11
04/12/24,UPI-Vijay Reddy-vijay899@axl-328985182402-DR VIA UPI,649719542705,"6,850.54",,469950.57
04/12/24,UPI-Anil Dutta-anil340@ptyes-880190520431-CR VIA UPI,170892101927,,"16,750.31",486700.88
05/12/24,UPI-Dunzo-dunzo@razorpay-233960068188-DR VIA UPI,485017509922,"1,330.69",,485370.19
05/12/24,UPI-Girish Mehta-6619866729@upi-202448721589-DR VIA UPI,895943235577,"14,100.67",,471269.52
06/12/24,UPI-Babita Pillai-babitapill42@paytm-018765307120-CR VIA UPI,050081653814,,"3,050.08",474319.60
07/12/24,UPI-Paytm Mall-paytm@paytm-552339258804-DR VIA UPI,842415293385,"1,230.54",,473089.06
07/12/24,UPI-HDFC Life Insurance-licindia@licindia-166621181002-DR VIA UPI,188397978837,"6,700.00",,466389.06
07/12/24,UPI-Ola Cabs-olamoney@ola-940991158466-DR VIA UPI,530505248077,630.02,,465759.04
07/12/24,SALARY-S0343951986696/NEFT/Bajaj Auto Ltd,988981883436,,"140,291.34",606050.38
08/12/24,UPI-Jio Recharge-jio@paytm-115545323609-DR VIA UPI,205370079433,659.00,,605391.38
09/12/24,UPI-Dunzo-dunzo@razorpay-202173614009-DR VIA UPI,743957999790,"1,090.68",,604300.70
09/12/24,UPI-Amazon Pay-amazon@apl-562914588713-DR VIA UPI,838361111629,"4,950.68",,599350.02
10/12/24,UPI-Usha Desai-usha.desai@upi-646804835273-CR VIA UPI,176664769532,,650.77,600000.79
10/12/24,UPI-Amazon Pay-amazon@apl-272295022272-DR VIA UPI,038939346671,"2,470.52",,597530.27
10/12/24,ECS-NACH-LN157317953562-Manappuram Finance,436464783200,"16,500.00",,581030.27
10/12/24,UPI-Ola Cabs-olamoney@ola-695308873347-DR VIA UPI,512353302832,150.40,,580879.87
11/12/24,UPI-BESCOM-bescompayment@upi-723521757565-DR VIA UPI,142333022913,"3,200.06",,577679.81
11/12/24,UPI-Pankaj Shukla-pankajshuk39@okhdfcbank-638608896809-DR VIA UPI,334697508804,"16,050.12",,561629.69
11/12/24,UPI-Rajan Nair-rajan543@okicici-123537432674-DR VIA UPI,990207248579,"7,550.50",,554079.19
11/12/24,UPI-Meena Rao-meena665@ptsbi-328593292637-DR VIA UPI,650324809465,"4,350.74",,549728.45
11/12/24,UPI-Sangita Bose-2304990196@aubank-608294545172-DR VIA UPI,930272842966,"9,750.29",,539978.16
