PUNJAB NATIONAL BANK - Account Statement
Account Number : 2818640871270954
Account Name   : ISHA SHARMA
Branch         : BANJARA HILLS
IFSC Code      : PUNB0510602
Statement Period: 01-12-2024 To 08-05-2026

+------------+------------+------------------+----------------------------------------------------+----------------+----------------+----------------+----------------+
| Trans Dt   | Value Dt   | Transn ID        | Transaction Particulars                            | Ins Number     | Debit          | Credit         | Balance        |
+------------+------------+------------------+----------------------------------------------------+----------------+----------------+----------------+----------------+
| 01-12-2024 | 01-12-2024 | 808590095000     | UPI/DR/477745284712/Nykaa/PAYTM/nykaa@razorpay/UPI | 808590095000   | 3,300.96       |                | 1,785,570.71   |
| 01-12-2024 | 01-12-2024 | 416291998888     | UPI/DR/981296190262/Blinkit/ICICI/blinkit@kotak/UP | 416291998888   | 1,480.90       |                | 1,784,089.81   |
| 01-12-2024 | 01-12-2024 | 733207931129     | UPI/CR/810191283994/Sangita/SBIN/sangita.yadav@ibl | 733207931129   |                | 6,200.32       | 1,790,290.13   |
| 01-12-2024 | 01-12-2024 | 457132902817     | UPI/DR/329594465095/Dinesh/BARB/dinesh.ahuja@axl/U | 457132902817   | 14,650.26      |                | 1,775,639.87   |
| 01-12-2024 | 01-12-2024 | 677193280800     | UPI/DR/419193760030/Flipkart/ICICI/flipkart@ybl/UP | 677193280800   | 1,620.35       |                | 1,774,019.52   |
| 02-12-2024 | 02-12-2024 | 405373123508     | UPI/DR/676255830660/Arjun/UTIB/0218803111@ybl/UPI  | 405373123508   | 4,850.23       |                | 1,769,169.29   |
| 04-12-2024 | 04-12-2024 | 606491045976     | UPI/DR/547809129961/ICICI/LICI/licindia@licindia/U | 606491045976   | 2,300.00       |                | 1,766,869.29   |
| 05-12-2024 | 05-12-2024 | 548289580030     | UPI/DR/324771439050/MedPlus/ICICI/medplus@icici/UP | 548289580030   | 900.19         |                | 1,765,969.10   |
| 05-12-2024 | 05-12-2024 | 200301863482     | UPI/CR/982794263786/Archana/KKBK/archanamukh22@axl | 200301863482   |                | 19,250.22      | 1,785,219.32   |
| 06-12-2024 | 06-12-2024 | 275948600863     | SALARY CREDIT/S9233413581287/Dr Reddys Laboratorie | 275948600863   |                | 78,811.19      | 1,864,030.51   |
| 06-12-2024 | 06-12-2024 | 980560987891     | UPI/DR/884077059326/Uber/PAYTM/uber@paytm/UPI      | 980560987891   | 670.36         |                | 1,863,360.15   |
| 06-12-2024 | 06-12-2024 | 943271537695     | POS SHELL FUEL STATION VADODARA                    | 943271537695   | 1,500.67       |                | 1,861,859.48   |
| 07-12-2024 | 07-12-2024 | 370093536384     | ATM CASH WITHDRAWAL/28591/VADODARA                 | 370093536384   | 5,500.00       |                | 1,856,359.48   |
| 07-12-2024 | 07-12-2024 | 497806136713     | UPI/DR/089284158893/Sachin/PUNB/sachin.joshi@okici | 497806136713   | 10,700.61      |                | 1,845,658.87   |
| 07-12-2024 | 07-12-2024 | 420134535855     | POS SHELL FUEL STATION VADODARA                    | 420134535855   | 4,500.15       |                | 1,841,158.72   |
| 08-12-2024 | 08-12-2024 | 940130671715     | UPI/DR/549716425278/Zepto/ICICI/zepto@apl/UPI      | 940130671715   | 970.11         |                | 1,840,188.61   |
| 08-12-2024 | 08-12-2024 | 271226239435     | UPI/CR/183770983544/Ashish/BARB/ashish446@okicici/ | 271226239435   |                | 15,100.45      | 1,855,289.06   |
| 09-12-2024 | 09-12-2024 | 991104327460     | ATM CASH WITHDRAWAL/78558/VADODARA                 | 991104327460   | 5,500.00       |                | 1,849,789.06   |
| 10-12-2024 | 10-12-2024 | 221100314560     | POS INDIAN OIL VADODARA                            | 221100314560   | 1,250.84       |                | 1,848,538.22   |
| 10-12-2024 | 10-12-2024 | 621459193486     | UPI/DR/885620042849/MakeMyTrip/ICICI/makemytrip@ax | 621459193486   | 449.00         |                | 1,848,089.22   |
| 10-12-2024 | 10-12-2024 | 496304790833     | UPI/DR/020483311428/Jio/PAYTM/vi@airtelaxis/UPI    | 496304790833   | 579.00         |                | 1,847,510.22   |
| 10-12-2024 | 10-12-2024 | 741546130559     | UPI/DR/462989684657/Renu/UCBA/renu.mishra@pthdfc/U | 741546130559   | 6,050.31       |                | 1,841,459.91   |
| 11-12-2024 | 11-12-2024 | 012125750784     | NACH/MANDATE/RNT7271919/RENT MANDATE               | 012125750784   | 20,000.00      |                | 1,821,459.91   |
| 11-12-2024 | 11-12-2024 | 464585089835     | UPI/DR/461317407913/Divya/KKBK/divya742@ybl/UPI    | 464585089835   | 250.83         |                | 1,821,209.08   |
| 11-12-2024 | 11-12-2024 | 430279836806     | UPI/DR/293483555417/Anita/KKBK/anita.reddy@okicici | 430279836806   | 6,550.92       |                | 1,814,658.16   |
| 11-12-2024 | 11-12-2024 | 621550473191     | ATM CASH WITHDRAWAL/02357/VADODARA                 | 621550473191   | 1,000.00       |                | 1,813,658.16   |
| 12-12-2024 | 12-12-2024 | 541375729679     | NACH/MANDATE/LN341833488594/Muthoot Finance        | 541375729679   | 12,000.00      |                | 1,801,658.16   |
| 12-12-2024 | 12-12-2024 | 452608454682     | UPI/CR/731806839419/Vijay/BDBL/vijayseth87@okaxis/ | 452608454682   |                | 18,850.24      | 1,820,508.40   |
| 12-12-2024 | 12-12-2024 | 757967041589     | POS PANTALOONS VADODARA                            | 757967041589   | 5,650.85       |                | 1,814,857.55   |
| 13-12-2024 | 13-12-2024 | 002278567439     | UPI/DR/344760380770/Swiggy/ICICI/swiggy@icici/UPI  | 002278567439   | 2,540.50       |                | 1,812,317.05   |
| 13-12-2024 | 13-12-2024 | 427724498688     | UPI/DR/291768413342/IRCTC/ICICI/irctc@upi/UPI      | 427724498688   | 999.00         |                | 1,811,318.05   |
| 13-12-2024 | 13-12-2024 | 594442667976     | UPI/DR/879333412973/Indane/ICICI/indanegas@upi/UPI | 594442667976   | 2,750.07       |                | 1,808,567.98   |
| 13-12-2024 | 13-12-2024 | 328271352630     | ATM CASH WITHDRAWAL/72205/VADODARA                 | 328271352630   | 2,000.00       |                | 1,806,567.98   |
| 14-12-2024 | 14-12-2024 | 983905250441     | UPI/DR/908723400598/Kamal/HDFC/kamal765@ybl/UPI    | 983905250441   | 17,650.02      |                | 1,788,917.96   |
| 14-12-2024 | 14-12-2024 | 825219633613     | UPI/CR/218595143170/Mamta/FDRL/mamta.desai@ibl/UPI | 825219633613   |                | 6,100.33       | 1,795,018.29   |
| 15-12-2024 | 15-12-2024 | 346146836633     | UPI/CR/728872414520/Suresh/SBIN/suresh156@okhdfcba | 346146836633   |                | 14,600.72      | 1,809,619.01   |
| 17-12-2024 | 17-12-2024 | 708849249485     | UPI/DR/548937287349/Kavita/FDRL/kavitanamb71@oksbi | 708849249485   | 16,900.53      |                | 1,792,718.48   |
| 17-12-2024 | 17-12-2024 | 082798498686     | UPI/DR/399846457447/Jio/PAYTM/vi@airtelaxis/UPI    | 082798498686   | 589.00         |                | 1,792,129.48   |
| 17-12-2024 | 17-12-2024 | 717698785321     | NACH/MANDATE/SIP8195252/Axis Mutual Fund           | 717698785321   | 12,000.00      |                | 1,780,129.48   |
| 17-12-2024 | 17-12-2024 | 595107861931     | UPI/CR/514045742651/Lata/UCBA/lata539@kotak/UPI    | 595107861931   |                | 13,100.69      | 1,793,230.17   |
| 18-12-2024 | 18-12-2024 | 586587378441     | POS BRAND FACTORY VADODARA                         | 586587378441   | 3,250.72       |                | 1,789,979.45   |
| 18-12-2024 | 18-12-2024 | 303593116438     | UPI/DR/835873477892/Rapido/PAYTM/rapido@icici/UPI  | 303593116438   | 280.07         |                | 1,789,699.38   |
| 20-12-2024 | 20-12-2024 | 441659714464     | UPI/DR/970242809288/BESCOM/UPIN/bescompayment@upi/ | 441659714464   | 2,200.53       |                | 1,787,498.85   |
| 21-12-2024 | 21-12-2024 | 317501292240     | UPI/DR/093886853279/Flipkart/ICICI/flipkart@ybl/UP | 317501292240   | 2,020.54       |                | 1,785,478.31   |
| 21-12-2024 | 21-12-2024 | 655665424104     | UPI/CR/130041599696/Sumit/BKID/sumitahuj96@apl/UPI | 655665424104   |                | 16,850.68      | 1,802,328.99   |
| 22-12-2024 | 22-12-2024 | 015876535303     | UPI/DR/458269469947/BSNL/ICICI/bsnlbroadband@upi/U | 015876535303   | 220.39         |                | 1,802,108.60   |
| 22-12-2024 | 22-12-2024 | 662860076002     | ATM CASH WITHDRAWAL/97376/VADODARA                 | 662860076002   | 8,000.00       |                | 1,794,108.60   |
| 22-12-2024 | 22-12-2024 | 657663098577     | UPI/DR/205056508654/Amazon/ICICI/amazon@apl/UPI    | 657663098577   | 1,100.21       |                | 1,793,008.39   |
| 22-12-2024 | 22-12-2024 | 334845576590     | UPI/CR/074759604542/Himanshu/KKBK/himanshuverm21@y | 334845576590   |                | 13,750.89      | 1,806,759.28   |
| 23-12-2024 | 23-12-2024 | 328363634598     | UPI/DR/199013238558/Rapido/PAYTM/rapido@icici/UPI  | 328363634598   | 870.53         |                | 1,805,888.75   |
| 23-12-2024 | 23-12-2024 | 239154058610     | UPI/DR/209825793722/ACT/RAZORPAY/broadband@paytm/U | 239154058610   | 299.00         |                | 1,805,589.75   |
| 24-12-2024 | 24-12-2024 | 991898744107     | UPI/DR/398850481930/Mohan/HDFC/mohan.pandey@kotak/ | 991898744107   | 5,500.18       |                | 1,800,089.57   |
| 25-12-2024 | 25-12-2024 | 628730838248     | UPI/DR/287833459578/Jio/PAYTM/vi@airtelaxis/UPI    | 628730838248   | 779.00         |                | 1,799,310.57   |
| 25-12-2024 | 25-12-2024 | 732280944972     | UPI/DR/046485981852/Ravi/HDFC/raviseth51@okhdfcban | 732280944972   | 3,250.15       |                | 1,796,060.42   |
| 27-12-2024 | 27-12-2024 | 467428922053     | UPI/CR/946771530899/Anjali/PUNB/1024365995@okaxis/ | 467428922053   |                | 20,650.51      | 1,816,710.93   |
| 27-12-2024 | 27-12-2024 | 949904736759     | POS RELIANCE MART VADODARA                         | 949904736759   | 2,400.35       |                | 1,814,310.58   |
| 28-12-2024 | 28-12-2024 | 554303909492     | UPI/DR/399847163188/Rapido/PAYTM/rapido@icici/UPI  | 554303909492   | 840.46         |                | 1,813,470.12   |
| 28-12-2024 | 28-12-2024 | 920968963768     | INTEREST CREDIT                                    | 920968963768   |                | 595.46         | 1,814,065.58   |
| 30-12-2024 | 30-12-2024 | 662632787228     | POS MAX FASHION VADODARA                           | 662632787228   | 5,250.70       |                | 1,808,814.88   |
| 30-12-2024 | 30-12-2024 | 349071579703     | UPI/DR/802092538214/Usha/PUNB/ushamalh96@ptsbi/UPI | 349071579703   | 12,250.29      |                | 1,796,564.59   |
| 31-12-2024 | 31-12-2024 | 924484951098     | UPI/DR/529872863234/Amazon/ICICI/amazon@apl/UPI    | 924484951098   | 670.58         |                | 1,795,894.01   |
| 01-01-2025 | 01-01-2025 | 511743226519     | UPI/CR/753955625111/Ritu/PUNB/ritu.das@okicici/UPI | 511743226519   |                | 9,900.11       | 1,805,794.12   |
| 01-01-2025 | 01-01-2025 | 810179851661     | UPI/CR/888364975130/Sushma/UTIB/sushma.chopra@axl/ | 810179851661   |                | 16,200.16      | 1,821,994.28   |
| 01-01-2025 | 01-01-2025 | 116220073769     | UPI/DR/630286462760/BSNL/ICICI/bsnlbroadband@upi/U | 116220073769   | 320.99         |                | 1,821,673.29   |
| 02-01-2025 | 02-01-2025 | 032780010786     | UPI/DR/175299014751/Blinkit/ICICI/blinkit@kotak/UP | 032780010786   | 2,670.65       |                | 1,819,002.64   |
| 02-01-2025 | 02-01-2025 | 010270650348     | UPI/CR/346347419819/Deepak/HDFC/deepak.nambiar@ybl | 010270650348   |                | 6,050.39       | 1,825,053.03   |
| 02-01-2025 | 02-01-2025 | 055938012030     | UPI/DR/577541543744/Jio/PAYTM/vi@airtelaxis/UPI    | 055938012030   | 449.00         |                | 1,824,604.03   |
| 02-01-2025 | 02-01-2025 | 193313918598     | ATM CASH WITHDRAWAL/90194/VADODARA                 | 193313918598   | 1,500.00       |                | 1,823,104.03   |
| 03-01-2025 | 03-01-2025 | 562606481983     | UPI/CR/546692909611/Shweta/BDBL/shweta.patel@ibl/U | 562606481983   |                | 21,350.67      | 1,844,454.70   |
