Bank Name,UCO BANK
Account Number,6752720432718688
Account Holder Name,MEENA SHUKLA
Branch,SECTOR 18 NOIDA
IFSC Code,UCBA0383801
Statement Period,03-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
03-12-2024,SALARY CREDIT/S7651143687778/Blue Dart Express Ltd,504092874155,,"98,827.98",896995.30
03-12-2024,UPI/DR/499517299293/Naveen/PUNB/naveen328@oksbi/UPI,625325894229,"5,050.39",,891944.91
04-12-2024,POS HP PETROL PUMP AMRITSAR,531881145339,"1,400.82",,890544.09
05-12-2024,NACH/MANDATE/RNT1110857/RENT MANDATE,655842967758,"24,500.00",,866044.09
05-12-2024,UPI/DR/035981961889/Ola/PAYTM/olamoney@ola/UPI,919882700868,810.34,,865233.75
05-12-2024,UPI/DR/343275590443/Sonia/SBIN/soniapati13@okhdfcbank/UPI,528370114665,"8,100.58",,857133.17
06-12-2024,UPI/CR/678250564238/Sonia/BARB/sonia.banerjee@apl/UPI,700935161664,,"7,900.65",865033.82
06-12-2024,UPI/CR/892766991419/Varsha/BARB/varsha.nair@ybl/UPI,718548638260,,"19,150.99",884184.81
07-12-2024,UPI/DR/315380112383/Jio/PAYTM/airtel@axis/UPI,059674966419,799.00,,883385.81
07-12-2024,UPI/DR/526433272394/LIC/LICI/licindia@licindia/UPI,660887227137,"8,200.00",,875185.81
09-12-2024,POS V MART AMRITSAR,181408528136,"2,500.42",,872685.39
09-12-2024,UPI/CR/476207534612/Sapna/SBIN/4667893779@upi/UPI,036511076639,,"9,900.31",882585.70
09-12-2024,POS D MART AMRITSAR,057482932527,"8,450.00",,874135.70
10-12-2024,UPI/DR/888225265312/BigBasket/ICICI/bigbasket@ybl/UPI,136051268087,"1,300.60",,872835.10
10-12-2024,UPI/CR/550916750864/Arun/UTIB/arun334@okicici/UPI,645278574937,,"10,750.60",883585.70
10-12-2024,NACH/MANDATE/LN135530784778/HDFC Ltd,831628351199,"8,000.00",,875585.70
12-12-2024,POS V MART AMRITSAR,550965692381,"8,300.95",,867284.75
12-12-2024,UPI/DR/343010924096/Jio/ICICI/jio@paytm/UPI,917309121111,"2,100.23",,865184.52
12-12-2024,ATM CASH WITHDRAWAL/89688/AMRITSAR,348610032513,"1,500.00",,863684.52
12-12-2024,POS CENTRAL MALL AMRITSAR,162152153491,"4,850.89",,858833.63
12-12-2024,UPI/DR/647728593190/Flipkart/PAYTM/flipkart@ybl/UPI,978381752574,"2,250.30",,856583.33
13-12-2024,UPI/DR/201183501712/Dinesh/BKID/dinesh576@oksbi/UPI,093452437749,"4,850.34",,851732.99
13-12-2024,UPI/DR/851699502735/Swiggy/ICICI/swiggy@icici/UPI,819786307828,470.18,,851262.81
14-12-2024,UPI/DR/361613630283/Jio/PAYTM/airtel@axis/UPI,004387818182,749.00,,850513.81
14-12-2024,POS BHARAT PETROLEUM AMRITSAR,263639449455,"3,650.55",,846863.26
14-12-2024,UPI/DR/766721114702/Uber/PAYTM/uber@paytm/UPI,837118915146,820.80,,846042.46
15-12-2024,UPI/DR/411551655476/Blinkit/ICICI/blinkit@kotak/UPI,042679338671,740.59,,845301.87
15-12-2024,UPI/DR/084647324381/Paytm/ICICI/paytm@paytm/UPI,098557100124,650.90,,844650.97
15-12-2024,UPI/DR/227089323867/Dunzo/ICICI/dunzo@razorpay/UPI,558724476120,540.27,,844110.70
16-12-2024,UPI/DR/584730976222/Uber/PAYTM/uber@paytm/UPI,520781298411,550.27,,843560.43
