STATE BANK OF INDIA - Account Statement
Account Number : 37853420993
Account Name   : KAVYA THAPAR
Branch         : BALLYGUNGE
IFSC Code      : SBIN0316919
Statement Period: 01-12-2024 To 09-05-2026

+------------+------------+------------------+----------------------------------------------------+----------------+----------------+----------------+----------------+
| Trans Dt   | Value Dt   | Transn ID        | Transaction Particulars                            | Ins Number     | Debit          | Credit         | Balance        |
+------------+------------+------------------+----------------------------------------------------+----------------+----------------+----------------+----------------+
| 01-12-2024 | 01-12-2024 | 460384089748     | INB NEFT-S2340260082592/Wipro Limited/SALARY CR    | 460384089748   |                | 64,184.78      | 1,566,370.16   |
| 01-12-2024 | 01-12-2024 | 894590491505     | UPI/DR/721313627904/Varsha/PUNB/varsha.chaudhary@k | 894590491505   | 21,700.86      |                | 1,544,669.30   |
| 02-12-2024 | 02-12-2024 | 086535443390     | NACH/MANDATE/RNT9593444/RENT MANDATE               | 086535443390   | 26,000.00      |                | 1,518,669.30   |
| 02-12-2024 | 02-12-2024 | 558252247683     | UPI/DR/553840548687/Uber/PAYTM/uber@paytm/UPI      | 558252247683   | 570.35         |                | 1,518,098.95   |
| 03-12-2024 | 03-12-2024 | 484943151420     | UPI/DR/683878435893/Zomato/ICICI/zomato@axisbank/U | 484943151420   | 840.93         |                | 1,517,258.02   |
| 03-12-2024 | 03-12-2024 | 638872658442     | POS SHELL FUEL STATION COIMBATO                    | 638872658442   | 2,900.42       |                | 1,514,357.60   |
| 04-12-2024 | 04-12-2024 | 140753414796     | UPI/DR/813227322244/Practo/ICICI/practo@paytm/UPI  | 140753414796   | 299.00         |                | 1,514,058.60   |
| 05-12-2024 | 05-12-2024 | 588046805809     | UPI/DR/570740128887/Amazon/ICICI/amazon@apl/UPI    | 588046805809   | 1,670.40       |                | 1,512,388.20   |
| 06-12-2024 | 06-12-2024 | 762240964638     | UPI/DR/881856846444/Akash/BARB/akash876@okaxis/UPI | 762240964638   | 15,400.52      |                | 1,496,987.68   |
| 06-12-2024 | 06-12-2024 | 966473445574     | UPI/DR/457135912190/Flipkart/PAYTM/flipkart@ybl/UP | 966473445574   | 4,800.38       |                | 1,492,187.30   |
| 07-12-2024 | 07-12-2024 | 614457002517     | INB IMPS/122657729664/Pooja Pillai/PUNB            | 614457002517   | 42,300.18      |                | 1,449,887.12   |
| 08-12-2024 | 08-12-2024 | 869625449727     | UPI/CR/506720574454/Tarun/BDBL/tarun.srivastava@ok | 869625449727   |                | 20,950.58      | 1,470,837.70   |
| 10-12-2024 | 10-12-2024 | 693179069225     | UPI/DR/146681350023/Blinkit/ICICI/blinkit@kotak/UP | 693179069225   | 2,050.94       |                | 1,468,786.76   |
| 10-12-2024 | 10-12-2024 | 651345093804     | POS BIG BAZAAR COIMBATORE                          | 651345093804   | 6,600.30       |                | 1,462,186.46   |
| 11-12-2024 | 11-12-2024 | 452900791695     | UPI/DR/467210681829/Zepto/ICICI/zepto@apl/UPI      | 452900791695   | 2,210.81       |                | 1,459,975.65   |
| 12-12-2024 | 12-12-2024 | 711886268270     | UPI/DR/652588626078/Airtel/PAYTM/airtel@axis/UPI   | 711886268270   | 739.00         |                | 1,459,236.65   |
| 12-12-2024 | 12-12-2024 | 047342530463     | UPI/DR/991004871166/Max/LICI/licindia@licindia/UPI | 047342530463   | 7,800.00       |                | 1,451,436.65   |
| 12-12-2024 | 12-12-2024 | 345088280801     | UPI/DR/107328576122/MSEDCL/UPIN/msedclpayment@upi/ | 345088280801   | 1,400.77       |                | 1,450,035.88   |
| 13-12-2024 | 13-12-2024 | 973856532864     | UPI/DR/369994616227/Amazon/ICICI/amazon@apl/UPI    | 973856532864   | 2,250.42       |                | 1,447,785.46   |
| 13-12-2024 | 13-12-2024 | 265242859456     | UPI/DR/616025398400/Uber/PAYTM/uber@paytm/UPI      | 265242859456   | 470.31         |                | 1,447,315.15   |
| 13-12-2024 | 13-12-2024 | 470479603147     | UPI/DR/130639040892/Airtel/PAYTM/airtel@axis/UPI   | 470479603147   | 289.00         |                | 1,447,026.15   |
| 13-12-2024 | 13-12-2024 | 882423490233     | UPI/DR/182162810597/Akash/FDRL/akash194@oksbi/UPI  | 882423490233   | 8,950.18       |                | 1,438,075.97   |
| 15-12-2024 | 15-12-2024 | 141918616735     | NACH/MANDATE/SIP8675160/Axis Mutual Fund           | 141918616735   | 7,000.00       |                | 1,431,075.97   |
| 15-12-2024 | 15-12-2024 | 484749442238     | UPI/CR/803986644708/Manish/KKBK/5513002725@ybl/UPI | 484749442238   |                | 6,250.89       | 1,437,326.86   |
| 15-12-2024 | 15-12-2024 | 671811195393     | UPI/DR/310926893467/Amazon/ICICI/amazon@apl/UPI    | 671811195393   | 570.23         |                | 1,436,756.63   |
| 15-12-2024 | 15-12-2024 | 882541267544     | UPI/DR/409835002988/Airtel/PAYTM/airtel@axis/UPI   | 882541267544   | 979.00         |                | 1,435,777.63   |
| 15-12-2024 | 15-12-2024 | 850043356258     | UPI/DR/793967588574/Indane/ICICI/indanegas@upi/UPI | 850043356258   | 2,600.75       |                | 1,433,176.88   |
| 15-12-2024 | 15-12-2024 | 113701127013     | UPI/DR/891501283807/Divya/PUNB/divya.yadav@ptyes/U | 113701127013   | 6,900.47       |                | 1,426,276.41   |
| 15-12-2024 | 15-12-2024 | 086588184554     | UPI/CR/387347241495/Renu/UCBA/renu.ghosh@axl/UPI   | 086588184554   |                | 10,950.00      | 1,437,226.41   |
| 16-12-2024 | 16-12-2024 | 530185915220     | UPI/DR/289569561742/PhonePe/ICICI/phonepe@ybl/UPI  | 530185915220   | 1,470.20       |                | 1,435,756.21   |
| 17-12-2024 | 17-12-2024 | 977148885285     | UPI/DR/570396531249/BigBasket/ICICI/bigbasket@ybl/ | 977148885285   | 1,460.65       |                | 1,434,295.56   |
| 17-12-2024 | 17-12-2024 | 894933926653     | UPI/CR/508679299178/Akash/UTIB/akash244@paytm/UPI  | 894933926653   |                | 8,550.04       | 1,442,845.60   |
| 18-12-2024 | 18-12-2024 | 700163185600     | POS BRAND FACTORY COIMBATORE                       | 700163185600   | 7,350.32       |                | 1,435,495.28   |
| 18-12-2024 | 18-12-2024 | 250957318392     | UPI/DR/637656478391/PhonePe/ICICI/phonepe@ybl/UPI  | 250957318392   | 730.90         |                | 1,434,764.38   |
| 19-12-2024 | 19-12-2024 | 659530524422     | ATM WDL
ATM CASH 95163 BALLYGUNGE COIMBATORE       | 659530524422   | 3,000.00       |                | 1,431,764.38   |
| 20-12-2024 | 20-12-2024 | 071234915597     | POS INDIAN OIL COIMBATO                            | 071234915597   | 3,300.42       |                | 1,428,463.96   |
| 20-12-2024 | 20-12-2024 | 156039625814     | UPI/CR/246670798321/Manoj/FDRL/manoj.pillai@ptsbi/ | 156039625814   |                | 4,400.17       | 1,432,864.13   |
| 20-12-2024 | 20-12-2024 | 146818101270     | UPI/DR/909680803266/Arjun/UCBA/arjun634@ybl/UPI    | 146818101270   | 6,500.97       |                | 1,426,363.16   |
| 20-12-2024 | 20-12-2024 | 664177193257     | UPI/DR/850377033665/Flipkart/ICICI/flipkart@ybl/UP | 664177193257   | 1,870.26       |                | 1,424,492.90   |
| 21-12-2024 | 21-12-2024 | 831465573520     | UPI/DR/122571303367/BSNL/ICICI/bsnlbroadband@upi/U | 831465573520   | 2,350.14       |                | 1,422,142.76   |
| 21-12-2024 | 21-12-2024 | 777251034978     | POS HP PETROL PUMP COIMBATO                        | 777251034978   | 1,900.31       |                | 1,420,242.45   |
| 21-12-2024 | 21-12-2024 | 013019196623     | UPI/DR/958768636897/Jio/ICICI/jio@paytm/UPI        | 013019196623   | 240.25         |                | 1,420,002.20   |
| 21-12-2024 | 21-12-2024 | 881829807858     | UPI/DR/326350792449/Rajan/SBIN/rajanseth83@apl/UPI | 881829807858   | 1,350.99       |                | 1,418,651.21   |
| 22-12-2024 | 22-12-2024 | 721629913659     | POS HP PETROL PUMP COIMBATO                        | 721629913659   | 1,850.33       |                | 1,416,800.88   |
| 22-12-2024 | 22-12-2024 | 788670796048     | UPI/DR/460185102002/Swiggy/ICICI/swiggy@icici/UPI  | 788670796048   | 1,340.91       |                | 1,415,459.97   |
| 22-12-2024 | 22-12-2024 | 662291351177     | UPI/DR/296702941087/Airtel/PAYTM/airtel@axis/UPI   | 662291351177   | 969.00         |                | 1,414,490.97   |
| 23-12-2024 | 23-12-2024 | 766478101959     | ATM WDL
ATM CASH 22130 BALLYGUNGE COIMBATORE       | 766478101959   | 5,500.00       |                | 1,408,990.97   |
| 23-12-2024 | 23-12-2024 | 680225081479     | UPI/DR/886850831324/Lata/UCBA/9439927109@ybl/UPI   | 680225081479   | 15,950.84      |                | 1,393,040.13   |
| 23-12-2024 | 23-12-2024 | 489737660464     | UPI/DR/981717337253/Amazon/ICICI/amazon@apl/UPI    | 489737660464   | 530.06         |                | 1,392,510.07   |
| 25-12-2024 | 25-12-2024 | 112955446771     | UPI/DR/682597300678/MedPlus/ICICI/medplus@icici/UP | 112955446771   | 2,450.22       |                | 1,390,059.85   |
| 26-12-2024 | 26-12-2024 | 851825160497     | UPI/DR/707480502374/Varun/SBIN/varun.pandey@okaxis | 851825160497   | 6,900.52       |                | 1,383,159.33   |
| 26-12-2024 | 26-12-2024 | 074391525779     | UPI/DR/389049430934/Kamal/UCBA/7637309746@axl/UPI  | 074391525779   | 9,500.98       |                | 1,373,658.35   |
| 26-12-2024 | 26-12-2024 | 745829313969     | UPI/CR/635601756956/Saurabh/KKBK/saurabh.ahuja@oka | 745829313969   |                | 6,750.47       | 1,380,408.82   |
| 26-12-2024 | 26-12-2024 | 593774560293     | UPI/DR/901992887907/Jio/ICICI/jio@paytm/UPI        | 593774560293   | 2,770.42       |                | 1,377,638.40   |
| 26-12-2024 | 26-12-2024 | 549222095984     | UPI/DR/073805477425/Uber/PAYTM/uber@paytm/UPI      | 549222095984   | 480.05         |                | 1,377,158.35   |
| 27-12-2024 | 27-12-2024 | 477761357972     | UPI/DR/996945240043/Airtel/PAYTM/airtel@axis/UPI   | 477761357972   | 389.00         |                | 1,376,769.35   |
| 27-12-2024 | 27-12-2024 | 162880635435     | UPI/DR/978290158775/Amazon/PAYTM/amazon@apl/UPI    | 162880635435   | 6,000.11       |                | 1,370,769.24   |
