Bank Name,BANK OF INDIA
Account Number,6563986075289003
Account Holder Name,RAHUL BANERJEE
Branch,VELACHERY
IFSC Code,BKID0922365
Statement Period,01-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01-12-2024,UPI/DR/166593938670/Meesho/PAYTM/meesho@ybl/UPI,703463236901,"5,400.90",,367571.40
01-12-2024,SALARY CREDIT/S6687583202856/Hero MotoCorp Ltd,384849858532,,"127,481.17",495052.57
01-12-2024,UPI/DR/503000588964/Poonam/PUNB/poonam425@axl/UPI,155001930280,"10,850.77",,484201.80
01-12-2024,UPI/DR/226257573061/Rapido/PAYTM/rapido@icici/UPI,278765242053,220.42,,483981.38
02-12-2024,UPI/DR/601292914188/Uber/PAYTM/uber@paytm/UPI,996911369114,670.18,,483311.20
03-12-2024,UPI/DR/000011173447/Swiggy/ICICI/swiggy@icici/UPI,070894160082,"2,310.97",,481000.23
03-12-2024,UPI/DR/790073194772/Rapido/PAYTM/rapido@icici/UPI,660029011914,860.61,,480139.62
03-12-2024,ATM CASH WITHDRAWAL/68890/BHOPAL,768607377776,"7,000.00",,473139.62
03-12-2024,POS CENTRAL MALL BHOPAL,546473296445,"6,200.58",,466939.04
04-12-2024,UPI/DR/198192569657/Sushma/UCBA/sushma.naik@ptsbi/UPI,758409242835,"11,300.52",,455638.52
04-12-2024,UPI/DR/541321231315/Airtel/PAYTM/jio@paytm/UPI,601109305023,679.00,,454959.52
04-12-2024,UPI/DR/163535540629/PhonePe/ICICI/phonepe@ybl/UPI,369330053536,"2,610.90",,452348.62
04-12-2024,NACH/MANDATE/RNT2318470/RENT MANDATE,675990037897,"13,500.00",,438848.62
04-12-2024,UPI/DR/410788182979/Airtel/PAYTM/jio@paytm/UPI,563699706315,559.00,,438289.62
04-12-2024,UPI/DR/742081679504/Zomato/ICICI/zomato@axisbank/UPI,484795000077,"1,230.70",,437058.92
05-12-2024,UPI/DR/069818284037/Blinkit/ICICI/blinkit@kotak/UPI,597693560608,150.17,,436908.75
05-12-2024,UPI/DR/787503701576/Aditya/LICI/licindia@licindia/UPI,513922639665,"7,400.00",,429508.75
05-12-2024,UPI/DR/836699298330/Dunzo/ICICI/dunzo@razorpay/UPI,713436024768,850.04,,428658.71
06-12-2024,UPI/DR/596880410026/Rapido/PAYTM/rapido@icici/UPI,849551408216,380.17,,428278.54
06-12-2024,POS VISHAL MEGA MART BHOPAL,679283994601,400.68,,427877.86
07-12-2024,UPI/DR/424745817687/Airtel/PAYTM/jio@paytm/UPI,857557462256,289.00,,427588.86
07-12-2024,NACH/MANDATE/LN464995829010/Manappuram Finance,765745968575,"5,000.00",,422588.86
08-12-2024,UPI/DR/580585340730/Priya/UCBA/7058923447@ptyes/UPI,018318839572,"1,300.42",,421288.44
08-12-2024,UPI/DR/660390001012/Blinkit/ICICI/blinkit@kotak/UPI,121336320535,"1,520.52",,419767.92
09-12-2024,ATM CASH WITHDRAWAL/00913/BHOPAL,703897909443,"9,000.00",,410767.92
09-12-2024,UPI/CR/647312676375/Sanjay/SBIN/1464980936@apl/UPI,370086388291,,"16,000.58",426768.50
10-12-2024,UPI/DR/403329262984/Akash/KKBK/akash.kumar@paytm/UPI,659918309926,"20,100.24",,406668.26
10-12-2024,UPI/DR/047568165540/Apollo/ICICI/apollopharmacy@ybl/UPI,657966596395,499.00,,406169.26
11-12-2024,POS CENTRAL MALL BHOPAL,844243665378,"4,950.95",,401218.31
13-12-2024,UPI/CR/543672984059/Babita/SBIN/babitakulk74@kotak/UPI,178449060768,,"21,150.24",422368.55
13-12-2024,UPI/DR/101955968359/Hathway/RAZORPAY/broadband@paytm/UPI,423275791689,699.00,,421669.55
13-12-2024,UPI/CR/745018797597/Sumit/PUNB/sumitredd93@paytm/UPI,757086376006,,"4,650.67",426320.22
13-12-2024,UPI/CR/330429047371/Himanshu/FDRL/himanshu656@okhdfcbank/UPI,782733044194,,"19,100.34",445420.56
14-12-2024,UPI/DR/139450649324/Blinkit/ICICI/blinkit@kotak/UPI,968885608934,"1,260.91",,444159.65
15-12-2024,NACH/MANDATE/SIP1506856/Mirae Asset MF,051612240531,"8,000.00",,436159.65
16-12-2024,UPI/DR/908195491772/Airtel/PAYTM/jio@paytm/UPI,116251266104,259.00,,435900.65
16-12-2024,UPI/DR/590097637961/Kavita/BDBL/5227798625@ybl/UPI,898149495937,"7,100.36",,428800.29
16-12-2024,POS SHOPPERS STOP BHOPAL,643986246488,450.41,,428349.88
18-12-2024,UPI/DR/645574182396/CESC/UPIN/cescpayment@upi/UPI,158063594882,850.89,,427498.99
18-12-2024,UPI/DR/740266655373/Rapido/PAYTM/rapido@icici/UPI,890045131687,800.53,,426698.46
19-12-2024,POS SHELL FUEL STATION BHOPAL,293441086519,"1,350.44",,425348.02
20-12-2024,POS RELIANCE PETROLEUM BHOPAL,027545190984,"4,250.30",,421097.72
20-12-2024,UPI/DR/683561499439/Uber/PAYTM/uber@paytm/UPI,545150409835,710.90,,420386.82
22-12-2024,UPI/DR/762731455345/BSNL/ICICI/bsnlbroadband@upi/UPI,845943625557,370.34,,420016.48
22-12-2024,UPI/DR/886444401899/Netmeds/ICICI/netmeds@paytm/UPI,558634600749,730.99,,419285.49
22-12-2024,IMPS-260300972844-Krishna Chatterj,993383532169,"37,300.19",,381985.30
22-12-2024,UPI/CR/809111453229/Babita/BKID/babita.banerjee@ptaxis/UPI,435944045036,,"7,150.89",389136.19
24-12-2024,UPI/CR/445565294454/Gaurav/BARB/gauravseth65@oksbi/UPI,737094249151,,"12,950.11",402086.30
24-12-2024,UPI/DR/009979511197/Naveen/HDFC/3284118761@okhdfcbank/UPI,215157650791,"4,550.48",,397535.82
25-12-2024,UPI/DR/883588878036/Airtel/PAYTM/jio@paytm/UPI,311644777624,369.00,,397166.82
25-12-2024,UPI/DR/079441930743/Amazon/PAYTM/amazon@apl/UPI,877030596649,"3,500.84",,393665.98
25-12-2024,UPI/DR/540518404577/Sapna/BARB/sapna.desai@okicici/UPI,778932632746,"13,000.94",,380665.04
25-12-2024,UPI/DR/339538174102/Zomato/ICICI/zomato@axisbank/UPI,129892775826,"2,520.33",,378144.71
25-12-2024,INTEREST CREDIT,804938541344,,275.56,378420.27
26-12-2024,POS RELIANCE PETROLEUM BHOPAL,883579287657,"2,150.76",,376269.51
26-12-2024,ATM CASH WITHDRAWAL/54306/BHOPAL,457106937694,"5,500.00",,370769.51
26-12-2024,UPI/DR/824291439235/Indane/ICICI/indanegas@upi/UPI,705969423734,"1,000.37",,369769.14
27-12-2024,UPI/CR/236023975159/Sneha/PUNB/sneha.malhotra@ptsbi/UPI,994143685351,,"19,200.96",388970.10
28-12-2024,SERVICE CHARGES,157045024424,50.00,,388920.10
28-12-2024,GST ON CHARGES,061142073192,9.00,,388911.10
30-12-2024,UPI/DR/699153698269/Amazon/ICICI/amazon@apl/UPI,011521306736,530.82,,388380.28
30-12-2024,POS MAX FASHION BHOPAL,988142795223,"7,100.54",,381279.74
31-12-2024,UPI/DR/451786815557/Paytm/ICICI/paytm@paytm/UPI,873165918017,"2,300.83",,378978.91
01-01-2025,SALARY CREDIT/S2733255601238/Hero MotoCorp Ltd,989134201208,,"124,308.17",503287.08
02-01-2025,NACH/MANDATE/RNT0637164/RENT MANDATE,539145639683,"13,500.00",,489787.08
02-01-2025,UPI/DR/621551690016/Meesho/PAYTM/meesho@ybl/UPI,159417678095,"3,600.76",,486186.32
02-01-2025,POS BHARAT PETROLEUM BHOPAL,075441781944,"4,350.16",,481836.16
