PUNJAB NATIONAL BANK - Account Statement
Account Number : 2265730243390069
Account Name   : HIMANSHU AHUJA
Branch         : GOREGAON EAST
IFSC Code      : PUNB0835093
Statement Period: 01-12-2024 To 09-05-2026

+------------+------------+------------------+----------------------------------------------------+----------------+----------------+----------------+----------------+
| Trans Dt   | Value Dt   | Transn ID        | Transaction Particulars                            | Ins Number     | Debit          | Credit         | Balance        |
+------------+------------+------------------+----------------------------------------------------+----------------+----------------+----------------+----------------+
| 01-12-2024 | 01-12-2024 | 876144025840     | UPI/DR/502955493081/Swiggy/ICICI/swiggy@icici/UPI  | 876144025840   | 580.64         |                | 113,920.20     |
| 02-12-2024 | 02-12-2024 | 233362685092     | POS PANTALOONS VARANASI                            | 233362685092   | 8,500.53       |                | 105,419.67     |
| 02-12-2024 | 02-12-2024 | 938222648221     | UPI/DR/484770782170/Siddharth/SBIN/siddharthroy77@ | 938222648221   | 4,600.80       |                | 100,818.87     |
| 02-12-2024 | 02-12-2024 | 326354088217     | UPI/CR/588082702657/Sachin/BKID/sachinchat27@apl/U | 326354088217   |                | 14,700.50      | 115,519.37     |
| 02-12-2024 | 02-12-2024 | 931712339593     | UPI/DR/325625544112/Dunzo/ICICI/dunzo@razorpay/UPI | 931712339593   | 2,020.15       |                | 113,499.22     |
| 04-12-2024 | 04-12-2024 | 695073584023     | UPI/CR/936616635545/Radha/PUNB/radhanaik16@ybl/UPI | 695073584023   |                | 11,050.92      | 124,550.14     |
| 05-12-2024 | 05-12-2024 | 684057476856     | UPI/DR/950580706245/Pooja/BDBL/pooja659@pthdfc/UPI | 684057476856   | 2,050.39       |                | 122,499.75     |
| 05-12-2024 | 05-12-2024 | 315089732059     | POS LIFESTYLE STORES VARANASI                      | 315089732059   | 4,900.59       |                | 117,599.16     |
| 06-12-2024 | 06-12-2024 | 637671377701     | NEFT/N4819956266756/Tata Consultancy Ser           | 637671377701   |                | 48,000.65      | 165,599.81     |
| 07-12-2024 | 07-12-2024 | 570641064634     | ATM CASH WITHDRAWAL/27888/VARANASI                 | 570641064634   | 6,500.00       |                | 159,099.81     |
| 07-12-2024 | 07-12-2024 | 831218341300     | UPI/DR/656667601204/Rohit/BARB/2152142407@oksbi/UP | 831218341300   | 19,400.21      |                | 139,699.60     |
| 07-12-2024 | 07-12-2024 | 303978493623     | ATM CASH WITHDRAWAL/59545/VARANASI                 | 303978493623   | 6,000.00       |                | 133,699.60     |
| 07-12-2024 | 07-12-2024 | 944941395325     | SALARY CREDIT/S9878421486267/Oracle Financial Serv | 944941395325   |                | 143,768.29     | 277,467.89     |
| 07-12-2024 | 07-12-2024 | 757032594630     | UPI/DR/936497184723/Jio/ICICI/jio@paytm/UPI        | 757032594630   | 210.17         |                | 277,257.72     |
| 08-12-2024 | 08-12-2024 | 650211578741     | POS BHARAT PETROLEUM VARANASI                      | 650211578741   | 1,400.34       |                | 275,857.38     |
| 09-12-2024 | 09-12-2024 | 538321194248     | UPI/DR/742446164096/Rapido/PAYTM/rapido@icici/UPI  | 538321194248   | 880.77         |                | 274,976.61     |
| 09-12-2024 | 09-12-2024 | 466658581152     | UPI/DR/749458624673/Jio/PAYTM/airtel@axis/UPI      | 466658581152   | 199.00         |                | 274,777.61     |
| 09-12-2024 | 09-12-2024 | 514892300183     | UPI/DR/622065473760/Amazon/ICICI/amazon@apl/UPI    | 514892300183   | 900.39         |                | 273,877.22     |
| 10-12-2024 | 10-12-2024 | 177470904102     | NACH/MANDATE/LN329897898384/HDFC Ltd               | 177470904102   | 5,000.00       |                | 268,877.22     |
| 10-12-2024 | 10-12-2024 | 642645926221     | UPI/DR/596320601048/Amazon/PAYTM/amazon@apl/UPI    | 642645926221   | 3,350.54       |                | 265,526.68     |
| 11-12-2024 | 11-12-2024 | 305808220136     | NACH/MANDATE/RNT6590344/RENT MANDATE               | 305808220136   | 20,000.00      |                | 245,526.68     |
| 12-12-2024 | 12-12-2024 | 600884530678     | UPI/DR/763959522399/Reliance/LICI/licindia@licindi | 600884530678   | 7,000.00       |                | 238,526.68     |
| 13-12-2024 | 13-12-2024 | 592359453915     | POS BIG BAZAAR VARANASI                            | 592359453915   | 5,150.86       |                | 233,375.82     |
| 13-12-2024 | 13-12-2024 | 328823593702     | UPI/DR/842697647744/Jio/PAYTM/airtel@axis/UPI      | 328823593702   | 639.00         |                | 232,736.82     |
| 13-12-2024 | 13-12-2024 | 898780676424     | UPI/DR/550936659294/Uber/ICICI/uber@paytm/UPI      | 898780676424   | 1,180.26       |                | 231,556.56     |
| 14-12-2024 | 14-12-2024 | 801286056111     | UPI/DR/302374709899/Jio/PAYTM/airtel@axis/UPI      | 801286056111   | 899.00         |                | 230,657.56     |
| 15-12-2024 | 15-12-2024 | 605276573627     | UPI/DR/304429515199/PhonePe/ICICI/phonepe@ybl/UPI  | 605276573627   | 1,910.37       |                | 228,747.19     |
| 17-12-2024 | 17-12-2024 | 778022865112     | IMPS-814259473760-Gaurav Joshi                     | 778022865112   | 19,100.27      |                | 209,646.92     |
| 18-12-2024 | 18-12-2024 | 263992189944     | POS SHOPPERS STOP VARANASI                         | 263992189944   | 3,050.56       |                | 206,596.36     |
| 18-12-2024 | 18-12-2024 | 056499555701     | UPI/DR/656773728538/Nykaa/PAYTM/nykaa@razorpay/UPI | 056499555701   | 550.94         |                | 206,045.42     |
| 19-12-2024 | 19-12-2024 | 063830814911     | UPI/CR/725765388408/Archana/SBIN/archanayada15@oks | 063830814911   |                | 3,950.29       | 209,995.71     |
| 19-12-2024 | 19-12-2024 | 377321542095     | UPI/DR/029229443107/Swiggy/ICICI/swiggy@icici/UPI  | 377321542095   | 1,190.36       |                | 208,805.35     |
| 20-12-2024 | 20-12-2024 | 906489823433     | POS BRAND FACTORY VARANASI                         | 906489823433   | 7,250.56       |                | 201,554.79     |
| 20-12-2024 | 20-12-2024 | 852826922067     | UPI/DR/008870877193/Kavita/BDBL/kavita.tiwari@ybl/ | 852826922067   | 2,550.07       |                | 199,004.72     |
