Bank Name,UCO BANK
Account Number,3646678344002840
Account Holder Name,RENU SHUKLA
Branch,GOMTI NAGAR
IFSC Code,UCBA0694354
Statement Period,02-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
02-12-2024,UPI/CR/278929134460/Sonia/BARB/soniaredd51@ibl/UPI,776960565665,,"3,750.28",1365341.40
03-12-2024,UPI/DR/035848343142/Zepto/ICICI/zepto@apl/UPI,007457899922,"2,720.53",,1362620.87
03-12-2024,UPI/DR/268992239772/Zomato/ICICI/zomato@axisbank/UPI,437721888775,"1,420.32",,1361200.55
03-12-2024,UPI/DR/552129117359/Ola/PAYTM/olamoney@ola/UPI,800189146945,600.05,,1360600.50
03-12-2024,UPI/DR/799127448845/Paytm/ICICI/paytm@paytm/UPI,234207921901,"2,160.50",,1358440.00
03-12-2024,UPI/DR/357707649348/Ola/PAYTM/olamoney@ola/UPI,439390682744,500.38,,1357939.62
04-12-2024,UPI/DR/425825218081/Prashant/BDBL/prashant471@ptsbi/UPI,368840762346,"9,050.33",,1348889.29
04-12-2024,UPI/DR/464459667945/Rapido/PAYTM/rapido@icici/UPI,408445073738,90.25,,1348799.04
04-12-2024,POS STAR BAZAAR JODHPUR,311781643732,"8,350.91",,1340448.13
05-12-2024,UPI/DR/728581472912/Amazon/ICICI/amazon@apl/UPI,004037797215,"1,500.36",,1338947.77
05-12-2024,UPI/DR/779209382050/Tarun/HDFC/tarun.sharma@ptaxis/UPI,279406722419,"10,350.48",,1328597.29
05-12-2024,UPI/DR/195865772388/PhonePe/ICICI/phonepe@ybl/UPI,967509978751,"2,360.18",,1326237.11
05-12-2024,UPI/DR/544365952428/Vi/PAYTM/vi@airtelaxis/UPI,765382506558,289.00,,1325948.11
05-12-2024,ATM CASH WITHDRAWAL/49052/JODHPUR,533978001429,"2,000.00",,1323948.11
06-12-2024,SALARY CREDIT/S4468558040006/Lupin Limited,747947088569,,"98,341.70",1422289.81
07-12-2024,UPI/DR/454896174337/Vi/PAYTM/vi@airtelaxis/UPI,900233200134,489.00,,1421800.81
07-12-2024,POS RELIANCE MART JODHPUR,952279349189,"7,150.03",,1414650.78
08-12-2024,UPI/DR/739509302459/SBI/LICI/licindia@licindia/UPI,001222761191,"5,600.00",,1409050.78
08-12-2024,POS HP PETROL PUMP JODHPUR,324553620785,"2,600.20",,1406450.58
08-12-2024,UPI/DR/002995492577/Zepto/ICICI/zepto@apl/UPI,044182627267,"2,390.20",,1404060.38
08-12-2024,IMPS-109854929320-Prashant Mishra,271817714764,900.42,,1403159.96
08-12-2024,UPI/DR/167447213733/Akash/BKID/akashsing52@paytm/UPI,036550162945,"5,050.47",,1398109.49
08-12-2024,UPI/DR/525653342443/BSNL/RAZORPAY/broadband@paytm/UPI,163773285926,"1,299.00",,1396810.49
09-12-2024,UPI/DR/634606807625/PhonePe/ICICI/phonepe@ybl/UPI,908526888603,"1,520.70",,1395289.79
10-12-2024,UPI/DR/904925615716/Seema/BARB/seema.mehta@pthdfc/UPI,062786418269,"4,200.96",,1391088.83
11-12-2024,NACH/MANDATE/RNT6794019/RENT MANDATE,169778878640,"18,000.00",,1373088.83
11-12-2024,POS D MART JODHPUR,448489222460,"1,250.33",,1371838.50
11-12-2024,UPI/DR/572868523512/Flipkart/ICICI/flipkart@ybl/UPI,410776331601,"2,280.62",,1369557.88
11-12-2024,UPI/DR/003430819760/Krishna/HDFC/krishna.naik@ibl/UPI,102739292669,"21,850.57",,1347707.31
