Bank Name,BANK OF BARODA
Account Number,0678492539681463
Account Holder Name,SNEHA PATEL
Branch,NAVRANGPURA
IFSC Code,BARB0348042
Statement Period,02-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
02/12/2024,UPI/DR/259613152558/Uber/PAYTM/uber@paytm/UPI,058614696709,140.68,,1618435.89
04/12/2024,SALARY CREDIT/S6607324935261/Lupin Limited,544714129782,,"59,414.40",1677850.29
05/12/2024,UPI/CR/230203299407/Isha/HDFC/ishatiwa70@pthdfc/UPI,108868932384,,"11,850.41",1689700.70
05/12/2024,UPI/DR/404661125236/Airtel/PAYTM/jio@paytm/UPI,306405904319,959.00,,1688741.70
06/12/2024,UPI/DR/359073225202/Rekha/SBIN/1444668993@ptsbi/UPI,954112922154,"19,300.34",,1669441.36
06/12/2024,UPI/DR/594747990737/Zomato/ICICI/zomato@axisbank/UPI,665864751487,"1,040.68",,1668400.68
06/12/2024,UPI/DR/826017225058/Uber/PAYTM/uber@paytm/UPI,874234404868,770.46,,1667630.22
07/12/2024,UPI/DR/939187697156/Amazon/ICICI/amazon@apl/UPI,618129918779,600.58,,1667029.64
07/12/2024,NACH/MANDATE/RNT8139612/RENT MANDATE,150718084258,"14,500.00",,1652529.64
08/12/2024,UPI/DR/250037341635/1mg/ICICI/tatahealth@icici/UPI,050449438301,910.84,,1651618.80
09/12/2024,UPI/CR/015621227169/Prashant/SBIN/prashant.menon@ptyes/UPI,582379192920,,"17,000.62",1668619.42
09/12/2024,POS BIG BAZAAR GURGAON,688576930407,"3,850.53",,1664768.89
09/12/2024,UPI/DR/134586447080/Ola/PAYTM/olamoney@ola/UPI,773842136170,320.42,,1664448.47
10/12/2024,UPI/DR/795311916778/Ola/ICICI/olamoney@ola/UPI,999371420853,540.20,,1663908.27
10/12/2024,POS PANTALOONS GURGAON,203895391730,"7,450.41",,1656457.86
11/12/2024,UPI/DR/372544476166/PhonePe/ICICI/phonepe@ybl/UPI,395224383535,740.36,,1655717.50
11/12/2024,UPI/DR/216578776298/Aditya/LICI/licindia@licindia/UPI,292914950961,"2,400.00",,1653317.50
12/12/2024,UPI/DR/378934822518/BSNL/ICICI/bsnlbroadband@upi/UPI,860404154779,"1,630.69",,1651686.81
12/12/2024,UPI/DR/528761549884/Jio/ICICI/jio@paytm/UPI,734454019478,840.54,,1650846.27
13/12/2024,NACH/MANDATE/SIP3926850/Mirae Asset MF,655821853958,"15,000.00",,1635846.27
13/12/2024,ATM CASH WITHDRAWAL/97282/GURGAON,978006574968,"2,000.00",,1633846.27
13/12/2024,UPI/CR/789132929129/Shreya/HDFC/shreya826@ptaxis/UPI,669688714760,,"21,500.61",1655346.88
13/12/2024,UPI/DR/494488283911/Swiggy/ICICI/swiggy@icici/UPI,796828295241,"1,040.47",,1654306.41
14/12/2024,UPI/DR/674755980661/Blinkit/ICICI/blinkit@kotak/UPI,608556855837,"1,200.61",,1653105.80
16/12/2024,POS RELIANCE PETROLEUM GURGAON,038527020262,"3,500.90",,1649604.90
16/12/2024,POS VISHAL MEGA MART GURGAON,520612942182,900.55,,1648704.35
16/12/2024,UPI/DR/648709304372/Dunzo/ICICI/dunzo@razorpay/UPI,001179270638,560.87,,1648143.48
17/12/2024,UPI/CR/956484678408/Lata/SBIN/4136877848@ibl/UPI,144684691119,,"18,950.11",1667093.59
17/12/2024,UPI/DR/131432375815/Sanjay/FDRL/sanjay683@upi/UPI,356683373837,"17,550.17",,1649543.42
18/12/2024,UPI/DR/172264263093/BigBasket/ICICI/bigbasket@ybl/UPI,771133237076,"2,150.36",,1647393.06
19/12/2024,UPI/DR/021870085543/Harish/FDRL/harish193@okicici/UPI,594927772651,"10,350.38",,1637042.68
20/12/2024,UPI/DR/630318060123/Dunzo/ICICI/dunzo@razorpay/UPI,257359903299,"2,760.19",,1634282.49
20/12/2024,UPI/DR/733768586825/Airtel/PAYTM/jio@paytm/UPI,955634520328,179.00,,1634103.49
20/12/2024,UPI/DR/825902925962/Airtel/PAYTM/jio@paytm/UPI,136073079604,189.00,,1633914.49
20/12/2024,UPI/CR/647275861501/Mukesh/SBIN/mukeshdas92@oksbi/UPI,979656278055,,"2,150.89",1636065.38
21/12/2024,UPI/DR/164323183202/Indane/ICICI/indanegas@upi/UPI,581526704360,"2,400.55",,1633664.83
22/12/2024,UPI/CR/554703344294/Ashish/SBIN/ashish.tiwari@kotak/UPI,707934981574,,"21,100.03",1654764.86
22/12/2024,UPI/DR/059810175216/Rapido/PAYTM/rapido@icici/UPI,144867993805,490.64,,1654274.22
22/12/2024,UPI/DR/112836912916/Zomato/ICICI/zomato@axisbank/UPI,458156119092,"1,540.39",,1652733.83
23/12/2024,ATM CASH WITHDRAWAL/59885/GURGAON,137611042962,"9,500.00",,1643233.83
23/12/2024,UPI/DR/260793412445/KSEB/UPIN/ksebpayment@upi/UPI,568099068291,"1,700.93",,1641532.90
24/12/2024,UPI/DR/192676366159/Dunzo/ICICI/dunzo@razorpay/UPI,590489741639,"1,520.81",,1640012.09
24/12/2024,UPI/DR/798360024475/Meesho/PAYTM/meesho@ybl/UPI,036722756814,"4,800.70",,1635211.39
24/12/2024,POS LIFESTYLE STORES GURGAON,794756718000,"2,750.36",,1632461.03
25/12/2024,UPI/DR/088623646413/BSNL/RAZORPAY/broadband@paytm/UPI,657024816993,899.00,,1631562.03
25/12/2024,UPI/DR/409454158921/BSNL/ICICI/bsnlbroadband@upi/UPI,932175540874,470.15,,1631091.88
26/12/2024,GST ON CHARGES,664308928671,66.60,,1631025.28
26/12/2024,NEFT/N8138972604213/Cognizant Technology,536830767828,,"8,000.87",1639026.15
26/12/2024,SMS CHARGES,682174421930,370.00,,1638656.15
28/12/2024,INTEREST CREDIT,538462314311,,625.34,1639281.49
28/12/2024,UPI/DR/937897509295/Uber/PAYTM/uber@paytm/UPI,354493188308,220.55,,1639060.94
28/12/2024,POS BHARAT PETROLEUM GURGAON,595223155013,"3,150.38",,1635910.56
29/12/2024,UPI/DR/422227881171/Dunzo/ICICI/dunzo@razorpay/UPI,429443886667,"1,190.07",,1634720.49
30/12/2024,UPI/DR/131770268820/Kavya/UTIB/kavyakulk27@okicici/UPI,562081399355,"13,050.38",,1621670.11
