Bank Name,HDFC BANK LTD
Account Number,68699629400471
Account Holder Name,GAURAV KHANNA
Branch,AMEERPET
IFSC Code,HDFC0327058
Statement Period,01-12-2024 To 08-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01/12/24,UPI-Varun Patil-varun447@okicici-871821360508-CR VIA UPI,424448392776,,"5,250.54",117250.62
02/12/24,UPI-Jyoti Das-jyotidas20@ptaxis-692472037168-CR VIA UPI,890628555572,,"21,000.64",138251.26
02/12/24,UPI-Airtel Payments-airtel@axis-670515605664-DR VIA UPI,199474003270,509.00,,137742.26
03/12/24,IMPS-582124226478-Yogesh Verma-SBIN-XXXXXXX7551-IMPSTXN,806963163149,"8,400.78",,129341.48
03/12/24,UPI-IRCTC-irctc@upi-385710703849-DR VIA UPI,700107933294,299.00,,129042.48
06/12/24,POS SHOPPERS STOP PUNE,382927063526,"7,450.05",,121592.43
07/12/24,SALARY-S2670637279645/NEFT/Tata Consultancy Service,416263386850,,"136,700.90",258293.33
07/12/24,POS METRO CASH CARRY PUNE,653819403999,"6,550.60",,251742.73
07/12/24,UPI-Meesho-meesho@ybl-465454060621-DR VIA UPI,580479518187,"4,350.90",,247391.83
07/12/24,UPI-Airtel Payments-airtel@axis-249482201197-DR VIA UPI,400819002999,699.00,,246692.83
08/12/24,UPI-Tarun Ahuja-tarunahuj13@oksbi-238393154105-DR VIA UPI,724736199457,"8,400.11",,238292.72
08/12/24,UPI-Aditya Birla Sun Life-licindia@licindia-541419032224-DR VIA UPI,784425236593,"5,500.00",,232792.72
09/12/24,ECS-NACH-RNT2446661-RENT MANDATE,594962864646,"6,500.00",,226292.72
09/12/24,POS HP PETROL PUMP PUNE,506346502852,"3,150.79",,223141.93
10/12/24,POS STAR BAZAAR PUNE,439902350531,"5,400.86",,217741.07
10/12/24,UPI-Swiggy-swiggy@icici-682624191349-DR VIA UPI,543868737415,190.46,,217550.61
11/12/24,POS RELIANCE MART PUNE,043201244170,"1,950.58",,215600.03
11/12/24,UPI-Jyoti Dutta-7140136948@ybl-055053564911-CR VIA UPI,515106449521,,"17,400.68",233000.71
11/12/24,UPI-ACT Fibernet-broadband@paytm-517242786397-DR VIA UPI,407567948318,899.00,,232101.71
12/12/24,UPI-Mahesh Naik-mahesh.naik@okhdfcbank-620160731918-CR VIA UPI,054885408750,,"14,850.94",246952.65
12/12/24,UPI-Manish Dutta-manish619@kotak-384743585161-DR VIA UPI,336750920545,"7,600.83",,239351.82
12/12/24,UPI-Ola Cabs-olamoney@ola-435811075084-DR VIA UPI,704076236523,"2,050.59",,237301.23
13/12/24,ATW-XXXXXX3663-GQS74015-PUNE 880347453502,593992763124,"10,000.00",,227301.23
13/12/24,UPI-Saurabh Rao-saurabhrao34@axl-068587776197-CR VIA UPI,866692713564,,"20,300.08",247601.31
13/12/24,NEFT*N9440712720056/Bharti Airtel Ltd/CR,354479535745,,"24,500.03",272101.34
13/12/24,POS RELIANCE MART PUNE,505101394818,"6,450.77",,265650.57
14/12/24,ECS-NACH-LN742807355061-Muthoot Finance,720475213660,"18,500.00",,247150.57
14/12/24,UPI-Indane Gas-indanegas@upi-658595725116-DR VIA UPI,353484505572,"1,500.70",,245649.87
14/12/24,UPI-Zepto-zepto@apl-336354242442-DR VIA UPI,963566462652,"1,680.78",,243969.09
16/12/24,POS HP PETROL PUMP PUNE,737563173721,"2,500.96",,241468.13
16/12/24,UPI-Amazon Pay-amazon@apl-637458337194-DR VIA UPI,481347954979,170.20,,241297.93
16/12/24,UPI-Uber India-uber@paytm-065749701020-DR VIA UPI,349076683725,330.95,,240966.98
16/12/24,UPI-Suresh Pandey-8568507620@okaxis-942846152950-CR VIA UPI,705560266068,,"20,950.23",261917.21
17/12/24,UPI-Airtel Payments-airtel@axis-636531830544-DR VIA UPI,098442660059,739.00,,261178.21
17/12/24,UPI-Rapido-rapido@icici-914552959416-DR VIA UPI,041511824914,190.83,,260987.38
17/12/24,UPI-Paytm Mall-paytm@paytm-361743870593-DR VIA UPI,889796512449,"2,440.79",,258546.59
17/12/24,UPI-MSEDCL-msedclpayment@upi-490453457540-DR VIA UPI,282916461122,"4,200.31",,254346.28
17/12/24,UPI-Zomato-zomato@axisbank-482972033296-DR VIA UPI,641761464921,"2,160.68",,252185.60
18/12/24,UPI-Amazon Pay-amazon@apl-720046267886-DR VIA UPI,207396966702,650.81,,251534.79
19/12/24,UPI-Rapido-rapido@icici-287947032253-DR VIA UPI,379507297206,640.43,,250894.36
19/12/24,ECS-NACH-SIP8695744-Axis Mutual Fund,892498460198,"13,000.00",,237894.36
21/12/24,UPI-Nykaa-nykaa@razorpay-978334819112-DR VIA UPI,908742226409,"2,700.03",,235194.33
22/12/24,UPI-MakeMyTrip-makemytrip@axisbank-084744841571-DR VIA UPI,430784952071,299.00,,234895.33
23/12/24,UPI-Himanshu Mishra-9166535052@pthdfc-253581860987-DR VIA UPI,112599437292,"20,200.04",,214695.29
23/12/24,UPI-Ola Cabs-olamoney@ola-184973690553-DR VIA UPI,831796102083,"2,490.12",,212205.17
23/12/24,POS PANTALOONS PUNE,938285100841,"7,800.57",,204404.60
24/12/24,UPI-Nykaa-nykaa@razorpay-894629506580-DR VIA UPI,191621098419,"5,300.59",,199104.01
24/12/24,UPI-Flipkart-flipkart@ybl-475013031819-DR VIA UPI,289080507605,410.73,,198693.28
24/12/24,POS CENTRAL MALL PUNE,627132351982,"4,150.54",,194542.74
25/12/24,ATW-XXXXXX8827-JAR81159-PUNE 470429213958,117032896528,"6,000.00",,188542.74
25/12/24,UPI-Sunil Singh-sunilsing98@ibl-176676888295-CR VIA UPI,245359088186,,"16,900.44",205443.18
25/12/24,UPI-MedPlus Health-medplus@icici-559011408639-DR VIA UPI,519744858515,"1,480.20",,203962.98
26/12/24,UPI-Anil Chopra-anilchop20@apl-368913965901-DR VIA UPI,305690509492,"17,450.20",,186512.78
26/12/24,UPI-Pankaj Kulkarni-pankaj584@aubank-387539663214-CR VIA UPI,033812888981,,"2,300.09",188812.87
27/12/24,ATW-XXXXXX0965-SUC24378-PUNE 739280337463,849241706487,"1,000.00",,187812.87
27/12/24,POS BHARAT PETROLEUM PUNE,765000993840,"1,000.58",,186812.29
28/12/24,UPI-Nikhil Rao-nikhil224@axl-943343622506-CR VIA UPI,334853235298,,950.18,187762.47
28/12/24,INTEREST CREDIT,586201117534,,885.49,188647.96
29/12/24,POS BHARAT PETROLEUM PUNE,939583909072,"2,000.35",,186647.61
30/12/24,UPI-Zomato-zomato@axisbank-211478297272-DR VIA UPI,349064505157,"2,230.90",,184416.71
30/12/24,UPI-Dunzo-dunzo@razorpay-855901772483-DR VIA UPI,010910393569,350.39,,184066.32
31/12/24,UPI-Kavya Patel-kavya.patel@axl-728002610428-CR VIA UPI,651314639890,,"18,500.72",202567.04
31/12/24,UPI-Sangita Joshi-sangita619@aubank-074753743883-DR VIA UPI,816037546205,"14,600.11",,187966.93
01/01/25,POS PANTALOONS PUNE,296750324014,"2,950.25",,185016.68
01/01/25,UPI-Rajan Kumar-rajankuma71@kotak-369856904274-DR VIA UPI,177003539184,"21,650.84",,163365.84
01/01/25,POS BHARAT PETROLEUM PUNE,332861658731,"1,100.42",,162265.42
02/01/25,IMPS-070315315031-Deepa Pillai-BARB-XXXXXXX9327-IMPSTXN,489928502901,"40,400.31",,121865.11
02/01/25,UPI-Sonia Pillai-sonia603@axl-130733768704-DR VIA UPI,541123481960,"4,450.37",,117414.74
02/01/25,ATW-XXXXXX2333-ZIY19326-PUNE 729637029969,554907646333,"7,500.00",,109914.74
03/01/25,UPI-Ritu Banerjee-ritu.banerjee@ibl-507163947691-DR VIA UPI,959378008097,"9,900.83",,100013.91
04/01/25,POS SHELL FUEL STATION PUNE,622734506807,"1,450.36",,98563.55
04/01/25,UPI-Rapido-rapido@icici-746613566557-DR VIA UPI,412827170654,150.94,,98412.61
05/01/25,UPI-Swiggy-swiggy@icici-212113249221-DR VIA UPI,494660102179,"2,160.53",,96252.08
05/01/25,ATW-XXXXXX4972-DQF97318-PUNE 878799557720,914037851666,"3,000.00",,93252.08
07/01/25,UPI-Zomato-zomato@axisbank-864016875505-DR VIA UPI,709211506406,"1,250.58",,92001.50
