Bank Name,KOTAK MAHINDRA BANK LTD
Account Number,8008270503
Account Holder Name,SUSHMA DUBEY
Branch,T NAGAR
IFSC Code,KKBK0995220
Statement Period,01-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01-12-2024,UPI/DR/891207357444/Ola/PAYTM/olamoney@ola/UPI,023500789345,470.59,,1082628.88
02-12-2024,UPI/DR/215879785539/Swiggy/ICICI/swiggy@icici/UPI,836608920065,940.10,,1081688.78
02-12-2024,ATM-CASH-WDL/UBI640567/FARIDABAD,023729769774,"8,000.00",,1073688.78
02-12-2024,UPI/DR/048854684853/Jio/PAYTM/jio@paytm/UPI,262121590714,229.00,,1073459.78
04-12-2024,POS METRO CASH CARRY FARIDABAD,757691762542,"3,100.88",,1070358.90
04-12-2024,UPI/CR/910621954256/Gopal/UTIB/gopalgupt59@ptaxis/UPI,088453198919,,"14,950.90",1085309.80
05-12-2024,IMPS-472058422238-Suresh Reddy,427202840250,"35,300.07",,1050009.73
06-12-2024,UPI/DR/954747627730/Harish/KKBK/4879227006@okhdfcbank/UPI,331331204505,"18,000.60",,1032009.13
06-12-2024,UPI/DR/892633449864/Jio/PAYTM/jio@paytm/UPI,881105504432,209.00,,1031800.13
07-12-2024,UPI/DR/616548976705/Rapido/PAYTM/rapido@icici/UPI,728310642652,280.55,,1031519.58
07-12-2024,UPI/DR/397250206498/Kunal/BKID/2163944690@apl/UPI,115300575010,"4,350.81",,1027168.77
07-12-2024,UPI/DR/584292873210/Tarun/UTIB/tarunjosh97@okicici/UPI,300715816735,"12,350.82",,1014817.95
07-12-2024,UPI/CR/092466712573/Nikhil/UCBA/nikhilkapo49@ibl/UPI,066237319509,,"8,850.34",1023668.29
07-12-2024,SALARY CREDIT/S4781070228572/Infosys BPO Pvt Ltd,206992348445,,"105,406.55",1129074.84
07-12-2024,UPI/DR/016205781780/Uber/ICICI/uber@paytm/UPI,427895336060,"2,250.45",,1126824.39
07-12-2024,UPI/DR/133978821745/ICICI/LICI/licindia@licindia/UPI,861697259146,"1,800.00",,1125024.39
07-12-2024,UPI/DR/379515987462/Netmeds/ICICI/netmeds@paytm/UPI,925356191657,"2,660.42",,1122363.97
08-12-2024,UPI/CR/162019294414/Sonia/BKID/sonianamb99@paytm/UPI,665902173877,,"20,250.09",1142614.06
08-12-2024,ATM-CASH-WDL/EWV500536/FARIDABAD,714633470727,"2,500.00",,1140114.06
09-12-2024,POS BHARAT PETROLEUM FARIDABA,905621005579,"2,450.38",,1137663.68
09-12-2024,NACH/MANDATE/LN460952477319/Axis Bank Auto Loan,708662084232,"15,000.00",,1122663.68
09-12-2024,UPI/DR/388935032791/Zomato/ICICI/zomato@axisbank/UPI,287312319834,"1,690.89",,1120972.79
11-12-2024,UPI/DR/104401779049/PhonePe/ICICI/phonepe@ybl/UPI,421946622061,"1,050.65",,1119922.14
11-12-2024,NACH/MANDATE/RNT6255342/RENT MANDATE,908365418582,"12,000.00",,1107922.14
11-12-2024,UPI/DR/907972204701/Amazon/PAYTM/amazon@apl/UPI,264948072058,"1,400.03",,1106522.11
11-12-2024,UPI/DR/540638477235/Jio/ICICI/jio@paytm/UPI,539676437972,380.38,,1106141.73
12-12-2024,UPI/DR/709490088537/Jio/PAYTM/jio@paytm/UPI,978663232103,359.00,,1105782.73
13-12-2024,UPI/DR/373913356083/Amazon/PAYTM/amazon@apl/UPI,882297308662,"2,300.85",,1103481.88
14-12-2024,UPI/DR/559401389363/MSEDCL/UPIN/msedclpayment@upi/UPI,819647634235,"1,550.99",,1101930.89
