Bank Name,THE FEDERAL BANK LIMITED
Account Number,97556000042808
Account Holder Name,AKASH GHOSH
Branch,BANDRA WEST
IFSC Code,FDRL0087338
Statement Period,01-12-2024 To 08-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01-12-2024,UPI/DR/672317327429/Blinkit/ICICI/blinkit@kotak/UPI,376554710129,"1,320.18",,542935.18
01-12-2024,POS VISHAL MEGA MART CHANDIGARH,213816859521,"1,700.04",,541235.14
01-12-2024,UPI/DR/297430858122/Mohan/SBIN/5525020417@axl/UPI,106930350982,"3,250.89",,537984.25
01-12-2024,UPI/DR/853242433247/Kapil/BDBL/kapil.mishra@okicici/UPI,143745931593,"4,500.31",,533483.94
02-12-2024,POS HP PETROL PUMP CHANDIGA,940218960851,"4,350.53",,529133.41
02-12-2024,UPI/CR/961814316895/Ramesh/FDRL/rameshnair33@apl/UPI,767219645952,,"6,100.08",535233.49
02-12-2024,SALARY CREDIT/S3983787740134/Madura Garments Pvt Ltd,654182272393,,"120,051.69",655285.18
03-12-2024,UPI/DR/211723053700/Flipkart/ICICI/flipkart@ybl/UPI,923810958917,250.22,,655034.96
03-12-2024,UPI/DR/087239781796/Uber/PAYTM/uber@paytm/UPI,265592830870,430.84,,654604.12
03-12-2024,UPI/DR/490000142645/Rapido/PAYTM/rapido@icici/UPI,628658351185,750.27,,653853.85
04-12-2024,UPI/DR/979411003290/Amazon/ICICI/amazon@apl/UPI,294321490699,"2,510.74",,651343.11
04-12-2024,POS CENTRAL MALL CHANDIGARH,642783587963,600.99,,650742.12
04-12-2024,UPI/DR/368552150918/Uber/PAYTM/uber@paytm/UPI,346797084200,130.34,,650611.78
05-12-2024,POS PANTALOONS CHANDIGARH,423296879537,"4,950.96",,645660.82
05-12-2024,UPI/DR/937526292727/PhonePe/ICICI/phonepe@ybl/UPI,730889052333,430.46,,645230.36
05-12-2024,NACH/MANDATE/RNT9574995/RENT MANDATE,197883250474,"15,000.00",,630230.36
06-12-2024,ATM CASH WITHDRAWAL/50046/CHANDIGARH,012834640132,"9,500.00",,620730.36
06-12-2024,UPI/DR/516927274781/Preeti/UTIB/preetipill36@kotak/UPI,249112702016,"7,350.22",,613380.14
08-12-2024,UPI/DR/191315618229/Vi/PAYTM/vi@airtelaxis/UPI,108909518048,539.00,,612841.14
09-12-2024,NACH/MANDATE/LN900669840349/Tata Capital Finance,770305308261,"17,000.00",,595841.14
09-12-2024,UPI/DR/081840724506/Swiggy/ICICI/swiggy@icici/UPI,610788317282,"1,430.06",,594411.08
09-12-2024,UPI/DR/571721494996/Aditya/LICI/licindia@licindia/UPI,405893784913,"7,600.00",,586811.08
09-12-2024,UPI/DR/584795128895/Gopal/KKBK/gopal754@paytm/UPI,457265567428,"11,550.37",,575260.71
10-12-2024,UPI/DR/295493443212/Zepto/ICICI/zepto@apl/UPI,847938657547,"1,950.80",,573309.91
10-12-2024,POS MAX FASHION CHANDIGARH,729621520982,"2,650.49",,570659.42
12-12-2024,UPI/DR/107883258512/Hathway/RAZORPAY/broadband@paytm/UPI,503656399518,399.00,,570260.42
12-12-2024,UPI/DR/602220135923/Kamal/KKBK/6787735465@okaxis/UPI,385993325069,"3,450.55",,566809.87
13-12-2024,UPI/DR/103042316641/PhonePe/ICICI/phonepe@ybl/UPI,000060132986,"2,310.81",,564499.06
14-12-2024,ATM CASH WITHDRAWAL/40178/CHANDIGARH,168746874356,"9,500.00",,554999.06
15-12-2024,UPI/CR/462696627192/Deepak/KKBK/deepak274@apl/UPI,350745664120,,"6,100.44",561099.50
15-12-2024,UPI/DR/278899342032/IRCTC/ICICI/irctc@upi/UPI,007802445533,449.00,,560650.50
15-12-2024,UPI/DR/583375989997/Deepak/SBIN/deepakdutt74@okhdfcbank/UPI,994059993135,"16,550.73",,544099.77
15-12-2024,ATM CASH WITHDRAWAL/81857/CHANDIGARH,164543801266,"1,000.00",,543099.77
17-12-2024,UPI/DR/059575252186/Vi/PAYTM/vi@airtelaxis/UPI,380811642077,729.00,,542370.77
17-12-2024,UPI/DR/936758546471/Shivam/HDFC/shivammeht82@ptsbi/UPI,056957051624,"13,400.89",,528969.88
18-12-2024,UPI/DR/939348730306/Ola/PAYTM/olamoney@ola/UPI,621145823099,220.42,,528749.46
18-12-2024,UPI/DR/647465601452/Vi/PAYTM/vi@airtelaxis/UPI,563314971796,889.00,,527860.46
18-12-2024,UPI/DR/488849338395/BSNL/ICICI/bsnlbroadband@upi/UPI,994860569205,"2,120.13",,525740.33
19-12-2024,UPI/CR/764680525956/Maya/FDRL/maya655@okaxis/UPI,729641941475,,"13,700.73",539441.06
19-12-2024,POS HP PETROL PUMP CHANDIGA,357558108672,"2,650.15",,536790.91
19-12-2024,UPI/DR/944803343181/Vi/PAYTM/vi@airtelaxis/UPI,342440740332,929.00,,535861.91
19-12-2024,ATM CASH WITHDRAWAL/56345/CHANDIGARH,200451103222,"8,000.00",,527861.91
20-12-2024,UPI/DR/772472650158/Dunzo/ICICI/dunzo@razorpay/UPI,482640272845,590.00,,527271.91
21-12-2024,UPI/DR/225076286094/Flipkart/ICICI/flipkart@ybl/UPI,153385970232,"1,770.41",,525501.50
22-12-2024,UPI/DR/404800029049/Vi/PAYTM/vi@airtelaxis/UPI,607119984384,219.00,,525282.50
22-12-2024,UPI/DR/651258515067/MSEDCL/UPIN/msedclpayment@upi/UPI,335675751801,"1,650.73",,523631.77
22-12-2024,UPI/CR/220513311009/Vikram/BDBL/vikram.kumar@ptyes/UPI,630044084223,,"1,450.49",525082.26
22-12-2024,UPI/DR/326796499737/Amazon/PAYTM/amazon@apl/UPI,336446949369,"2,300.86",,522781.40
22-12-2024,UPI/DR/135664315357/Blinkit/ICICI/blinkit@kotak/UPI,612820813846,"1,930.49",,520850.91
23-12-2024,UPI/DR/006807171489/Zomato/ICICI/zomato@axisbank/UPI,614894144775,"1,570.29",,519280.62
24-12-2024,UPI/DR/878591598594/Paytm/ICICI/paytm@paytm/UPI,882392849643,120.59,,519160.03
24-12-2024,UPI/DR/347982739331/Dunzo/ICICI/dunzo@razorpay/UPI,895902205475,870.32,,518289.71
24-12-2024,POS STAR BAZAAR CHANDIGARH,030492096891,"5,800.14",,512489.57
26-12-2024,ATM CASH WITHDRAWAL/17994/CHANDIGARH,960919826075,"6,500.00",,505989.57
26-12-2024,UPI/DR/150617763742/Swiggy/ICICI/swiggy@icici/UPI,135479272633,920.76,,505068.81
26-12-2024,UPI/DR/131362093633/Girish/PUNB/girishmukh39@oksbi/UPI,624392630992,"16,800.52",,488268.29
26-12-2024,INTEREST CREDIT,107052931918,,135.22,488403.51
26-12-2024,UPI/DR/947238204356/Indane/ICICI/indanegas@upi/UPI,202281901765,"2,650.82",,485752.69
27-12-2024,ATM CASH WITHDRAWAL/99413/CHANDIGARH,511375808178,"5,500.00",,480252.69
27-12-2024,POS CENTRAL MALL CHANDIGARH,623943515695,"7,400.01",,472852.68
29-12-2024,POS RELIANCE PETROLEUM CHANDIGA,082166925550,"2,450.80",,470401.88
30-12-2024,UPI/CR/508070395888/Lata/BDBL/lata.desai@pthdfc/UPI,320630014764,,"15,950.53",486352.41
01-01-2025,UPI/DR/036601445780/Flipkart/ICICI/flipkart@ybl/UPI,208057200725,770.88,,485581.53
01-01-2025,UPI/DR/976334376716/Uber/PAYTM/uber@paytm/UPI,110813562218,290.38,,485291.15
02-01-2025,UPI/DR/110917352004/Kavya/KKBK/kavyakhan77@upi/UPI,522412693519,"6,900.64",,478390.51
