Bank Name,AXIS BANK LIMITED
Account Number,610050431188751
Account Holder Name,AKASH MEHTA
Branch,MANSAROVAR
IFSC Code,UTIB0002052
Statement Period,02-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
02-12-2024,UPIP2M091336589366JioRechargeUPIPAYTM,857996723155,859.00,,830708.98
02-12-2024,UPIP2M367103068808BlinkitUPIICICI,579578373811,"2,050.06",,828658.92
02-12-2024,POS LIFESTYLE STORES AMRITSAR,722978084234,"7,600.31",,821058.61
03-12-2024,SALARY/S9411398400346/Mahindra Logistics Ltd,545834851091,,"119,254.58",940313.19
03-12-2024,UPIP2M723725103106RaniDasUPIUTIB,025830346656,"4,750.88",,935562.31
03-12-2024,UPIP2M707398703756RapidoUPIPAYTM,578036497889,700.86,,934861.45
03-12-2024,UPIP2M235462151903SeemaChatterUPIFDRL,561581942296,"3,800.23",,931061.22
04-12-2024,UPIP2M032627510624OlaCabsUPIPAYTM,044767102181,670.56,,930390.66
04-12-2024,POS MAX FASHION AMRITSAR,888863215745,750.69,,929639.97
04-12-2024,ATMCASHAXISUVU97680109AMRITS,149917294192,"1,000.00",,928639.97
05-12-2024,UPIP2M486801214426RahulNaikUPIUCBA,138226623335,"14,200.24",,914439.73
05-12-2024,NACH/MANDATE/RNT9641611/RENT MANDATE,239456431167,"20,000.00",,894439.73
05-12-2024,UPIP2A740661192965ManojMishraUPIBDBL,623123924405,,"1,000.30",895440.03
06-12-2024,UPIP2M203909275775OlaCabsUPIICICI,192514422415,"1,260.76",,894179.27
06-12-2024,UPIP2A160147180095PoonamIyerUPIBARB,325816230036,,"8,000.78",902180.05
07-12-2024,UPIP2M661920158312JioRechargeUPIPAYTM,578654771180,669.00,,901511.05
08-12-2024,UPIP2M164204837115RapidoUPIPAYTM,974349195749,610.90,,900900.15
08-12-2024,UPIP2M926904551312RajanSaxenaUPIBARB,151569353205,"12,150.68",,888749.47
09-12-2024,NACH/MANDATE/LN374916336578/Muthoot Finance,557861795200,"11,500.00",,877249.47
09-12-2024,UPIP2M615497410686FlipkartUPIICICI,722512819389,"1,150.91",,876098.56
09-12-2024,UPIP2M739708975289LICofIndiaUPILICI,400070234079,"3,100.00",,872998.56
10-12-2024,UPIP2M671093948753VandanaSrivaUPIUCBA,802114628590,"18,850.83",,854147.73
10-12-2024,UPIP2M729518173955FlipkartUPIICICI,800234562007,"1,870.75",,852276.98
10-12-2024,UPIP2M292983738920SwiggyUPIICICI,898679562316,980.15,,851296.83
11-12-2024,UPIP2M118611787333LalitKulkarnUPIKKBK,109551431482,"5,500.05",,845796.78
12-12-2024,ATMCASHAXISPXD30688626AMRITS,659937617087,"3,500.00",,842296.78
13-12-2024,UPIP2M457615591910RajeshPandeyUPIHDFC,437370039583,"3,400.86",,838895.92
13-12-2024,UPIP2M379590908545NykaaUPIICICI,862417254013,549.00,,838346.92
13-12-2024,ATMCASHAXISSWD44670302AMRITS,226324217979,"9,000.00",,829346.92
14-12-2024,UPIP2M059368612891RapidoUPIPAYTM,047939279446,740.61,,828606.31
14-12-2024,UPIP2M755875740612VikramKhannaUPIUCBA,553253164236,"18,650.18",,809956.13
15-12-2024,UPIP2M916704798767PhonePeMerchUPIICICI,280088568828,"2,330.21",,807625.92
15-12-2024,IMPS/586328289919/Radha Yadav/FDRL,245263385403,"8,200.89",,799425.03
15-12-2024,POS STAR BAZAAR AMRITSAR,684510761156,"3,600.54",,795824.49
15-12-2024,UPIP2M173824320808BlinkitUPIICICI,080314414651,"1,940.25",,793884.24
15-12-2024,UPIP2M644550567334TSSPDCLUPIUPIN,388701136835,800.39,,793083.85
16-12-2024,UPIP2M944247401197PractoUPIICICI,846896973117,599.00,,792484.85
16-12-2024,UPIP2A428294340075MukeshRoyUPIHDFC,404851029175,,"2,600.18",795085.03
16-12-2024,POS BIG BAZAAR AMRITSAR,702711745669,"4,100.11",,790984.92
17-12-2024,UPIP2M101631703526OlaCabsUPIICICI,965820321151,"2,490.26",,788494.66
18-12-2024,UPIP2M106766308678FlipkartUPIPAYTM,650953216813,"5,600.33",,782894.33
18-12-2024,NACH/MANDATE/SIP3495313/Mirae Asset MF,194685548463,"6,500.00",,776394.33
19-12-2024,UPIP2M1742439492541mgUPIICICI,053554840268,"1,540.96",,774853.37
19-12-2024,UPIP2M013960333744BSNLBroadbanUPIRAZORPAY,390762874240,599.00,,774254.37
19-12-2024,UPIP2A142480888971VarunJainUPISBIN,124253044960,,"13,850.56",788104.93
19-12-2024,UPIP2M192415658723RameshNambiaUPISBIN,441764560521,"1,150.93",,786954.00
19-12-2024,UPIP2M683791716272OlaCabsUPIPAYTM,875111641402,190.86,,786763.14
20-12-2024,UPIP2M719370457172PallaviChattUPIBARB,552258907207,"8,800.29",,777962.85
20-12-2024,UPIP2A427008553156PreetiAgarwaUPIUCBA,670986699792,,"13,650.63",791613.48
21-12-2024,NEFT/N5606647195149/Hexaware Technologie/UCBA0071474,331121276128,,"33,500.92",825114.40
22-12-2024,UPIP2M383561720012FlipkartUPIICICI,834946588012,"1,650.20",,823464.20
22-12-2024,UPIP2A405094285362BabitaSethiUPIHDFC,890726454527,,"10,950.76",834414.96
23-12-2024,UPIP2M653363456072JioRechargeUPIPAYTM,353497049316,419.00,,833995.96
24-12-2024,UPIP2M424518621719SwiggyUPIICICI,934350127453,"2,530.79",,831465.17
26-12-2024,UPIP2M778449891866DunzoUPIICICI,988029317252,"1,630.36",,829834.81
26-12-2024,UPIP2A465087118164YogeshAhujaUPIBARB,541994060701,,250.56,830085.37
26-12-2024,UPIP2A416776640043GeetaThaparUPIPUNB,385762463718,,"8,750.72",838836.09
26-12-2024,UPIP2M114131531516IndaneGasUPIICICI,962629629223,"2,800.95",,836035.14
26-12-2024,UPIP2M130471495996OlaCabsUPIPAYTM,443363799168,810.85,,835224.29
27-12-2024,INTEREST CREDIT,080839408751,,855.48,836079.77
28-12-2024,POS RELIANCE PETROLEUM AMRITSAR,992821423774,"4,100.24",,831979.53
28-12-2024,UPIP2M740316748030MukeshBanerjUPIUTIB,267244729593,"10,650.37",,821329.16
28-12-2024,POS SHELL FUEL STATION AMRITSAR,550559549911,"1,650.07",,819679.09
29-12-2024,UPIP2M237129136199SwiggyUPIICICI,252439684799,290.34,,819388.75
29-12-2024,UPIP2M769167673432FlipkartUPIPAYTM,414718016650,"3,600.56",,815788.19
29-12-2024,UPIP2M751539509886BlinkitUPIICICI,417450584839,890.25,,814897.94
29-12-2024,UPIP2M496624390409OlaCabsUPIICICI,017387693178,"2,360.06",,812537.88
30-12-2024,ATMCASHAXISOND32755195AMRITS,324380758196,"6,000.00",,806537.88
31-12-2024,UPIP2A597618880977RohitPandeyUPIBARB,481573956201,,"5,050.68",811588.56
31-12-2024,ATMCASHAXISRSP16558766AMRITS,103561302206,"1,500.00",,810088.56
01-01-2025,UPIP2M016071217704BrijeshRaoUPIKKBK,861752109922,"15,800.41",,794288.15
01-01-2025,UPIP2A757940888153SaurabhDuttaUPIUTIB,463375639665,,"2,400.81",796688.96
01-01-2025,POS V MART AMRITSAR,411407999177,"8,000.53",,788688.43
03-01-2025,ATMCASHAXISDEC36135384AMRITS,411024312099,"8,000.00",,780688.43
04-01-2025,UPIP2M287647841220BlinkitUPIICICI,213758645234,"2,690.30",,777998.13
04-01-2025,UPIP2M402567870740LICofIndiaUPILICI,851578616375,"3,100.00",,774898.13
04-01-2025,UPIP2M566823040862SeemaBanerjeUPIPUNB,017163865269,"18,650.94",,756247.19
05-01-2025,UPIP2M295108046847JioRechargeUPIICICI,676280425934,"2,030.62",,754216.57
05-01-2025,UPIP2M574910046099OlaCabsUPIPAYTM,721930831117,380.55,,753836.02
06-01-2025,UPIP2M819832039112NikhilPatilUPIPUNB,623772504754,"3,450.27",,750385.75
06-01-2025,NEFT/N8213252810547/Tech Mahindra Ltd/BDBL0626040,450159035052,,"46,500.02",796885.77
06-01-2025,SALARY/S0749464904614/Mahindra Logistics Ltd,713093736459,,"116,869.58",913755.35
06-01-2025,UPIP2M662257225103MedPlusHealtUPIICICI,271800721713,"1,420.24",,912335.11
06-01-2025,UPIP2A058561169371MohanNaikUPIHDFC,621022702637,,"21,950.85",934285.96
06-01-2025,UPIP2M994575267912MeeshoUPIPAYTM,918770794385,950.87,,933335.09
07-01-2025,UPIP2M858617870392MakeMyTripUPIICICI,014596243716,399.00,,932936.09
07-01-2025,UPIP2A633462530820KamalYadavUPIBKID,236411241733,,"15,800.76",948736.85
08-01-2025,UPIP2M782044522648PhonePeMerchUPIICICI,564247605086,"1,220.12",,947516.73
09-01-2025,NACH/MANDATE/LN374916336578/Muthoot Finance,451005115613,"11,500.00",,936016.73
09-01-2025,UPIP2M104887451082SiddharthBanUPIBKID,159975167480,"18,900.92",,917115.81
09-01-2025,UPIP2A501741697317SumitThaparUPIFDRL,186075898445,,"8,700.84",925816.65
09-01-2025,UPIP2A855257917423ShivamNaikUPIFDRL,934763244383,,"4,750.84",930567.49
09-01-2025,UPIP2M271307424959AkashNairUPIHDFC,581604686675,"15,050.56",,915516.93
10-01-2025,ATMCASHAXISSAO53240904AMRITS,495274829721,"4,000.00",,911516.93
10-01-2025,NACH/MANDATE/RNT2049618/RENT MANDATE,561591660293,"20,000.00",,891516.93
11-01-2025,UPIP2M319226570116TSSPDCLUPIUPIN,869501561795,"1,500.04",,890016.89
