Bank Name,HDFC BANK LTD
Account Number,77849479467322
Account Holder Name,MAMTA DESAI
Branch,BALLYGUNGE
IFSC Code,HDFC0025287
Statement Period,01-12-2024 To 09-05-2026

Date,Description,Ref/ChequeNo,Debit,Credit,Balance
01/12/24,UPI-Blinkit-blinkit@kotak-974550302291-DR VIA UPI,785283036173,960.14,,434179.95
01/12/24,UPI-Rohit Kumar-rohitkuma35@ibl-670879849726-CR VIA UPI,909419285015,,"7,050.71",441230.66
01/12/24,UPI-Flipkart-flipkart@ybl-721635427121-DR VIA UPI,737036180197,"1,260.53",,439970.13
01/12/24,UPI-Blinkit-blinkit@kotak-781817856770-DR VIA UPI,970002249184,"1,490.82",,438479.31
01/12/24,UPI-Jio Recharge-jio@paytm-532531953024-DR VIA UPI,282230999688,"2,310.41",,436168.90
02/12/24,UPI-Uber India-uber@paytm-655866269518-DR VIA UPI,354846938085,410.65,,435758.25
02/12/24,UPI-Flipkart-flipkart@ybl-564739800588-DR VIA UPI,118065555577,"1,700.79",,434057.46
02/12/24,UPI-Jio Recharge-vi@airtelaxis-453485688113-DR VIA UPI,088790927769,729.00,,433328.46
03/12/24,UPI-Jio Recharge-vi@airtelaxis-528897506362-DR VIA UPI,166915521519,829.00,,432499.46
04/12/24,UPI-Nykaa-nykaa@razorpay-157940221089-DR VIA UPI,262581074046,"2,950.84",,429548.62
04/12/24,UPI-Rajan Iyer-rajaniyer63@pthdfc-080873719028-DR VIA UPI,079903908443,"17,300.96",,412247.66
04/12/24,POS BIG BAZAAR INDORE,227901537132,"1,050.74",,411196.92
05/12/24,POS HP PETROL PUMP INDORE,596564445507,"2,300.93",,408895.99
06/12/24,SALARY-S1599855781600/NEFT/Raymond Ltd,281163223490,,"147,192.13",556088.12
06/12/24,UPI-Blinkit-blinkit@kotak-412662491428-DR VIA UPI,927397911449,910.66,,555177.46
06/12/24,UPI-Saurabh Roy-8883175236@aubank-372323438779-DR VIA UPI,537279577776,"18,450.91",,536726.55
06/12/24,ATW-XXXXXX3986-TEQ67834-INDORE 470311585483,330049579608,"5,000.00",,531726.55
06/12/24,UPI-Lata Das-lata.das@upi-698029548692-CR VIA UPI,772119605812,,"11,950.52",543677.07
07/12/24,UPI-Uber India-uber@paytm-276466522567-DR VIA UPI,611348866866,350.14,,543326.93
08/12/24,UPI-Santosh Naik-santosh.naik@kotak-384471315148-DR VIA UPI,463907621468,"20,750.17",,522576.76
09/12/24,ATW-XXXXXX1997-GJI22964-INDORE 054681251586,733252506752,"4,000.00",,518576.76
10/12/24,UPI-Nikhil Agarwal-nikhil260@pthdfc-163434908474-DR VIA UPI,204196802525,"20,450.05",,498126.71
10/12/24,ECS-NACH-RNT9926857-RENT MANDATE,906250083178,"22,000.00",,476126.71
11/12/24,UPI-Amazon Pay-amazon@apl-480268663732-DR VIA UPI,705785552520,850.66,,475276.05
11/12/24,POS LIFESTYLE STORES INDORE,090935506898,"2,600.63",,472675.42
11/12/24,ECS-NACH-LN705078302278-ICICI Bank Home Loan,293806272892,"8,000.00",,464675.42
12/12/24,UPI-Swiggy-swiggy@icici-526066488182-DR VIA UPI,158927952083,730.05,,463945.37
12/12/24,UPI-MakeMyTrip-makemytrip@axisbank-814951834742-DR VIA UPI,595908311236,899.00,,463046.37
13/12/24,UPI-Dunzo-dunzo@razorpay-510371988156-DR VIA UPI,486391611503,190.86,,462855.51
13/12/24,UPI-Bajaj Allianz Life-licindia@licindia-700574675273-DR VIA UPI,717276830315,"5,500.00",,457355.51
14/12/24,UPI-Ravi Shah-ravi980@okaxis-146215397212-DR VIA UPI,391822617856,"9,550.81",,447804.70
14/12/24,UPI-MedPlus Health-medplus@icici-657472988965-DR VIA UPI,833095333618,"2,470.59",,445334.11
15/12/24,ECS-NACH-SIP4955325-Mirae Asset MF,477950980490,"5,000.00",,440334.11
15/12/24,ATW-XXXXXX0447-WBF89716-INDORE 570152273309,400253364666,"4,000.00",,436334.11
16/12/24,UPI-Rekha Roy-rekha.roy@ptaxis-014940500030-DR VIA UPI,852440740048,"6,000.45",,430333.66
16/12/24,UPI-Jio Recharge-vi@airtelaxis-317255835367-DR VIA UPI,058691889048,509.00,,429824.66
16/12/24,UPI-Yogesh Saxena-yogeshsaxe43@okaxis-878349398525-CR VIA UPI,951091309910,,"10,700.99",440525.65
17/12/24,UPI-CESC Limited-cescpayment@upi-752513956763-DR VIA UPI,681639700562,"1,600.40",,438925.25
17/12/24,UPI-Zepto-zepto@apl-757947388178-DR VIA UPI,713432492205,"1,850.70",,437074.55
18/12/24,UPI-Amazon Pay-amazon@apl-742708904061-DR VIA UPI,592492883976,"2,480.40",,434594.15
18/12/24,UPI-Shweta Banerjee-7626782061@oksbi-423340715057-CR VIA UPI,310661947137,,"8,000.51",442594.66
18/12/24,UPI-Maya Nair-mayanair63@paytm-781362090213-CR VIA UPI,147997375226,,"19,300.36",461895.02
18/12/24,UPI-Suresh Kulkarni-suresh.kulkarni@ybl-409943597008-DR VIA UPI,091748672335,"1,050.15",,460844.87
19/12/24,UPI-Varun Dutta-5414487999@okaxis-174782117849-CR VIA UPI,727945822017,,"3,450.52",464295.39
19/12/24,UPI-Hathway-broadband@paytm-032284075751-DR VIA UPI,936968084709,"1,299.00",,462996.39
19/12/24,UPI-Amazon Pay-amazon@apl-840076095488-DR VIA UPI,195004747913,300.26,,462696.13
20/12/24,UPI-Paytm Mall-paytm@paytm-957923052567-DR VIA UPI,483476572713,"1,140.33",,461555.80
20/12/24,UPI-Pooja Rao-pooja.rao@ibl-961505828710-CR VIA UPI,007714526160,,"21,750.74",483306.54
20/12/24,UPI-Sangita Kumar-sangita893@paytm-274373082700-DR VIA UPI,968030327881,"21,500.56",,461805.98
21/12/24,POS BHARAT PETROLEUM INDORE,935288882312,"2,750.78",,459055.20
23/12/24,UPI-Anil Kulkarni-anil197@paytm-074629867289-CR VIA UPI,907298571927,,"20,650.80",479706.00
24/12/24,UPI-Amazon Pay-amazon@apl-471259533222-DR VIA UPI,934197022529,"3,850.45",,475855.55
24/12/24,ATW-XXXXXX0084-OPW83878-INDORE 755218484187,252948463472,"4,500.00",,471355.55
24/12/24,UPI-Uber India-uber@paytm-925427770529-DR VIA UPI,469275686001,860.19,,470495.36
25/12/24,UPI-Uber India-uber@paytm-154443976347-DR VIA UPI,032173941251,560.15,,469935.21
25/12/24,UPI-Indane Gas-indanegas@upi-929518380859-DR VIA UPI,436438409985,"1,600.41",,468334.80
26/12/24,UPI-Ankit Das-ankitdas95@ptsbi-276548352718-DR VIA UPI,164093898226,"12,950.95",,455383.85
27/12/24,GST ON CHARGES,320285711800,84.60,,455299.25
27/12/24,MOBILE BANKING CHARGES,945456839645,470.00,,454829.25
27/12/24,UPI-Jio Recharge-vi@airtelaxis-006914158295-DR VIA UPI,382996334564,779.00,,454050.25
27/12/24,UPI-Lata Yadav-lata395@ibl-271833929593-DR VIA UPI,417565760615,"21,500.24",,432550.01
28/12/24,IMPS-096567341825-Archana Sen-BARB-XXXXXXX5442-IMPSTXN,661878244608,"18,300.81",,414249.20
28/12/24,INTEREST CREDIT,562156807901,,325.43,414574.63
28/12/24,UPI-Rakesh Chopra-rakesh.chopra@ptaxis-916202789089-DR VIA UPI,936509734411,"6,600.94",,407973.69
29/12/24,POS STAR BAZAAR INDORE,412435261737,"2,600.44",,405373.25
29/12/24,UPI-Uber India-uber@paytm-941103868387-DR VIA UPI,466427832446,680.87,,404692.38
30/12/24,UPI-Jio Recharge-jio@paytm-041074240937-DR VIA UPI,795794629258,"1,160.54",,403531.84
31/12/24,UPI-Ola Cabs-olamoney@ola-792465356288-DR VIA UPI,008289883622,"1,160.84",,402371.00
31/12/24,POS INDIAN OIL INDORE,964298555299,"3,450.47",,398920.53
02/01/25,UPI-Poonam Joshi-poonamjosh91@pthdfc-621911560707-DR VIA UPI,258907507193,"19,850.86",,379069.67
03/01/25,UPI-Jio Recharge-vi@airtelaxis-374929272875-DR VIA UPI,173336027768,959.00,,378110.67
03/01/25,UPI-Seema Kumar-seemakuma18@pthdfc-485765267964-DR VIA UPI,538875880511,"7,100.43",,371010.24
04/01/25,UPI-Rajan Chopra-8080307573@upi-812028269479-DR VIA UPI,557142548225,"14,600.80",,356409.44
04/01/25,UPI-Mahesh Singh-maheshsing80@okaxis-024452775988-DR VIA UPI,625365655557,"3,100.15",,353309.29
04/01/25,ATW-XXXXXX4438-NYL59726-INDORE 854322630808,827600163813,"8,000.00",,345309.29
04/01/25,UPI-Jio Recharge-jio@paytm-270694035758-DR VIA UPI,858266115867,440.90,,344868.39
04/01/25,UPI-Jio Recharge-vi@airtelaxis-831077855560-DR VIA UPI,295104840685,579.00,,344289.39
05/01/25,UPI-Uber India-uber@paytm-410842707404-DR VIA UPI,983500597051,270.06,,344019.33
05/01/25,POS INDIAN OIL INDORE,090416254089,"4,000.38",,340018.95
06/01/25,SALARY-S5012433305698/NEFT/Raymond Ltd,979268601530,,"147,582.13",487601.08
06/01/25,UPI-Flipkart-flipkart@ybl-282051603158-DR VIA UPI,498092123832,"4,400.28",,483200.80
06/01/25,POS RELIANCE PETROLEUM INDORE,373190087557,900.23,,482300.57
07/01/25,UPI-Rapido-rapido@icici-294149589311-DR VIA UPI,613111490502,270.46,,482030.11
08/01/25,ATW-XXXXXX3398-QZF27320-INDORE 834508850633,879902792176,"9,000.00",,473030.11
08/01/25,UPI-Akash Mishra-akashmish22@paytm-522376486160-DR VIA UPI,909276827167,"4,050.77",,468979.34
09/01/25,UPI-Priya Chaudhary-priya.chaudhary@ptsbi-485199460045-CR VIA UPI,036212646636,,"1,900.71",470880.05
09/01/25,UPI-Naveen Kumar-naveen616@aubank-448222944057-DR VIA UPI,032138395061,"4,950.93",,465929.12
10/01/25,POS SHELL FUEL STATION INDORE,250171914876,"3,950.01",,461979.11
11/01/25,ECS-NACH-RNT5289626-RENT MANDATE,829790562290,"22,000.00",,439979.11
11/01/25,UPI-Bajaj Allianz Life-licindia@licindia-700911130340-DR VIA UPI,456084191152,"5,500.00",,434479.11
